gookook'oo+NA	gookookohoo
1+gookook'oo+NA+Dim+1+Pl	nigookookohooensnaa

2+gookook'oo+NA+Con+1+Pl	gigookookohooenynaan
2+gookook'oo+NA+Con+1+Pl	gigookookohooenynaa

2+gookook'oo+NA+Con+2+Pl	gigookookohooenywaa

2+gookook'oo+NA+Dim+1+Pl	gigookookohooensnaan
2+gookook'oo+NA+Dim+1+Pl	gigookookohooensnaa

2+gookook'oo+NA+Dim+2+Pl	gigookookohooenswaa

3+gookook'oo+NA+Con+3+4	ogookookohooenyniw

3+gookook'oo+NA+Dim+3+4	ogookookohooensniw

1+gookook'oo+NA+Con+Prt	nigookookohooenyiban
1+gookook'oo+NA+Con+Prt	nigookookohooenyiba

1+gookook'oo+NA+Con+Voc+Pl	nigookookohooenydig

1+gookook'oo+NA+Dim+Prt	nigookookohooensiban
1+gookook'oo+NA+Dim+Prt	nigookookohooensiba

1+gookook'oo+NA+Dim+Voc+Pl	nigookookohooensdig

2+gookook'oo+NA+Con+Prt	gigookookohooenyiban
2+gookook'oo+NA+Con+Prt	gigookookohooenyiba

2+gookook'oo+NA+Con+Voc+Pl	gigookookohooenydig

2+gookook'oo+NA+Dim+Prt	gigookookohooensiban
2+gookook'oo+NA+Dim+Prt	gigookookohooensiba

2+gookook'oo+NA+Dim+Voc+Pl	gigookookohooensdig

X+gookook'oo+NA+Con+Prt	igookookohooenyiban
X+gookook'oo+NA+Con+Prt	igookookohooenyiba

X+gookook'oo+NA+Con+Voc+Pl	igookookohooenydig

X+gookook'oo+NA+Dim+Prt	igookookohooensiban
X+gookook'oo+NA+Dim+Prt	igookookohooensiba

X+gookook'oo+NA+Dim+Voc+Pl	igookookohooensdig

1+gookook'oo+NA+Con+4	nigookookohooenyin

1+gookook'oo+NA+Con+Loc	nigookookohooenying

1+gookook'oo+NA+Con+Pl	nigookookohooenyag

1+gookook'oo+NA+Dim+4	nigookookohooensan

1+gookook'oo+NA+Dim+Loc	nigookookohooensing

1+gookook'oo+NA+Dim+Pl	nigookookohooensag

2+gookook'oo+NA+Con+4	gigookookohooenyin

2+gookook'oo+NA+Con+Loc	gigookookohooenying

2+gookook'oo+NA+Con+Pl	gigookookohooenyag

2+gookook'oo+NA+Dim+4	gigookookohooensan

2+gookook'oo+NA+Dim+Loc	gigookookohooensing

2+gookook'oo+NA+Dim+Pl	gigookookohooensag

3+gookook'oo+NA+Con+4	ogookookohooenyin

3+gookook'oo+NA+Con+Loc	ogookookohooenying

3+gookook'oo+NA+Dim+4	ogookookohooensan

3+gookook'oo+NA+Dim+Loc	ogookookohooensing

X+gookook'oo+NA+Con+4	igookookohooenyin

X+gookook'oo+NA+Con+Loc	igookookohooenying

X+gookook'oo+NA+Con+Pl	igookookohooenyag

X+gookook'oo+NA+Dim+4	igookookohooensan

X+gookook'oo+NA+Dim+Loc	igookookohooensing

X+gookook'oo+NA+Dim+Pl	igookookohooensag

1+gookook'oo+NA+ThmPos+Pej	nigookookohoomish

2+gookook'oo+NA+ThmPos+Pej	gigookookohoomish

X+gookook'oo+NA+ThmPos+Pej	igookookohoomish

1+gookook'oo+NA+ThmPos+1+Pl	nigookookohoomnaan
1+gookook'oo+NA+ThmPos+1+Pl	nigookookohoomnaa

2+gookook'oo+NA+ThmPos+1+Pl	gigookookohoomnaan
2+gookook'oo+NA+ThmPos+1+Pl	gigookookohoomnaa

2+gookook'oo+NA+ThmPos+2+Pl	gigookookohoomwaa

3+gookook'oo+NA+ThmPos+3+4	ogookookohoomniw

1+gookook'oo+NA+ThmPos+Prt	nigookookohoomiban
1+gookook'oo+NA+ThmPos+Prt	nigookookohoomiba

1+gookook'oo+NA+ThmPos+Voc+Pl	nigookookohoomdig

2+gookook'oo+NA+ThmPos+Prt	gigookookohoomiban
2+gookook'oo+NA+ThmPos+Prt	gigookookohoomiba

2+gookook'oo+NA+ThmPos+Voc+Pl	gigookookohoomdig

X+gookook'oo+NA+ThmPos+Prt	igookookohoomiban
X+gookook'oo+NA+ThmPos+Prt	igookookohoomiba

X+gookook'oo+NA+ThmPos+Voc+Pl	igookookohoomdig

1+gookook'oo+NA+ThmPos+4	nigookookohooman

1+gookook'oo+NA+ThmPos+Loc	nigookookohooming

1+gookook'oo+NA+ThmPos+Pl	nigookookohoomag

2+gookook'oo+NA+ThmPos+4	gigookookohooman

2+gookook'oo+NA+ThmPos+Loc	gigookookohooming

2+gookook'oo+NA+ThmPos+Pl	gigookookohoomag

3+gookook'oo+NA+ThmPos+4	ogookookohooman

3+gookook'oo+NA+ThmPos+Loc	ogookookohooming

X+gookook'oo+NA+ThmPos+4	igookookohooman

X+gookook'oo+NA+ThmPos+Loc	igookookohooming

X+gookook'oo+NA+ThmPos+Pl	igookookohoomag

1+gookook'oo+NA+Pej+1+Pl	nigookookohooshnaan
1+gookook'oo+NA+Pej+1+Pl	nigookookohooshnaa

2+gookook'oo+NA+Pej+1+Pl	gigookookohooshnaan
2+gookook'oo+NA+Pej+1+Pl	gigookookohooshnaa

2+gookook'oo+NA+Pej+2+Pl	gigookookohooshwaa

3+gookook'oo+NA+Pej+3+4	ogookookohooshniw

1+gookook'oo+NA+Pej+Prt	nigookookohooshiban
1+gookook'oo+NA+Pej+Prt	nigookookohooshiba

1+gookook'oo+NA+Pej+Voc+Pl	nigookookohooshdig

2+gookook'oo+NA+Pej+Prt	gigookookohooshiban
2+gookook'oo+NA+Pej+Prt	gigookookohooshiba

2+gookook'oo+NA+Pej+Voc+Pl	gigookookohooshdig

X+gookook'oo+NA+Pej+Prt	igookookohooshiban
X+gookook'oo+NA+Pej+Prt	igookookohooshiba

X+gookook'oo+NA+Pej+Voc+Pl	igookookohooshdig

1+gookook'oo+NA+Pej+4	nigookookohooshan

1+gookook'oo+NA+Pej+Loc	nigookookohooshing

1+gookook'oo+NA+Pej+Pl	nigookookohooshag

2+gookook'oo+NA+Pej+4	gigookookohooshan

2+gookook'oo+NA+Pej+Loc	gigookookohooshing

2+gookook'oo+NA+Pej+Pl	gigookookohooshag

3+gookook'oo+NA+Pej+4	ogookookohooshan

3+gookook'oo+NA+Pej+Loc	ogookookohooshing

X+gookook'oo+NA+Pej+4	igookookohooshan

X+gookook'oo+NA+Pej+Loc	igookookohooshing

X+gookook'oo+NA+Pej+Pl	igookookohooshag

1+gookook'oo+NA+1+Pl+Prt	nigookookohoonaaniban
1+gookook'oo+NA+1+Pl+Prt	nigookookohoonaaniba

1+gookook'oo+NA+1+Pl+Voc+Pl	nigookookohoonaany1dig

2+gookook'oo+NA+1+Pl+Prt	gigookookohoonaaniban
2+gookook'oo+NA+1+Pl+Prt	gigookookohoonaaniba

2+gookook'oo+NA+1+Pl+Voc+Pl	gigookookohoonaany1dig

2+gookook'oo+NA+2+Pl+Prt	gigookookohoowaaban
2+gookook'oo+NA+2+Pl+Prt	gigookookohoowaaba

2+gookook'oo+NA+2+Pl+Voc+Pl	gigookookohoowaadig

3+gookook'oo+NA+3+4+Prt	ogookookohooniwiban
3+gookook'oo+NA+3+4+Prt	ogookookohooniwiba
3+gookook'oo+NA+3+4+Prt	ogookookohooniiban
3+gookook'oo+NA+3+4+Prt	ogookookohooniiba

1+gookook'oo+NA+1+Pl+4	nigookookohoonaanin

1+gookook'oo+NA+1+Pl+Loc	nigookookohoonaaning

1+gookook'oo+NA+1+Pl+Pl	nigookookohoonaany1ag

2+gookook'oo+NA+1+Pl+4	gigookookohoonaanin

2+gookook'oo+NA+1+Pl+Loc	gigookookohoonaaning

2+gookook'oo+NA+1+Pl+Pl	gigookookohoonaany1ag

2+gookook'oo+NA+2+Pl+4	gigookookohoowaan

2+gookook'oo+NA+2+Pl+Loc	gigookookohoowaang

2+gookook'oo+NA+2+Pl+Pl	gigookookohoowaaag

3+gookook'oo+NA+2+Pl+4	ogookookohoowaan

3+gookook'oo+NA+2+Pl+Loc	ogookookohoowaang

3+gookook'oo+NA+3+4+4	ogookookohooniwan

3+gookook'oo+NA+3+4+Loc	ogookookohooniing

1+gookook'oo+NA+Prt+4	nigookookohoobaniin

1+gookook'oo+NA+Prt+Loc	nigookookohoobaniing

1+gookook'oo+NA+Prt+Pl	nigookookohoobani1ag

2+gookook'oo+NA+Prt+4	gigookookohoobaniin

2+gookook'oo+NA+Prt+Loc	gigookookohoobaniing

2+gookook'oo+NA+Prt+Pl	gigookookohoobani1ag

3+gookook'oo+NA+Prt+4	ogookookohoobaniin

3+gookook'oo+NA+Prt+Loc	ogookookohoobaniing

X+gookook'oo+NA+Prt+4	igookookohoobaniin

X+gookook'oo+NA+Prt+Loc	igookookohoobaniing

X+gookook'oo+NA+Prt+Pl	igookookohoobani1ag

gookook'oo+NA+Con+Pej+Prt	gookookohooenyishiban
gookook'oo+NA+Con+Pej+Prt	gookookohooenyishiba

gookook'oo+NA+Con+Pej+Voc+Pl	gookookohooenyishdig

gookook'oo+NA+Dim+Pej+Prt	gookookohooensishiban
gookook'oo+NA+Dim+Pej+Prt	gookookohooensishiba

gookook'oo+NA+Dim+Pej+Voc+Pl	gookookohooensishdig

gookook'oo+NA+Con+Pej+4	gookookohooenyishan

gookook'oo+NA+Con+Pej+Loc	gookookohooenyishing

gookook'oo+NA+Con+Pej+Pl	gookookohooenyishag

gookook'oo+NA+Dim+Pej+4	gookookohooensishan

gookook'oo+NA+Dim+Pej+Loc	gookookohooensishing

gookook'oo+NA+Dim+Pej+Pl	gookookohooensishag

gookook'oo+NA+Con+Prt+4	gookookohooenyibaniin

gookook'oo+NA+Con+Prt+Loc	gookookohooenyibaniing

gookook'oo+NA+Con+Prt+Pl	gookookohooenyibani1ag

gookook'oo+NA+Dim+Prt+4	gookookohooensibaniin

gookook'oo+NA+Dim+Prt+Loc	gookookohooensibaniing

gookook'oo+NA+Dim+Prt+Pl	gookookohooensibani1ag

gookook'oo+NA+Pej+Prt+4	gookookohooshibaniin

gookook'oo+NA+Pej+Prt+Loc	gookookohooshibaniing

gookook'oo+NA+Pej+Prt+Pl	gookookohooshibani1ag

1+gookook'oo+NA+Con+ThmPos+Pej	nigookookohooenymish

1+gookook'oo+NA+Dim+ThmPos+Pej	nigookookohooensmish

2+gookook'oo+NA+Con+ThmPos+Pej	gigookookohooenymish

2+gookook'oo+NA+Dim+ThmPos+Pej	gigookookohooensmish

X+gookook'oo+NA+Con+ThmPos+Pej	igookookohooenymish

X+gookook'oo+NA+Dim+ThmPos+Pej	igookookohooensmish

1+gookook'oo+NA+Con+ThmPos+1+Pl	nigookookohooenymnaan
1+gookook'oo+NA+Con+ThmPos+1+Pl	nigookookohooenymnaa

1+gookook'oo+NA+Dim+ThmPos+1+Pl	nigookookohooensmnaan
1+gookook'oo+NA+Dim+ThmPos+1+Pl	nigookookohooensmnaa

2+gookook'oo+NA+Con+ThmPos+1+Pl	gigookookohooenymnaan
2+gookook'oo+NA+Con+ThmPos+1+Pl	gigookookohooenymnaa

2+gookook'oo+NA+Con+ThmPos+2+Pl	gigookookohooenymwaa

2+gookook'oo+NA+Dim+ThmPos+1+Pl	gigookookohooensmnaan
2+gookook'oo+NA+Dim+ThmPos+1+Pl	gigookookohooensmnaa

2+gookook'oo+NA+Dim+ThmPos+2+Pl	gigookookohooensmwaa

3+gookook'oo+NA+Con+ThmPos+3+4	ogookookohooenymniw

3+gookook'oo+NA+Dim+ThmPos+3+4	ogookookohooensmniw

1+gookook'oo+NA+Con+ThmPos+Prt	nigookookohooenymiban
1+gookook'oo+NA+Con+ThmPos+Prt	nigookookohooenymiba

1+gookook'oo+NA+Con+ThmPos+Voc+Pl	nigookookohooenymdig

1+gookook'oo+NA+Dim+ThmPos+Prt	nigookookohooensmiban
1+gookook'oo+NA+Dim+ThmPos+Prt	nigookookohooensmiba

1+gookook'oo+NA+Dim+ThmPos+Voc+Pl	nigookookohooensmdig

2+gookook'oo+NA+Con+ThmPos+Prt	gigookookohooenymiban
2+gookook'oo+NA+Con+ThmPos+Prt	gigookookohooenymiba

2+gookook'oo+NA+Con+ThmPos+Voc+Pl	gigookookohooenymdig

2+gookook'oo+NA+Dim+ThmPos+Prt	gigookookohooensmiban
2+gookook'oo+NA+Dim+ThmPos+Prt	gigookookohooensmiba

2+gookook'oo+NA+Dim+ThmPos+Voc+Pl	gigookookohooensmdig

X+gookook'oo+NA+Con+ThmPos+Prt	igookookohooenymiban
X+gookook'oo+NA+Con+ThmPos+Prt	igookookohooenymiba

X+gookook'oo+NA+Con+ThmPos+Voc+Pl	igookookohooenymdig

X+gookook'oo+NA+Dim+ThmPos+Prt	igookookohooensmiban
X+gookook'oo+NA+Dim+ThmPos+Prt	igookookohooensmiba

X+gookook'oo+NA+Dim+ThmPos+Voc+Pl	igookookohooensmdig

1+gookook'oo+NA+Con+ThmPos+4	nigookookohooenyman

1+gookook'oo+NA+Con+ThmPos+Loc	nigookookohooenyming

1+gookook'oo+NA+Con+ThmPos+Pl	nigookookohooenymag

1+gookook'oo+NA+Dim+ThmPos+4	nigookookohooensman

1+gookook'oo+NA+Dim+ThmPos+Loc	nigookookohooensming

1+gookook'oo+NA+Dim+ThmPos+Pl	nigookookohooensmag

2+gookook'oo+NA+Con+ThmPos+4	gigookookohooenyman

2+gookook'oo+NA+Con+ThmPos+Loc	gigookookohooenyming

2+gookook'oo+NA+Con+ThmPos+Pl	gigookookohooenymag

2+gookook'oo+NA+Dim+ThmPos+4	gigookookohooensman

2+gookook'oo+NA+Dim+ThmPos+Loc	gigookookohooensming

2+gookook'oo+NA+Dim+ThmPos+Pl	gigookookohooensmag

3+gookook'oo+NA+Con+ThmPos+4	ogookookohooenyman

3+gookook'oo+NA+Con+ThmPos+Loc	ogookookohooenyming

3+gookook'oo+NA+Dim+ThmPos+4	ogookookohooensman

3+gookook'oo+NA+Dim+ThmPos+Loc	ogookookohooensming

X+gookook'oo+NA+Con+ThmPos+4	igookookohooenyman

X+gookook'oo+NA+Con+ThmPos+Loc	igookookohooenyming

X+gookook'oo+NA+Con+ThmPos+Pl	igookookohooenymag

X+gookook'oo+NA+Dim+ThmPos+4	igookookohooensman

X+gookook'oo+NA+Dim+ThmPos+Loc	igookookohooensming

X+gookook'oo+NA+Dim+ThmPos+Pl	igookookohooensmag

1+gookook'oo+NA+Con+Pej+1+Pl	nigookookohooenyishnaan
1+gookook'oo+NA+Con+Pej+1+Pl	nigookookohooenyishnaa

1+gookook'oo+NA+Dim+Pej+1+Pl	nigookookohooensishnaan
1+gookook'oo+NA+Dim+Pej+1+Pl	nigookookohooensishnaa

2+gookook'oo+NA+Con+Pej+1+Pl	gigookookohooenyishnaan
2+gookook'oo+NA+Con+Pej+1+Pl	gigookookohooenyishnaa

2+gookook'oo+NA+Con+Pej+2+Pl	gigookookohooenyishwaa

2+gookook'oo+NA+Dim+Pej+1+Pl	gigookookohooensishnaan
2+gookook'oo+NA+Dim+Pej+1+Pl	gigookookohooensishnaa

2+gookook'oo+NA+Dim+Pej+2+Pl	gigookookohooensishwaa

3+gookook'oo+NA+Con+Pej+3+4	ogookookohooenyishniw

3+gookook'oo+NA+Dim+Pej+3+4	ogookookohooensishniw

1+gookook'oo+NA+Con+Pej+Prt	nigookookohooenyishiban
1+gookook'oo+NA+Con+Pej+Prt	nigookookohooenyishiba

1+gookook'oo+NA+Con+Pej+Voc+Pl	nigookookohooenyishdig

1+gookook'oo+NA+Dim+Pej+Prt	nigookookohooensishiban
1+gookook'oo+NA+Dim+Pej+Prt	nigookookohooensishiba

1+gookook'oo+NA+Dim+Pej+Voc+Pl	nigookookohooensishdig

2+gookook'oo+NA+Con+Pej+Prt	gigookookohooenyishiban
2+gookook'oo+NA+Con+Pej+Prt	gigookookohooenyishiba

2+gookook'oo+NA+Con+Pej+Voc+Pl	gigookookohooenyishdig

2+gookook'oo+NA+Dim+Pej+Prt	gigookookohooensishiban
2+gookook'oo+NA+Dim+Pej+Prt	gigookookohooensishiba

2+gookook'oo+NA+Dim+Pej+Voc+Pl	gigookookohooensishdig

X+gookook'oo+NA+Con+Pej+Prt	igookookohooenyishiban
X+gookook'oo+NA+Con+Pej+Prt	igookookohooenyishiba

X+gookook'oo+NA+Con+Pej+Voc+Pl	igookookohooenyishdig

X+gookook'oo+NA+Dim+Pej+Prt	igookookohooensishiban
X+gookook'oo+NA+Dim+Pej+Prt	igookookohooensishiba

X+gookook'oo+NA+Dim+Pej+Voc+Pl	igookookohooensishdig

1+gookook'oo+NA+Con+Pej+4	nigookookohooenyishan

1+gookook'oo+NA+Con+Pej+Loc	nigookookohooenyishing

1+gookook'oo+NA+Con+Pej+Pl	nigookookohooenyishag

1+gookook'oo+NA+Dim+Pej+4	nigookookohooensishan

1+gookook'oo+NA+Dim+Pej+Loc	nigookookohooensishing

1+gookook'oo+NA+Dim+Pej+Pl	nigookookohooensishag

2+gookook'oo+NA+Con+Pej+4	gigookookohooenyishan

2+gookook'oo+NA+Con+Pej+Loc	gigookookohooenyishing

2+gookook'oo+NA+Con+Pej+Pl	gigookookohooenyishag

2+gookook'oo+NA+Dim+Pej+4	gigookookohooensishan

2+gookook'oo+NA+Dim+Pej+Loc	gigookookohooensishing

2+gookook'oo+NA+Dim+Pej+Pl	gigookookohooensishag

3+gookook'oo+NA+Con+Pej+4	ogookookohooenyishan

3+gookook'oo+NA+Con+Pej+Loc	ogookookohooenyishing

3+gookook'oo+NA+Dim+Pej+4	ogookookohooensishan

3+gookook'oo+NA+Dim+Pej+Loc	ogookookohooensishing

X+gookook'oo+NA+Con+Pej+4	igookookohooenyishan

X+gookook'oo+NA+Con+Pej+Loc	igookookohooenyishing

X+gookook'oo+NA+Con+Pej+Pl	igookookohooenyishag

X+gookook'oo+NA+Dim+Pej+4	igookookohooensishan

X+gookook'oo+NA+Dim+Pej+Loc	igookookohooensishing

X+gookook'oo+NA+Dim+Pej+Pl	igookookohooensishag

1+gookook'oo+NA+Con+1+Pl+Prt	nigookookohooenynaaniban
1+gookook'oo+NA+Con+1+Pl+Prt	nigookookohooenynaaniba

1+gookook'oo+NA+Con+1+Pl+Voc+Pl	nigookookohooenynaany1dig

1+gookook'oo+NA+Dim+1+Pl+Prt	nigookookohooensnaaniban
1+gookook'oo+NA+Dim+1+Pl+Prt	nigookookohooensnaaniba

1+gookook'oo+NA+Dim+1+Pl+Voc+Pl	nigookookohooensnaany1dig

2+gookook'oo+NA+Con+1+Pl+Prt	gigookookohooenynaaniban
2+gookook'oo+NA+Con+1+Pl+Prt	gigookookohooenynaaniba

2+gookook'oo+NA+Con+1+Pl+Voc+Pl	gigookookohooenynaany1dig

2+gookook'oo+NA+Con+2+Pl+Prt	gigookookohooenywaaban
2+gookook'oo+NA+Con+2+Pl+Prt	gigookookohooenywaaba

2+gookook'oo+NA+Con+2+Pl+Voc+Pl	gigookookohooenywaadig

2+gookook'oo+NA+Dim+1+Pl+Prt	gigookookohooensnaaniban
2+gookook'oo+NA+Dim+1+Pl+Prt	gigookookohooensnaaniba

2+gookook'oo+NA+Dim+1+Pl+Voc+Pl	gigookookohooensnaany1dig

2+gookook'oo+NA+Dim+2+Pl+Prt	gigookookohooenswaaban
2+gookook'oo+NA+Dim+2+Pl+Prt	gigookookohooenswaaba

2+gookook'oo+NA+Dim+2+Pl+Voc+Pl	gigookookohooenswaadig

3+gookook'oo+NA+Con+3+4+Prt	ogookookohooenyniwiban
3+gookook'oo+NA+Con+3+4+Prt	ogookookohooenyniwiba
3+gookook'oo+NA+Con+3+4+Prt	ogookookohooenyniiban
3+gookook'oo+NA+Con+3+4+Prt	ogookookohooenyniiba

3+gookook'oo+NA+Dim+3+4+Prt	ogookookohooensniwiban
3+gookook'oo+NA+Dim+3+4+Prt	ogookookohooensniwiba
3+gookook'oo+NA+Dim+3+4+Prt	ogookookohooensniiban
3+gookook'oo+NA+Dim+3+4+Prt	ogookookohooensniiba

1+gookook'oo+NA+Con+1+Pl+4	nigookookohooenynaanin

1+gookook'oo+NA+Con+1+Pl+Loc	nigookookohooenynaaning

1+gookook'oo+NA+Con+1+Pl+Pl	nigookookohooenynaany1ag

1+gookook'oo+NA+Dim+1+Pl+4	nigookookohooensnaanin

1+gookook'oo+NA+Dim+1+Pl+Loc	nigookookohooensnaaning

1+gookook'oo+NA+Dim+1+Pl+Pl	nigookookohooensnaany1ag

2+gookook'oo+NA+Con+1+Pl+4	gigookookohooenynaanin

2+gookook'oo+NA+Con+1+Pl+Loc	gigookookohooenynaaning

2+gookook'oo+NA+Con+1+Pl+Pl	gigookookohooenynaany1ag

2+gookook'oo+NA+Con+2+Pl+4	gigookookohooenywaan

2+gookook'oo+NA+Con+2+Pl+Loc	gigookookohooenywaang

2+gookook'oo+NA+Con+2+Pl+Pl	gigookookohooenywaaag

2+gookook'oo+NA+Dim+1+Pl+4	gigookookohooensnaanin

2+gookook'oo+NA+Dim+1+Pl+Loc	gigookookohooensnaaning

2+gookook'oo+NA+Dim+1+Pl+Pl	gigookookohooensnaany1ag

2+gookook'oo+NA+Dim+2+Pl+4	gigookookohooenswaan

2+gookook'oo+NA+Dim+2+Pl+Loc	gigookookohooenswaang

2+gookook'oo+NA+Dim+2+Pl+Pl	gigookookohooenswaaag

3+gookook'oo+NA+Con+2+Pl+4	ogookookohooenywaan

3+gookook'oo+NA+Con+2+Pl+Loc	ogookookohooenywaang

3+gookook'oo+NA+Con+3+4+4	ogookookohooenyniwan

3+gookook'oo+NA+Con+3+4+Loc	ogookookohooenyniing

3+gookook'oo+NA+Dim+2+Pl+4	ogookookohooenswaan

3+gookook'oo+NA+Dim+2+Pl+Loc	ogookookohooenswaang

3+gookook'oo+NA+Dim+3+4+4	ogookookohooensniwan

3+gookook'oo+NA+Dim+3+4+Loc	ogookookohooensniing

1+gookook'oo+NA+Con+Prt+4	nigookookohooenyibaniin

1+gookook'oo+NA+Con+Prt+Loc	nigookookohooenyibaniing

1+gookook'oo+NA+Con+Prt+Pl	nigookookohooenyibani1ag

1+gookook'oo+NA+Dim+Prt+4	nigookookohooensibaniin

1+gookook'oo+NA+Dim+Prt+Loc	nigookookohooensibaniing

1+gookook'oo+NA+Dim+Prt+Pl	nigookookohooensibani1ag

2+gookook'oo+NA+Con+Prt+4	gigookookohooenyibaniin

2+gookook'oo+NA+Con+Prt+Loc	gigookookohooenyibaniing

2+gookook'oo+NA+Con+Prt+Pl	gigookookohooenyibani1ag

2+gookook'oo+NA+Dim+Prt+4	gigookookohooensibaniin

2+gookook'oo+NA+Dim+Prt+Loc	gigookookohooensibaniing

2+gookook'oo+NA+Dim+Prt+Pl	gigookookohooensibani1ag

3+gookook'oo+NA+Con+Prt+4	ogookookohooenyibaniin

3+gookook'oo+NA+Con+Prt+Loc	ogookookohooenyibaniing

3+gookook'oo+NA+Dim+Prt+4	ogookookohooensibaniin

