2+waabmaa+VTA+Thm2	giwaabami
2+waabmaa+VTA+ThmDir+Neg+1+Pl+Dub+3+Pl	giwaabamaasiiminaadigenag

2+waabmaa+VTA+ThmDir+Neg+2+Pl+Prt+3+Pl	giwaabamaasiwaawaabani1ag

2+waabmaa+VTA+ThmDir+Neg+2+Pl+Dub+3+Pl	giwaabamaasiwaawaadigenag

2+waabmaa+VTA+ThmInv+Neg+1+Pl+Prt+3+Pl	giwaabamigosiiminaabani1ag

2+waabmaa+VTA+ThmInv+Neg+1+Pl+Dub+3+Pl	giwaabamigosiiminaadigenag

2+waabmaa+VTA+ThmInv+Neg+2+Pl+Prt+3+Pl	giwaabamigosiiwaabani1ag

2+waabmaa+VTA+ThmInv+Neg+2+Pl+Dub+3+Pl	giwaabamigosiiwaadigenag

1+waabmaa+VTA+ThmDir+Neg+1+Pl+Prt+3+Pl	niwaabamaasiiminaabani1ag

1+waabmaa+VTA+ThmDir+Neg+1+Pl+Dub+3+Pl	niwaabamaasiiminaadigenag

1+waabmaa+VTA+ThmInv+Neg+1+Pl+Prt+3+Pl	niwaabamigosiiminaabani1ag

1+waabmaa+VTA+ThmInv+Neg+1+Pl+Dub+3+Pl	niwaabamigosiiminaadigenag

3+waabmaa+VTA+ThmDir+Neg+2+Pl+Prt+3+4	owaabamaasiwaawaabani1an

3+waabmaa+VTA+ThmDir+Neg+2+Pl+Dub+3+4	owaabamaasiwaawaadigenan

3+waabmaa+VTA+ThmInv+Neg+2+Pl+Prt+3+4	owaabamigosiiwaabani1an

3+waabmaa+VTA+ThmInv+Neg+2+Pl+Dub+3+4	owaabamigosiiwaadigenan

2+waabmaa+VTA+ThmInv+Neg+0+2+Pl+Prt+0+Pl	giwaabamigosiinaawaabani1an

2+waabmaa+VTA+ThmInv+Neg+0+2+Pl+Dub+0+Pl	giwaabamigosiinaawaadigenan

2+waabmaa+VTA+ThmInv+Neg+0+1+Pl+Prt+0+Pl	giwaabamigosiiminaabani1an

2+waabmaa+VTA+ThmInv+Neg+0+1+Pl+Dub+0+Pl	giwaabamigosiiminaadigenan

1+waabmaa+VTA+ThmInv+Neg+0+1+Pl+Prt+0+Pl	niwaabamigosiiminaabani1an

1+waabmaa+VTA+ThmInv+Neg+0+1+Pl+Dub+0+Pl	niwaabamigosiiminaadigenan

3+waabmaa+VTA+ThmInv+Neg+0+2+Pl+Prt+0+Pl	owaabamigosiinaawaabani1an

3+waabmaa+VTA+ThmInv+Neg+0+2+Pl+Dub+0+Pl	owaabamigosiinaawaadigenan

