mtigwaap+NA	mitigwaabi1
2+mtigwaap+NA+Dim+1+Pl+Pl	gimitigwaabi1ensnaany1ag

2+mtigwaap+NA+Dim+2+Pl+4	gimitigwaabi1enswaan

2+mtigwaap+NA+Dim+2+Pl+Loc	gimitigwaabi1enswaang

2+mtigwaap+NA+Dim+2+Pl+Pl	gimitigwaabi1enswaaag

3+mtigwaap+NA+Con+2+Pl+4	omitigwaabi1enywaan

3+mtigwaap+NA+Con+2+Pl+Loc	omitigwaabi1enywaang

3+mtigwaap+NA+Con+3+4+4	omitigwaabi1enyniwan

3+mtigwaap+NA+Con+3+4+Loc	omitigwaabi1enyniing

3+mtigwaap+NA+Dim+2+Pl+4	omitigwaabi1enswaan

3+mtigwaap+NA+Dim+2+Pl+Loc	omitigwaabi1enswaang

3+mtigwaap+NA+Dim+3+4+4	omitigwaabi1ensniwan

3+mtigwaap+NA+Dim+3+4+Loc	omitigwaabi1ensniing

1+mtigwaap+NA+Con+Prt+4	nimitigwaabi1enyibaniin

1+mtigwaap+NA+Con+Prt+Loc	nimitigwaabi1enyibaniing

1+mtigwaap+NA+Con+Prt+Pl	nimitigwaabi1enyibani1ag

1+mtigwaap+NA+Dim+Prt+4	nimitigwaabi1ensibaniin

1+mtigwaap+NA+Dim+Prt+Loc	nimitigwaabi1ensibaniing

1+mtigwaap+NA+Dim+Prt+Pl	nimitigwaabi1ensibani1ag

2+mtigwaap+NA+Con+Prt+4	gimitigwaabi1enyibaniin

2+mtigwaap+NA+Con+Prt+Loc	gimitigwaabi1enyibaniing

2+mtigwaap+NA+Con+Prt+Pl	gimitigwaabi1enyibani1ag

2+mtigwaap+NA+Dim+Prt+4	gimitigwaabi1ensibaniin

2+mtigwaap+NA+Dim+Prt+Loc	gimitigwaabi1ensibaniing

2+mtigwaap+NA+Dim+Prt+Pl	gimitigwaabi1ensibani1ag

3+mtigwaap+NA+Con+Prt+4	omitigwaabi1enyibaniin

3+mtigwaap+NA+Con+Prt+Loc	omitigwaabi1enyibaniing

3+mtigwaap+NA+Dim+Prt+4	omitigwaabi1ensibaniin

3+mtigwaap+NA+Dim+Prt+Loc	omitigwaabi1ensibaniing

X+mtigwaap+NA+Con+Prt+4	imitigwaabi1enyibaniin

X+mtigwaap+NA+Con+Prt+Loc	imitigwaabi1enyibaniing

X+mtigwaap+NA+Con+Prt+Pl	imitigwaabi1enyibani1ag

X+mtigwaap+NA+Dim+Prt+4	imitigwaabi1ensibaniin

X+mtigwaap+NA+Dim+Prt+Loc	imitigwaabi1ensibaniing

X+mtigwaap+NA+Dim+Prt+Pl	imitigwaabi1ensibani1ag

1+mtigwaap+NA+ThmPos+Pej+1+Pl	nimitigwaabi1mishnaan
1+mtigwaap+NA+ThmPos+Pej+1+Pl	nimitigwaabi1mishnaa

2+mtigwaap+NA+ThmPos+Pej+1+Pl	gimitigwaabi1mishnaan
2+mtigwaap+NA+ThmPos+Pej+1+Pl	gimitigwaabi1mishnaa

2+mtigwaap+NA+ThmPos+Pej+2+Pl	gimitigwaabi1mishwaa

3+mtigwaap+NA+ThmPos+Pej+3+4	omitigwaabi1mishniw

1+mtigwaap+NA+ThmPos+Pej+Prt	nimitigwaabi1mishiban
1+mtigwaap+NA+ThmPos+Pej+Prt	nimitigwaabi1mishiba

1+mtigwaap+NA+ThmPos+Pej+Voc+Pl	nimitigwaabi1mishdig

2+mtigwaap+NA+ThmPos+Pej+Prt	gimitigwaabi1mishiban
2+mtigwaap+NA+ThmPos+Pej+Prt	gimitigwaabi1mishiba

2+mtigwaap+NA+ThmPos+Pej+Voc+Pl	gimitigwaabi1mishdig

X+mtigwaap+NA+ThmPos+Pej+Prt	imitigwaabi1mishiban
X+mtigwaap+NA+ThmPos+Pej+Prt	imitigwaabi1mishiba

X+mtigwaap+NA+ThmPos+Pej+Voc+Pl	imitigwaabi1mishdig

1+mtigwaap+NA+ThmPos+Pej+4	nimitigwaabi1mishan

1+mtigwaap+NA+ThmPos+Pej+Loc	nimitigwaabi1mishing

1+mtigwaap+NA+ThmPos+Pej+Pl	nimitigwaabi1mishag

2+mtigwaap+NA+ThmPos+Pej+4	gimitigwaabi1mishan

2+mtigwaap+NA+ThmPos+Pej+Loc	gimitigwaabi1mishing

2+mtigwaap+NA+ThmPos+Pej+Pl	gimitigwaabi1mishag

3+mtigwaap+NA+ThmPos+Pej+4	omitigwaabi1mishan

3+mtigwaap+NA+ThmPos+Pej+Loc	omitigwaabi1mishing

X+mtigwaap+NA+ThmPos+Pej+4	imitigwaabi1mishan

X+mtigwaap+NA+ThmPos+Pej+Loc	imitigwaabi1mishing

X+mtigwaap+NA+ThmPos+Pej+Pl	imitigwaabi1mishag

1+mtigwaap+NA+ThmPos+1+Pl+Prt	nimitigwaabi1mnaaniban
1+mtigwaap+NA+ThmPos+1+Pl+Prt	nimitigwaabi1mnaaniba

1+mtigwaap+NA+ThmPos+1+Pl+Voc+Pl	nimitigwaabi1mnaany1dig

2+mtigwaap+NA+ThmPos+1+Pl+Prt	gimitigwaabi1mnaaniban
2+mtigwaap+NA+ThmPos+1+Pl+Prt	gimitigwaabi1mnaaniba

2+mtigwaap+NA+ThmPos+1+Pl+Voc+Pl	gimitigwaabi1mnaany1dig

2+mtigwaap+NA+ThmPos+2+Pl+Prt	gimitigwaabi1mwaaban
2+mtigwaap+NA+ThmPos+2+Pl+Prt	gimitigwaabi1mwaaba

2+mtigwaap+NA+ThmPos+2+Pl+Voc+Pl	gimitigwaabi1mwaadig

3+mtigwaap+NA+ThmPos+3+4+Prt	omitigwaabi1mniwiban
3+mtigwaap+NA+ThmPos+3+4+Prt	omitigwaabi1mniwiba
3+mtigwaap+NA+ThmPos+3+4+Prt	omitigwaabi1mniiban
3+mtigwaap+NA+ThmPos+3+4+Prt	omitigwaabi1mniiba

1+mtigwaap+NA+ThmPos+1+Pl+4	nimitigwaabi1mnaanin

1+mtigwaap+NA+ThmPos+1+Pl+Loc	nimitigwaabi1mnaaning

1+mtigwaap+NA+ThmPos+1+Pl+Pl	nimitigwaabi1mnaany1ag

2+mtigwaap+NA+ThmPos+1+Pl+4	gimitigwaabi1mnaanin

2+mtigwaap+NA+ThmPos+1+Pl+Loc	gimitigwaabi1mnaaning

2+mtigwaap+NA+ThmPos+1+Pl+Pl	gimitigwaabi1mnaany1ag

2+mtigwaap+NA+ThmPos+2+Pl+4	gimitigwaabi1mwaan

2+mtigwaap+NA+ThmPos+2+Pl+Loc	gimitigwaabi1mwaang

2+mtigwaap+NA+ThmPos+2+Pl+Pl	gimitigwaabi1mwaaag

3+mtigwaap+NA+ThmPos+2+Pl+4	omitigwaabi1mwaan

3+mtigwaap+NA+ThmPos+2+Pl+Loc	omitigwaabi1mwaang

3+mtigwaap+NA+ThmPos+3+4+4	omitigwaabi1mniwan

3+mtigwaap+NA+ThmPos+3+4+Loc	omitigwaabi1mniing

1+mtigwaap+NA+ThmPos+Prt+4	nimitigwaabi1mibaniin

1+mtigwaap+NA+ThmPos+Prt+Loc	nimitigwaabi1mibaniing

1+mtigwaap+NA+ThmPos+Prt+Pl	nimitigwaabi1mibani1ag

2+mtigwaap+NA+ThmPos+Prt+4	gimitigwaabi1mibaniin

2+mtigwaap+NA+ThmPos+Prt+Loc	gimitigwaabi1mibaniing

2+mtigwaap+NA+ThmPos+Prt+Pl	gimitigwaabi1mibani1ag

3+mtigwaap+NA+ThmPos+Prt+4	omitigwaabi1mibaniin

3+mtigwaap+NA+ThmPos+Prt+Loc	omitigwaabi1mibaniing

X+mtigwaap+NA+ThmPos+Prt+4	imitigwaabi1mibaniin

X+mtigwaap+NA+ThmPos+Prt+Loc	imitigwaabi1mibaniing

X+mtigwaap+NA+ThmPos+Prt+Pl	imitigwaabi1mibani1ag

1+mtigwaap+NA+Pej+1+Pl+Prt	nimitigwaabi1shnaaniban
1+mtigwaap+NA+Pej+1+Pl+Prt	nimitigwaabi1shnaaniba

1+mtigwaap+NA+Pej+1+Pl+Voc+Pl	nimitigwaabi1shnaany1dig

2+mtigwaap+NA+Pej+1+Pl+Prt	gimitigwaabi1shnaaniban
2+mtigwaap+NA+Pej+1+Pl+Prt	gimitigwaabi1shnaaniba

2+mtigwaap+NA+Pej+1+Pl+Voc+Pl	gimitigwaabi1shnaany1dig

2+mtigwaap+NA+Pej+2+Pl+Prt	gimitigwaabi1shwaaban
2+mtigwaap+NA+Pej+2+Pl+Prt	gimitigwaabi1shwaaba

2+mtigwaap+NA+Pej+2+Pl+Voc+Pl	gimitigwaabi1shwaadig

3+mtigwaap+NA+Pej+3+4+Prt	omitigwaabi1shniwiban
3+mtigwaap+NA+Pej+3+4+Prt	omitigwaabi1shniwiba
3+mtigwaap+NA+Pej+3+4+Prt	omitigwaabi1shniiban
3+mtigwaap+NA+Pej+3+4+Prt	omitigwaabi1shniiba

1+mtigwaap+NA+Pej+1+Pl+4	nimitigwaabi1shnaanin

1+mtigwaap+NA+Pej+1+Pl+Loc	nimitigwaabi1shnaaning

1+mtigwaap+NA+Pej+1+Pl+Pl	nimitigwaabi1shnaany1ag

2+mtigwaap+NA+Pej+1+Pl+4	gimitigwaabi1shnaanin

2+mtigwaap+NA+Pej+1+Pl+Loc	gimitigwaabi1shnaaning

2+mtigwaap+NA+Pej+1+Pl+Pl	gimitigwaabi1shnaany1ag

2+mtigwaap+NA+Pej+2+Pl+4	gimitigwaabi1shwaan

2+mtigwaap+NA+Pej+2+Pl+Loc	gimitigwaabi1shwaang

2+mtigwaap+NA+Pej+2+Pl+Pl	gimitigwaabi1shwaaag

3+mtigwaap+NA+Pej+2+Pl+4	omitigwaabi1shwaan

3+mtigwaap+NA+Pej+2+Pl+Loc	omitigwaabi1shwaang

3+mtigwaap+NA+Pej+3+4+4	omitigwaabi1shniwan

3+mtigwaap+NA+Pej+3+4+Loc	omitigwaabi1shniing

1+mtigwaap+NA+Pej+Prt+4	nimitigwaabi1shibaniin

1+mtigwaap+NA+Pej+Prt+Loc	nimitigwaabi1shibaniing

1+mtigwaap+NA+Pej+Prt+Pl	nimitigwaabi1shibani1ag

2+mtigwaap+NA+Pej+Prt+4	gimitigwaabi1shibaniin

2+mtigwaap+NA+Pej+Prt+Loc	gimitigwaabi1shibaniing

2+mtigwaap+NA+Pej+Prt+Pl	gimitigwaabi1shibani1ag

3+mtigwaap+NA+Pej+Prt+4	omitigwaabi1shibaniin

3+mtigwaap+NA+Pej+Prt+Loc	omitigwaabi1shibaniing

X+mtigwaap+NA+Pej+Prt+4	imitigwaabi1shibaniin

X+mtigwaap+NA+Pej+Prt+Loc	imitigwaabi1shibaniing

X+mtigwaap+NA+Pej+Prt+Pl	imitigwaabi1shibani1ag

1+mtigwaap+NA+1+Pl+Prt+4	nimitigwaabi1naanibaniin

1+mtigwaap+NA+1+Pl+Prt+Loc	nimitigwaabi1naanibaniing

1+mtigwaap+NA+1+Pl+Prt+Pl	nimitigwaabi1naanibani1ag

2+mtigwaap+NA+1+Pl+Prt+4	gimitigwaabi1naanibaniin

2+mtigwaap+NA+1+Pl+Prt+Loc	gimitigwaabi1naanibaniing

2+mtigwaap+NA+1+Pl+Prt+Pl	gimitigwaabi1naanibani1ag

2+mtigwaap+NA+2+Pl+Prt+4	gimitigwaabi1waabaniin

2+mtigwaap+NA+2+Pl+Prt+Loc	gimitigwaabi1waabaniing

2+mtigwaap+NA+2+Pl+Prt+Pl	gimitigwaabi1waabani1ag

3+mtigwaap+NA+2+Pl+Prt+4	omitigwaabi1waabaniin

3+mtigwaap+NA+2+Pl+Prt+Loc	omitigwaabi1waabaniing

3+mtigwaap+NA+3+4+Prt+4	omitigwaabi1niwibaniin
3+mtigwaap+NA+3+4+Prt+4	omitigwaabi1niibaniin

3+mtigwaap+NA+3+4+Prt+Loc	omitigwaabi1niwibaniing
3+mtigwaap+NA+3+4+Prt+Loc	omitigwaabi1niibaniing

mtigwaap+NA+Con+Pej+Prt+4	mitigwaabi1enyishibaniin

mtigwaap+NA+Con+Pej+Prt+Loc	mitigwaabi1enyishibaniing

mtigwaap+NA+Con+Pej+Prt+Pl	mitigwaabi1enyishibani1ag

mtigwaap+NA+Dim+Pej+Prt+4	mitigwaabi1ensishibaniin

mtigwaap+NA+Dim+Pej+Prt+Loc	mitigwaabi1ensishibaniing

mtigwaap+NA+Dim+Pej+Prt+Pl	mitigwaabi1ensishibani1ag

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl	nimitigwaabi1enymishnaan
1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl	nimitigwaabi1enymishnaa

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl	nimitigwaabi1ensmishnaan
1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl	nimitigwaabi1ensmishnaa

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl	gimitigwaabi1enymishnaan
2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl	gimitigwaabi1enymishnaa

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl	gimitigwaabi1enymishwaa

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl	gimitigwaabi1ensmishnaan
2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl	gimitigwaabi1ensmishnaa

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl	gimitigwaabi1ensmishwaa

3+mtigwaap+NA+Con+ThmPos+Pej+3+4	omitigwaabi1enymishniw

3+mtigwaap+NA+Dim+ThmPos+Pej+3+4	omitigwaabi1ensmishniw

1+mtigwaap+NA+Con+ThmPos+Pej+Prt	nimitigwaabi1enymishiban
1+mtigwaap+NA+Con+ThmPos+Pej+Prt	nimitigwaabi1enymishiba

1+mtigwaap+NA+Con+ThmPos+Pej+Voc+Pl	nimitigwaabi1enymishdig

1+mtigwaap+NA+Dim+ThmPos+Pej+Prt	nimitigwaabi1ensmishiban
1+mtigwaap+NA+Dim+ThmPos+Pej+Prt	nimitigwaabi1ensmishiba

1+mtigwaap+NA+Dim+ThmPos+Pej+Voc+Pl	nimitigwaabi1ensmishdig

2+mtigwaap+NA+Con+ThmPos+Pej+Prt	gimitigwaabi1enymishiban
2+mtigwaap+NA+Con+ThmPos+Pej+Prt	gimitigwaabi1enymishiba

2+mtigwaap+NA+Con+ThmPos+Pej+Voc+Pl	gimitigwaabi1enymishdig

2+mtigwaap+NA+Dim+ThmPos+Pej+Prt	gimitigwaabi1ensmishiban
2+mtigwaap+NA+Dim+ThmPos+Pej+Prt	gimitigwaabi1ensmishiba

2+mtigwaap+NA+Dim+ThmPos+Pej+Voc+Pl	gimitigwaabi1ensmishdig

X+mtigwaap+NA+Con+ThmPos+Pej+Prt	imitigwaabi1enymishiban
X+mtigwaap+NA+Con+ThmPos+Pej+Prt	imitigwaabi1enymishiba

X+mtigwaap+NA+Con+ThmPos+Pej+Voc+Pl	imitigwaabi1enymishdig

X+mtigwaap+NA+Dim+ThmPos+Pej+Prt	imitigwaabi1ensmishiban
X+mtigwaap+NA+Dim+ThmPos+Pej+Prt	imitigwaabi1ensmishiba

X+mtigwaap+NA+Dim+ThmPos+Pej+Voc+Pl	imitigwaabi1ensmishdig

1+mtigwaap+NA+Con+ThmPos+Pej+4	nimitigwaabi1enymishan

1+mtigwaap+NA+Con+ThmPos+Pej+Loc	nimitigwaabi1enymishing

1+mtigwaap+NA+Con+ThmPos+Pej+Pl	nimitigwaabi1enymishag

1+mtigwaap+NA+Dim+ThmPos+Pej+4	nimitigwaabi1ensmishan

1+mtigwaap+NA+Dim+ThmPos+Pej+Loc	nimitigwaabi1ensmishing

1+mtigwaap+NA+Dim+ThmPos+Pej+Pl	nimitigwaabi1ensmishag

2+mtigwaap+NA+Con+ThmPos+Pej+4	gimitigwaabi1enymishan

2+mtigwaap+NA+Con+ThmPos+Pej+Loc	gimitigwaabi1enymishing

2+mtigwaap+NA+Con+ThmPos+Pej+Pl	gimitigwaabi1enymishag

2+mtigwaap+NA+Dim+ThmPos+Pej+4	gimitigwaabi1ensmishan

2+mtigwaap+NA+Dim+ThmPos+Pej+Loc	gimitigwaabi1ensmishing

2+mtigwaap+NA+Dim+ThmPos+Pej+Pl	gimitigwaabi1ensmishag

3+mtigwaap+NA+Con+ThmPos+Pej+4	omitigwaabi1enymishan

3+mtigwaap+NA+Con+ThmPos+Pej+Loc	omitigwaabi1enymishing

3+mtigwaap+NA+Dim+ThmPos+Pej+4	omitigwaabi1ensmishan

3+mtigwaap+NA+Dim+ThmPos+Pej+Loc	omitigwaabi1ensmishing

X+mtigwaap+NA+Con+ThmPos+Pej+4	imitigwaabi1enymishan

X+mtigwaap+NA+Con+ThmPos+Pej+Loc	imitigwaabi1enymishing

X+mtigwaap+NA+Con+ThmPos+Pej+Pl	imitigwaabi1enymishag

X+mtigwaap+NA+Dim+ThmPos+Pej+4	imitigwaabi1ensmishan

X+mtigwaap+NA+Dim+ThmPos+Pej+Loc	imitigwaabi1ensmishing

X+mtigwaap+NA+Dim+ThmPos+Pej+Pl	imitigwaabi1ensmishag

1+mtigwaap+NA+Con+ThmPos+1+Pl+Prt	nimitigwaabi1enymnaaniban
1+mtigwaap+NA+Con+ThmPos+1+Pl+Prt	nimitigwaabi1enymnaaniba

1+mtigwaap+NA+Con+ThmPos+1+Pl+Voc+Pl	nimitigwaabi1enymnaany1dig

1+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt	nimitigwaabi1ensmnaaniban
1+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt	nimitigwaabi1ensmnaaniba

1+mtigwaap+NA+Dim+ThmPos+1+Pl+Voc+Pl	nimitigwaabi1ensmnaany1dig

2+mtigwaap+NA+Con+ThmPos+1+Pl+Prt	gimitigwaabi1enymnaaniban
2+mtigwaap+NA+Con+ThmPos+1+Pl+Prt	gimitigwaabi1enymnaaniba

2+mtigwaap+NA+Con+ThmPos+1+Pl+Voc+Pl	gimitigwaabi1enymnaany1dig

2+mtigwaap+NA+Con+ThmPos+2+Pl+Prt	gimitigwaabi1enymwaaban
2+mtigwaap+NA+Con+ThmPos+2+Pl+Prt	gimitigwaabi1enymwaaba

2+mtigwaap+NA+Con+ThmPos+2+Pl+Voc+Pl	gimitigwaabi1enymwaadig

2+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt	gimitigwaabi1ensmnaaniban
2+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt	gimitigwaabi1ensmnaaniba

2+mtigwaap+NA+Dim+ThmPos+1+Pl+Voc+Pl	gimitigwaabi1ensmnaany1dig

2+mtigwaap+NA+Dim+ThmPos+2+Pl+Prt	gimitigwaabi1ensmwaaban
2+mtigwaap+NA+Dim+ThmPos+2+Pl+Prt	gimitigwaabi1ensmwaaba

2+mtigwaap+NA+Dim+ThmPos+2+Pl+Voc+Pl	gimitigwaabi1ensmwaadig

3+mtigwaap+NA+Con+ThmPos+3+4+Prt	omitigwaabi1enymniwiban
3+mtigwaap+NA+Con+ThmPos+3+4+Prt	omitigwaabi1enymniwiba
3+mtigwaap+NA+Con+ThmPos+3+4+Prt	omitigwaabi1enymniiban
3+mtigwaap+NA+Con+ThmPos+3+4+Prt	omitigwaabi1enymniiba

3+mtigwaap+NA+Dim+ThmPos+3+4+Prt	omitigwaabi1ensmniwiban
3+mtigwaap+NA+Dim+ThmPos+3+4+Prt	omitigwaabi1ensmniwiba
3+mtigwaap+NA+Dim+ThmPos+3+4+Prt	omitigwaabi1ensmniiban
3+mtigwaap+NA+Dim+ThmPos+3+4+Prt	omitigwaabi1ensmniiba

1+mtigwaap+NA+Con+ThmPos+1+Pl+4	nimitigwaabi1enymnaanin

1+mtigwaap+NA+Con+ThmPos+1+Pl+Loc	nimitigwaabi1enymnaaning

1+mtigwaap+NA+Con+ThmPos+1+Pl+Pl	nimitigwaabi1enymnaany1ag

1+mtigwaap+NA+Dim+ThmPos+1+Pl+4	nimitigwaabi1ensmnaanin

1+mtigwaap+NA+Dim+ThmPos+1+Pl+Loc	nimitigwaabi1ensmnaaning

1+mtigwaap+NA+Dim+ThmPos+1+Pl+Pl	nimitigwaabi1ensmnaany1ag

2+mtigwaap+NA+Con+ThmPos+1+Pl+4	gimitigwaabi1enymnaanin

2+mtigwaap+NA+Con+ThmPos+1+Pl+Loc	gimitigwaabi1enymnaaning

2+mtigwaap+NA+Con+ThmPos+1+Pl+Pl	gimitigwaabi1enymnaany1ag

2+mtigwaap+NA+Con+ThmPos+2+Pl+4	gimitigwaabi1enymwaan

2+mtigwaap+NA+Con+ThmPos+2+Pl+Loc	gimitigwaabi1enymwaang

2+mtigwaap+NA+Con+ThmPos+2+Pl+Pl	gimitigwaabi1enymwaaag

2+mtigwaap+NA+Dim+ThmPos+1+Pl+4	gimitigwaabi1ensmnaanin

2+mtigwaap+NA+Dim+ThmPos+1+Pl+Loc	gimitigwaabi1ensmnaaning

2+mtigwaap+NA+Dim+ThmPos+1+Pl+Pl	gimitigwaabi1ensmnaany1ag

2+mtigwaap+NA+Dim+ThmPos+2+Pl+4	gimitigwaabi1ensmwaan

2+mtigwaap+NA+Dim+ThmPos+2+Pl+Loc	gimitigwaabi1ensmwaang

2+mtigwaap+NA+Dim+ThmPos+2+Pl+Pl	gimitigwaabi1ensmwaaag

3+mtigwaap+NA+Con+ThmPos+2+Pl+4	omitigwaabi1enymwaan

3+mtigwaap+NA+Con+ThmPos+2+Pl+Loc	omitigwaabi1enymwaang

3+mtigwaap+NA+Con+ThmPos+3+4+4	omitigwaabi1enymniwan

3+mtigwaap+NA+Con+ThmPos+3+4+Loc	omitigwaabi1enymniing

3+mtigwaap+NA+Dim+ThmPos+2+Pl+4	omitigwaabi1ensmwaan

3+mtigwaap+NA+Dim+ThmPos+2+Pl+Loc	omitigwaabi1ensmwaang

3+mtigwaap+NA+Dim+ThmPos+3+4+4	omitigwaabi1ensmniwan

3+mtigwaap+NA+Dim+ThmPos+3+4+Loc	omitigwaabi1ensmniing

1+mtigwaap+NA+Con+ThmPos+Prt+4	nimitigwaabi1enymibaniin

1+mtigwaap+NA+Con+ThmPos+Prt+Loc	nimitigwaabi1enymibaniing

1+mtigwaap+NA+Con+ThmPos+Prt+Pl	nimitigwaabi1enymibani1ag

1+mtigwaap+NA+Dim+ThmPos+Prt+4	nimitigwaabi1ensmibaniin

1+mtigwaap+NA+Dim+ThmPos+Prt+Loc	nimitigwaabi1ensmibaniing

1+mtigwaap+NA+Dim+ThmPos+Prt+Pl	nimitigwaabi1ensmibani1ag

2+mtigwaap+NA+Con+ThmPos+Prt+4	gimitigwaabi1enymibaniin

2+mtigwaap+NA+Con+ThmPos+Prt+Loc	gimitigwaabi1enymibaniing

2+mtigwaap+NA+Con+ThmPos+Prt+Pl	gimitigwaabi1enymibani1ag

2+mtigwaap+NA+Dim+ThmPos+Prt+4	gimitigwaabi1ensmibaniin

2+mtigwaap+NA+Dim+ThmPos+Prt+Loc	gimitigwaabi1ensmibaniing

2+mtigwaap+NA+Dim+ThmPos+Prt+Pl	gimitigwaabi1ensmibani1ag

3+mtigwaap+NA+Con+ThmPos+Prt+4	omitigwaabi1enymibaniin

3+mtigwaap+NA+Con+ThmPos+Prt+Loc	omitigwaabi1enymibaniing

3+mtigwaap+NA+Dim+ThmPos+Prt+4	omitigwaabi1ensmibaniin

3+mtigwaap+NA+Dim+ThmPos+Prt+Loc	omitigwaabi1ensmibaniing

X+mtigwaap+NA+Con+ThmPos+Prt+4	imitigwaabi1enymibaniin

X+mtigwaap+NA+Con+ThmPos+Prt+Loc	imitigwaabi1enymibaniing

X+mtigwaap+NA+Con+ThmPos+Prt+Pl	imitigwaabi1enymibani1ag

X+mtigwaap+NA+Dim+ThmPos+Prt+4	imitigwaabi1ensmibaniin

X+mtigwaap+NA+Dim+ThmPos+Prt+Loc	imitigwaabi1ensmibaniing

X+mtigwaap+NA+Dim+ThmPos+Prt+Pl	imitigwaabi1ensmibani1ag

1+mtigwaap+NA+Con+Pej+1+Pl+Prt	nimitigwaabi1enyishnaaniban
1+mtigwaap+NA+Con+Pej+1+Pl+Prt	nimitigwaabi1enyishnaaniba

1+mtigwaap+NA+Con+Pej+1+Pl+Voc+Pl	nimitigwaabi1enyishnaany1dig

1+mtigwaap+NA+Dim+Pej+1+Pl+Prt	nimitigwaabi1ensishnaaniban
1+mtigwaap+NA+Dim+Pej+1+Pl+Prt	nimitigwaabi1ensishnaaniba

1+mtigwaap+NA+Dim+Pej+1+Pl+Voc+Pl	nimitigwaabi1ensishnaany1dig

2+mtigwaap+NA+Con+Pej+1+Pl+Prt	gimitigwaabi1enyishnaaniban
2+mtigwaap+NA+Con+Pej+1+Pl+Prt	gimitigwaabi1enyishnaaniba

2+mtigwaap+NA+Con+Pej+1+Pl+Voc+Pl	gimitigwaabi1enyishnaany1dig

2+mtigwaap+NA+Con+Pej+2+Pl+Prt	gimitigwaabi1enyishwaaban
2+mtigwaap+NA+Con+Pej+2+Pl+Prt	gimitigwaabi1enyishwaaba

2+mtigwaap+NA+Con+Pej+2+Pl+Voc+Pl	gimitigwaabi1enyishwaadig

2+mtigwaap+NA+Dim+Pej+1+Pl+Prt	gimitigwaabi1ensishnaaniban
2+mtigwaap+NA+Dim+Pej+1+Pl+Prt	gimitigwaabi1ensishnaaniba

2+mtigwaap+NA+Dim+Pej+1+Pl+Voc+Pl	gimitigwaabi1ensishnaany1dig

2+mtigwaap+NA+Dim+Pej+2+Pl+Prt	gimitigwaabi1ensishwaaban
2+mtigwaap+NA+Dim+Pej+2+Pl+Prt	gimitigwaabi1ensishwaaba

2+mtigwaap+NA+Dim+Pej+2+Pl+Voc+Pl	gimitigwaabi1ensishwaadig

3+mtigwaap+NA+Con+Pej+3+4+Prt	omitigwaabi1enyishniwiban
3+mtigwaap+NA+Con+Pej+3+4+Prt	omitigwaabi1enyishniwiba
3+mtigwaap+NA+Con+Pej+3+4+Prt	omitigwaabi1enyishniiban
3+mtigwaap+NA+Con+Pej+3+4+Prt	omitigwaabi1enyishniiba

3+mtigwaap+NA+Dim+Pej+3+4+Prt	omitigwaabi1ensishniwiban
3+mtigwaap+NA+Dim+Pej+3+4+Prt	omitigwaabi1ensishniwiba
3+mtigwaap+NA+Dim+Pej+3+4+Prt	omitigwaabi1ensishniiban
3+mtigwaap+NA+Dim+Pej+3+4+Prt	omitigwaabi1ensishniiba

1+mtigwaap+NA+Con+Pej+1+Pl+4	nimitigwaabi1enyishnaanin

1+mtigwaap+NA+Con+Pej+1+Pl+Loc	nimitigwaabi1enyishnaaning

1+mtigwaap+NA+Con+Pej+1+Pl+Pl	nimitigwaabi1enyishnaany1ag

1+mtigwaap+NA+Dim+Pej+1+Pl+4	nimitigwaabi1ensishnaanin

1+mtigwaap+NA+Dim+Pej+1+Pl+Loc	nimitigwaabi1ensishnaaning

1+mtigwaap+NA+Dim+Pej+1+Pl+Pl	nimitigwaabi1ensishnaany1ag

2+mtigwaap+NA+Con+Pej+1+Pl+4	gimitigwaabi1enyishnaanin

2+mtigwaap+NA+Con+Pej+1+Pl+Loc	gimitigwaabi1enyishnaaning

2+mtigwaap+NA+Con+Pej+1+Pl+Pl	gimitigwaabi1enyishnaany1ag

2+mtigwaap+NA+Con+Pej+2+Pl+4	gimitigwaabi1enyishwaan

