mtigwaap+NA	mitigwaabi1
2+mtigwaap+NA+Con+ThmPos+2+Pl	gimitigwaabi1enymwaa

2+mtigwaap+NA+Dim+ThmPos+1+Pl	gimitigwaabi1ensmnaan
2+mtigwaap+NA+Dim+ThmPos+1+Pl	gimitigwaabi1ensmnaa

2+mtigwaap+NA+Dim+ThmPos+2+Pl	gimitigwaabi1ensmwaa

3+mtigwaap+NA+Con+ThmPos+3+4	omitigwaabi1enymniw

3+mtigwaap+NA+Dim+ThmPos+3+4	omitigwaabi1ensmniw

1+mtigwaap+NA+Con+ThmPos+Prt	nimitigwaabi1enymiban
1+mtigwaap+NA+Con+ThmPos+Prt	nimitigwaabi1enymiba

1+mtigwaap+NA+Con+ThmPos+Voc+Pl	nimitigwaabi1enymdig

1+mtigwaap+NA+Dim+ThmPos+Prt	nimitigwaabi1ensmiban
1+mtigwaap+NA+Dim+ThmPos+Prt	nimitigwaabi1ensmiba

1+mtigwaap+NA+Dim+ThmPos+Voc+Pl	nimitigwaabi1ensmdig

2+mtigwaap+NA+Con+ThmPos+Prt	gimitigwaabi1enymiban
2+mtigwaap+NA+Con+ThmPos+Prt	gimitigwaabi1enymiba

2+mtigwaap+NA+Con+ThmPos+Voc+Pl	gimitigwaabi1enymdig

2+mtigwaap+NA+Dim+ThmPos+Prt	gimitigwaabi1ensmiban
2+mtigwaap+NA+Dim+ThmPos+Prt	gimitigwaabi1ensmiba

2+mtigwaap+NA+Dim+ThmPos+Voc+Pl	gimitigwaabi1ensmdig

X+mtigwaap+NA+Con+ThmPos+Prt	imitigwaabi1enymiban
X+mtigwaap+NA+Con+ThmPos+Prt	imitigwaabi1enymiba

X+mtigwaap+NA+Con+ThmPos+Voc+Pl	imitigwaabi1enymdig

X+mtigwaap+NA+Dim+ThmPos+Prt	imitigwaabi1ensmiban
X+mtigwaap+NA+Dim+ThmPos+Prt	imitigwaabi1ensmiba

X+mtigwaap+NA+Dim+ThmPos+Voc+Pl	imitigwaabi1ensmdig

1+mtigwaap+NA+Con+ThmPos+4	nimitigwaabi1enyman

1+mtigwaap+NA+Con+ThmPos+Loc	nimitigwaabi1enyming

1+mtigwaap+NA+Con+ThmPos+Pl	nimitigwaabi1enymag

1+mtigwaap+NA+Dim+ThmPos+4	nimitigwaabi1ensman

1+mtigwaap+NA+Dim+ThmPos+Loc	nimitigwaabi1ensming

1+mtigwaap+NA+Dim+ThmPos+Pl	nimitigwaabi1ensmag

2+mtigwaap+NA+Con+ThmPos+4	gimitigwaabi1enyman

2+mtigwaap+NA+Con+ThmPos+Loc	gimitigwaabi1enyming

2+mtigwaap+NA+Con+ThmPos+Pl	gimitigwaabi1enymag

2+mtigwaap+NA+Dim+ThmPos+4	gimitigwaabi1ensman

2+mtigwaap+NA+Dim+ThmPos+Loc	gimitigwaabi1ensming

2+mtigwaap+NA+Dim+ThmPos+Pl	gimitigwaabi1ensmag

3+mtigwaap+NA+Con+ThmPos+4	omitigwaabi1enyman

3+mtigwaap+NA+Con+ThmPos+Loc	omitigwaabi1enyming

3+mtigwaap+NA+Dim+ThmPos+4	omitigwaabi1ensman

3+mtigwaap+NA+Dim+ThmPos+Loc	omitigwaabi1ensming

X+mtigwaap+NA+Con+ThmPos+4	imitigwaabi1enyman

X+mtigwaap+NA+Con+ThmPos+Loc	imitigwaabi1enyming

X+mtigwaap+NA+Con+ThmPos+Pl	imitigwaabi1enymag

X+mtigwaap+NA+Dim+ThmPos+4	imitigwaabi1ensman

X+mtigwaap+NA+Dim+ThmPos+Loc	imitigwaabi1ensming

X+mtigwaap+NA+Dim+ThmPos+Pl	imitigwaabi1ensmag

1+mtigwaap+NA+Con+Pej+1+Pl	nimitigwaabi1enyishnaan
1+mtigwaap+NA+Con+Pej+1+Pl	nimitigwaabi1enyishnaa

1+mtigwaap+NA+Dim+Pej+1+Pl	nimitigwaabi1ensishnaan
1+mtigwaap+NA+Dim+Pej+1+Pl	nimitigwaabi1ensishnaa

2+mtigwaap+NA+Con+Pej+1+Pl	gimitigwaabi1enyishnaan
2+mtigwaap+NA+Con+Pej+1+Pl	gimitigwaabi1enyishnaa

2+mtigwaap+NA+Con+Pej+2+Pl	gimitigwaabi1enyishwaa

2+mtigwaap+NA+Dim+Pej+1+Pl	gimitigwaabi1ensishnaan
2+mtigwaap+NA+Dim+Pej+1+Pl	gimitigwaabi1ensishnaa

2+mtigwaap+NA+Dim+Pej+2+Pl	gimitigwaabi1ensishwaa

3+mtigwaap+NA+Con+Pej+3+4	omitigwaabi1enyishniw

3+mtigwaap+NA+Dim+Pej+3+4	omitigwaabi1ensishniw

1+mtigwaap+NA+Con+Pej+Prt	nimitigwaabi1enyishiban
1+mtigwaap+NA+Con+Pej+Prt	nimitigwaabi1enyishiba

1+mtigwaap+NA+Con+Pej+Voc+Pl	nimitigwaabi1enyishdig

1+mtigwaap+NA+Dim+Pej+Prt	nimitigwaabi1ensishiban
1+mtigwaap+NA+Dim+Pej+Prt	nimitigwaabi1ensishiba

1+mtigwaap+NA+Dim+Pej+Voc+Pl	nimitigwaabi1ensishdig

2+mtigwaap+NA+Con+Pej+Prt	gimitigwaabi1enyishiban
2+mtigwaap+NA+Con+Pej+Prt	gimitigwaabi1enyishiba

2+mtigwaap+NA+Con+Pej+Voc+Pl	gimitigwaabi1enyishdig

2+mtigwaap+NA+Dim+Pej+Prt	gimitigwaabi1ensishiban
2+mtigwaap+NA+Dim+Pej+Prt	gimitigwaabi1ensishiba

2+mtigwaap+NA+Dim+Pej+Voc+Pl	gimitigwaabi1ensishdig

X+mtigwaap+NA+Con+Pej+Prt	imitigwaabi1enyishiban
X+mtigwaap+NA+Con+Pej+Prt	imitigwaabi1enyishiba

X+mtigwaap+NA+Con+Pej+Voc+Pl	imitigwaabi1enyishdig

X+mtigwaap+NA+Dim+Pej+Prt	imitigwaabi1ensishiban
X+mtigwaap+NA+Dim+Pej+Prt	imitigwaabi1ensishiba

X+mtigwaap+NA+Dim+Pej+Voc+Pl	imitigwaabi1ensishdig

1+mtigwaap+NA+Con+Pej+4	nimitigwaabi1enyishan

1+mtigwaap+NA+Con+Pej+Loc	nimitigwaabi1enyishing

1+mtigwaap+NA+Con+Pej+Pl	nimitigwaabi1enyishag

1+mtigwaap+NA+Dim+Pej+4	nimitigwaabi1ensishan

1+mtigwaap+NA+Dim+Pej+Loc	nimitigwaabi1ensishing

1+mtigwaap+NA+Dim+Pej+Pl	nimitigwaabi1ensishag

