waaboos+NA	waaboozo
2+waaboos+NA+Dim+Prt+Loc	giwaaboozoensibaniing

2+waaboos+NA+Dim+Prt+Pl	giwaaboozoensibani1ag

3+waaboos+NA+Con+Prt+4	owaaboozoenyibaniin

3+waaboos+NA+Con+Prt+Loc	owaaboozoenyibaniing

3+waaboos+NA+Dim+Prt+4	owaaboozoensibaniin

3+waaboos+NA+Dim+Prt+Loc	owaaboozoensibaniing

X+waaboos+NA+Con+Prt+4	iwaaboozoenyibaniin

X+waaboos+NA+Con+Prt+Loc	iwaaboozoenyibaniing

X+waaboos+NA+Con+Prt+Pl	iwaaboozoenyibani1ag

X+waaboos+NA+Dim+Prt+4	iwaaboozoensibaniin

X+waaboos+NA+Dim+Prt+Loc	iwaaboozoensibaniing

X+waaboos+NA+Dim+Prt+Pl	iwaaboozoensibani1ag

1+waaboos+NA+ThmPos+Pej+1+Pl	niwaaboozomishnaan
1+waaboos+NA+ThmPos+Pej+1+Pl	niwaaboozomishnaa

2+waaboos+NA+ThmPos+Pej+1+Pl	giwaaboozomishnaan
2+waaboos+NA+ThmPos+Pej+1+Pl	giwaaboozomishnaa

2+waaboos+NA+ThmPos+Pej+2+Pl	giwaaboozomishwaa

3+waaboos+NA+ThmPos+Pej+3+4	owaaboozomishniw

1+waaboos+NA+ThmPos+Pej+Prt	niwaaboozomishiban
1+waaboos+NA+ThmPos+Pej+Prt	niwaaboozomishiba

