waaboos+NA	waaboozo
1+waaboos+NA+ThmPos+Pej+Pl	niwaaboozomishag

2+waaboos+NA+ThmPos+Pej+4	giwaaboozomishan

2+waaboos+NA+ThmPos+Pej+Loc	giwaaboozomishing

2+waaboos+NA+ThmPos+Pej+Pl	giwaaboozomishag

3+waaboos+NA+ThmPos+Pej+4	owaaboozomishan

3+waaboos+NA+ThmPos+Pej+Loc	owaaboozomishing

X+waaboos+NA+ThmPos+Pej+4	iwaaboozomishan

X+waaboos+NA+ThmPos+Pej+Loc	iwaaboozomishing

X+waaboos+NA+ThmPos+Pej+Pl	iwaaboozomishag

1+waaboos+NA+ThmPos+1+Pl+Prt	niwaaboozomnaaniban
1+waaboos+NA+ThmPos+1+Pl+Prt	niwaaboozomnaaniba

1+waaboos+NA+ThmPos+1+Pl+Voc+Pl	niwaaboozomnaany1dig

2+waaboos+NA+ThmPos+1+Pl+Prt	giwaaboozomnaaniban
2+waaboos+NA+ThmPos+1+Pl+Prt	giwaaboozomnaaniba

2+waaboos+NA+ThmPos+1+Pl+Voc+Pl	giwaaboozomnaany1dig

2+waaboos+NA+ThmPos+2+Pl+Prt	giwaaboozomwaaban
2+waaboos+NA+ThmPos+2+Pl+Prt	giwaaboozomwaaba

2+waaboos+NA+ThmPos+2+Pl+Voc+Pl	giwaaboozomwaadig

3+waaboos+NA+ThmPos+3+4+Prt	owaaboozomniwiban
3+waaboos+NA+ThmPos+3+4+Prt	owaaboozomniwiba
3+waaboos+NA+ThmPos+3+4+Prt	owaaboozomniiban
3+waaboos+NA+ThmPos+3+4+Prt	owaaboozomniiba

1+waaboos+NA+ThmPos+1+Pl+4	niwaaboozomnaanin

1+waaboos+NA+ThmPos+1+Pl+Loc	niwaaboozomnaaning

1+waaboos+NA+ThmPos+1+Pl+Pl	niwaaboozomnaany1ag

2+waaboos+NA+ThmPos+1+Pl+4	giwaaboozomnaanin

2+waaboos+NA+ThmPos+1+Pl+Loc	giwaaboozomnaaning

2+waaboos+NA+ThmPos+1+Pl+Pl	giwaaboozomnaany1ag

2+waaboos+NA+ThmPos+2+Pl+4	giwaaboozomwaan

2+waaboos+NA+ThmPos+2+Pl+Loc	giwaaboozomwaang

2+waaboos+NA+ThmPos+2+Pl+Pl	giwaaboozomwaaag

3+waaboos+NA+ThmPos+2+Pl+4	owaaboozomwaan

3+waaboos+NA+ThmPos+2+Pl+Loc	owaaboozomwaang

3+waaboos+NA+ThmPos+3+4+4	owaaboozomniwan

3+waaboos+NA+ThmPos+3+4+Loc	owaaboozomniing

1+waaboos+NA+ThmPos+Prt+4	niwaaboozomibaniin

1+waaboos+NA+ThmPos+Prt+Loc	niwaaboozomibaniing

1+waaboos+NA+ThmPos+Prt+Pl	niwaaboozomibani1ag

2+waaboos+NA+ThmPos+Prt+4	giwaaboozomibaniin

2+waaboos+NA+ThmPos+Prt+Loc	giwaaboozomibaniing

2+waaboos+NA+ThmPos+Prt+Pl	giwaaboozomibani1ag

3+waaboos+NA+ThmPos+Prt+4	owaaboozomibaniin

3+waaboos+NA+ThmPos+Prt+Loc	owaaboozomibaniing

X+waaboos+NA+ThmPos+Prt+4	iwaaboozomibaniin

X+waaboos+NA+ThmPos+Prt+Loc	iwaaboozomibaniing

X+waaboos+NA+ThmPos+Prt+Pl	iwaaboozomibani1ag

1+waaboos+NA+Pej+1+Pl+Prt	niwaaboozoshnaaniban
1+waaboos+NA+Pej+1+Pl+Prt	niwaaboozoshnaaniba

1+waaboos+NA+Pej+1+Pl+Voc+Pl	niwaaboozoshnaany1dig

2+waaboos+NA+Pej+1+Pl+Prt	giwaaboozoshnaaniban
2+waaboos+NA+Pej+1+Pl+Prt	giwaaboozoshnaaniba

2+waaboos+NA+Pej+1+Pl+Voc+Pl	giwaaboozoshnaany1dig

2+waaboos+NA+Pej+2+Pl+Prt	giwaaboozoshwaaban
2+waaboos+NA+Pej+2+Pl+Prt	giwaaboozoshwaaba

2+waaboos+NA+Pej+2+Pl+Voc+Pl	giwaaboozoshwaadig

3+waaboos+NA+Pej+3+4+Prt	owaaboozoshniwiban
3+waaboos+NA+Pej+3+4+Prt	owaaboozoshniwiba
3+waaboos+NA+Pej+3+4+Prt	owaaboozoshniiban
3+waaboos+NA+Pej+3+4+Prt	owaaboozoshniiba

1+waaboos+NA+Pej+1+Pl+4	niwaaboozoshnaanin

1+waaboos+NA+Pej+1+Pl+Loc	niwaaboozoshnaaning

1+waaboos+NA+Pej+1+Pl+Pl	niwaaboozoshnaany1ag

2+waaboos+NA+Pej+1+Pl+4	giwaaboozoshnaanin

2+waaboos+NA+Pej+1+Pl+Loc	giwaaboozoshnaaning

2+waaboos+NA+Pej+1+Pl+Pl	giwaaboozoshnaany1ag

2+waaboos+NA+Pej+2+Pl+4	giwaaboozoshwaan

2+waaboos+NA+Pej+2+Pl+Loc	giwaaboozoshwaang

2+waaboos+NA+Pej+2+Pl+Pl	giwaaboozoshwaaag

3+waaboos+NA+Pej+2+Pl+4	owaaboozoshwaan

3+waaboos+NA+Pej+2+Pl+Loc	owaaboozoshwaang

3+waaboos+NA+Pej+3+4+4	owaaboozoshniwan

3+waaboos+NA+Pej+3+4+Loc	owaaboozoshniing

1+waaboos+NA+Pej+Prt+4	niwaaboozoshibaniin

1+waaboos+NA+Pej+Prt+Loc	niwaaboozoshibaniing

1+waaboos+NA+Pej+Prt+Pl	niwaaboozoshibani1ag

2+waaboos+NA+Pej+Prt+4	giwaaboozoshibaniin

2+waaboos+NA+Pej+Prt+Loc	giwaaboozoshibaniing

2+waaboos+NA+Pej+Prt+Pl	giwaaboozoshibani1ag

3+waaboos+NA+Pej+Prt+4	owaaboozoshibaniin

3+waaboos+NA+Pej+Prt+Loc	owaaboozoshibaniing

X+waaboos+NA+Pej+Prt+4	iwaaboozoshibaniin

X+waaboos+NA+Pej+Prt+Loc	iwaaboozoshibaniing

X+waaboos+NA+Pej+Prt+Pl	iwaaboozoshibani1ag

1+waaboos+NA+1+Pl+Prt+4	niwaaboozonaanibaniin

1+waaboos+NA+1+Pl+Prt+Loc	niwaaboozonaanibaniing

1+waaboos+NA+1+Pl+Prt+Pl	niwaaboozonaanibani1ag

2+waaboos+NA+1+Pl+Prt+4	giwaaboozonaanibaniin

2+waaboos+NA+1+Pl+Prt+Loc	giwaaboozonaanibaniing

2+waaboos+NA+1+Pl+Prt+Pl	giwaaboozonaanibani1ag

2+waaboos+NA+2+Pl+Prt+4	giwaaboozowaabaniin

2+waaboos+NA+2+Pl+Prt+Loc	giwaaboozowaabaniing

2+waaboos+NA+2+Pl+Prt+Pl	giwaaboozowaabani1ag

3+waaboos+NA+2+Pl+Prt+4	owaaboozowaabaniin

3+waaboos+NA+2+Pl+Prt+Loc	owaaboozowaabaniing

3+waaboos+NA+3+4+Prt+4	owaaboozoniwibaniin
3+waaboos+NA+3+4+Prt+4	owaaboozoniibaniin

3+waaboos+NA+3+4+Prt+Loc	owaaboozoniwibaniing
3+waaboos+NA+3+4+Prt+Loc	owaaboozoniibaniing

waaboos+NA+Con+Pej+Prt+4	waaboozoenyishibaniin

waaboos+NA+Con+Pej+Prt+Loc	waaboozoenyishibaniing

waaboos+NA+Con+Pej+Prt+Pl	waaboozoenyishibani1ag

waaboos+NA+Dim+Pej+Prt+4	waaboozoensishibaniin

waaboos+NA+Dim+Pej+Prt+Loc	waaboozoensishibaniing

waaboos+NA+Dim+Pej+Prt+Pl	waaboozoensishibani1ag

1+waaboos+NA+Con+ThmPos+Pej+1+Pl	niwaaboozoenymishnaan
1+waaboos+NA+Con+ThmPos+Pej+1+Pl	niwaaboozoenymishnaa

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl	niwaaboozoensmishnaan
1+waaboos+NA+Dim+ThmPos+Pej+1+Pl	niwaaboozoensmishnaa

2+waaboos+NA+Con+ThmPos+Pej+1+Pl	giwaaboozoenymishnaan
2+waaboos+NA+Con+ThmPos+Pej+1+Pl	giwaaboozoenymishnaa

2+waaboos+NA+Con+ThmPos+Pej+2+Pl	giwaaboozoenymishwaa

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl	giwaaboozoensmishnaan
2+waaboos+NA+Dim+ThmPos+Pej+1+Pl	giwaaboozoensmishnaa

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl	giwaaboozoensmishwaa

3+waaboos+NA+Con+ThmPos+Pej+3+4	owaaboozoenymishniw

3+waaboos+NA+Dim+ThmPos+Pej+3+4	owaaboozoensmishniw

1+waaboos+NA+Con+ThmPos+Pej+Prt	niwaaboozoenymishiban
1+waaboos+NA+Con+ThmPos+Pej+Prt	niwaaboozoenymishiba

1+waaboos+NA+Con+ThmPos+Pej+Voc+Pl	niwaaboozoenymishdig

1+waaboos+NA+Dim+ThmPos+Pej+Prt	niwaaboozoensmishiban
1+waaboos+NA+Dim+ThmPos+Pej+Prt	niwaaboozoensmishiba

1+waaboos+NA+Dim+ThmPos+Pej+Voc+Pl	niwaaboozoensmishdig

2+waaboos+NA+Con+ThmPos+Pej+Prt	giwaaboozoenymishiban
2+waaboos+NA+Con+ThmPos+Pej+Prt	giwaaboozoenymishiba

2+waaboos+NA+Con+ThmPos+Pej+Voc+Pl	giwaaboozoenymishdig

2+waaboos+NA+Dim+ThmPos+Pej+Prt	giwaaboozoensmishiban
2+waaboos+NA+Dim+ThmPos+Pej+Prt	giwaaboozoensmishiba

2+waaboos+NA+Dim+ThmPos+Pej+Voc+Pl	giwaaboozoensmishdig

X+waaboos+NA+Con+ThmPos+Pej+Prt	iwaaboozoenymishiban
X+waaboos+NA+Con+ThmPos+Pej+Prt	iwaaboozoenymishiba

X+waaboos+NA+Con+ThmPos+Pej+Voc+Pl	iwaaboozoenymishdig

X+waaboos+NA+Dim+ThmPos+Pej+Prt	iwaaboozoensmishiban
X+waaboos+NA+Dim+ThmPos+Pej+Prt	iwaaboozoensmishiba

X+waaboos+NA+Dim+ThmPos+Pej+Voc+Pl	iwaaboozoensmishdig

1+waaboos+NA+Con+ThmPos+Pej+4	niwaaboozoenymishan

1+waaboos+NA+Con+ThmPos+Pej+Loc	niwaaboozoenymishing

1+waaboos+NA+Con+ThmPos+Pej+Pl	niwaaboozoenymishag

1+waaboos+NA+Dim+ThmPos+Pej+4	niwaaboozoensmishan

1+waaboos+NA+Dim+ThmPos+Pej+Loc	niwaaboozoensmishing

1+waaboos+NA+Dim+ThmPos+Pej+Pl	niwaaboozoensmishag

2+waaboos+NA+Con+ThmPos+Pej+4	giwaaboozoenymishan

2+waaboos+NA+Con+ThmPos+Pej+Loc	giwaaboozoenymishing

2+waaboos+NA+Con+ThmPos+Pej+Pl	giwaaboozoenymishag

2+waaboos+NA+Dim+ThmPos+Pej+4	giwaaboozoensmishan

2+waaboos+NA+Dim+ThmPos+Pej+Loc	giwaaboozoensmishing

2+waaboos+NA+Dim+ThmPos+Pej+Pl	giwaaboozoensmishag

3+waaboos+NA+Con+ThmPos+Pej+4	owaaboozoenymishan

3+waaboos+NA+Con+ThmPos+Pej+Loc	owaaboozoenymishing

3+waaboos+NA+Dim+ThmPos+Pej+4	owaaboozoensmishan

3+waaboos+NA+Dim+ThmPos+Pej+Loc	owaaboozoensmishing

X+waaboos+NA+Con+ThmPos+Pej+4	iwaaboozoenymishan

X+waaboos+NA+Con+ThmPos+Pej+Loc	iwaaboozoenymishing

X+waaboos+NA+Con+ThmPos+Pej+Pl	iwaaboozoenymishag

X+waaboos+NA+Dim+ThmPos+Pej+4	iwaaboozoensmishan

X+waaboos+NA+Dim+ThmPos+Pej+Loc	iwaaboozoensmishing

X+waaboos+NA+Dim+ThmPos+Pej+Pl	iwaaboozoensmishag

1+waaboos+NA+Con+ThmPos+1+Pl+Prt	niwaaboozoenymnaaniban
1+waaboos+NA+Con+ThmPos+1+Pl+Prt	niwaaboozoenymnaaniba

1+waaboos+NA+Con+ThmPos+1+Pl+Voc+Pl	niwaaboozoenymnaany1dig

1+waaboos+NA+Dim+ThmPos+1+Pl+Prt	niwaaboozoensmnaaniban
1+waaboos+NA+Dim+ThmPos+1+Pl+Prt	niwaaboozoensmnaaniba

1+waaboos+NA+Dim+ThmPos+1+Pl+Voc+Pl	niwaaboozoensmnaany1dig

2+waaboos+NA+Con+ThmPos+1+Pl+Prt	giwaaboozoenymnaaniban
2+waaboos+NA+Con+ThmPos+1+Pl+Prt	giwaaboozoenymnaaniba

2+waaboos+NA+Con+ThmPos+1+Pl+Voc+Pl	giwaaboozoenymnaany1dig

2+waaboos+NA+Con+ThmPos+2+Pl+Prt	giwaaboozoenymwaaban
2+waaboos+NA+Con+ThmPos+2+Pl+Prt	giwaaboozoenymwaaba

2+waaboos+NA+Con+ThmPos+2+Pl+Voc+Pl	giwaaboozoenymwaadig

2+waaboos+NA+Dim+ThmPos+1+Pl+Prt	giwaaboozoensmnaaniban
2+waaboos+NA+Dim+ThmPos+1+Pl+Prt	giwaaboozoensmnaaniba

2+waaboos+NA+Dim+ThmPos+1+Pl+Voc+Pl	giwaaboozoensmnaany1dig

2+waaboos+NA+Dim+ThmPos+2+Pl+Prt	giwaaboozoensmwaaban
2+waaboos+NA+Dim+ThmPos+2+Pl+Prt	giwaaboozoensmwaaba

2+waaboos+NA+Dim+ThmPos+2+Pl+Voc+Pl	giwaaboozoensmwaadig

3+waaboos+NA+Con+ThmPos+3+4+Prt	owaaboozoenymniwiban
3+waaboos+NA+Con+ThmPos+3+4+Prt	owaaboozoenymniwiba
3+waaboos+NA+Con+ThmPos+3+4+Prt	owaaboozoenymniiban
3+waaboos+NA+Con+ThmPos+3+4+Prt	owaaboozoenymniiba

3+waaboos+NA+Dim+ThmPos+3+4+Prt	owaaboozoensmniwiban
3+waaboos+NA+Dim+ThmPos+3+4+Prt	owaaboozoensmniwiba
3+waaboos+NA+Dim+ThmPos+3+4+Prt	owaaboozoensmniiban
3+waaboos+NA+Dim+ThmPos+3+4+Prt	owaaboozoensmniiba

1+waaboos+NA+Con+ThmPos+1+Pl+4	niwaaboozoenymnaanin

1+waaboos+NA+Con+ThmPos+1+Pl+Loc	niwaaboozoenymnaaning

1+waaboos+NA+Con+ThmPos+1+Pl+Pl	niwaaboozoenymnaany1ag

1+waaboos+NA+Dim+ThmPos+1+Pl+4	niwaaboozoensmnaanin

1+waaboos+NA+Dim+ThmPos+1+Pl+Loc	niwaaboozoensmnaaning

1+waaboos+NA+Dim+ThmPos+1+Pl+Pl	niwaaboozoensmnaany1ag

2+waaboos+NA+Con+ThmPos+1+Pl+4	giwaaboozoenymnaanin

2+waaboos+NA+Con+ThmPos+1+Pl+Loc	giwaaboozoenymnaaning

2+waaboos+NA+Con+ThmPos+1+Pl+Pl	giwaaboozoenymnaany1ag

2+waaboos+NA+Con+ThmPos+2+Pl+4	giwaaboozoenymwaan

2+waaboos+NA+Con+ThmPos+2+Pl+Loc	giwaaboozoenymwaang

2+waaboos+NA+Con+ThmPos+2+Pl+Pl	giwaaboozoenymwaaag

2+waaboos+NA+Dim+ThmPos+1+Pl+4	giwaaboozoensmnaanin

2+waaboos+NA+Dim+ThmPos+1+Pl+Loc	giwaaboozoensmnaaning

2+waaboos+NA+Dim+ThmPos+1+Pl+Pl	giwaaboozoensmnaany1ag

2+waaboos+NA+Dim+ThmPos+2+Pl+4	giwaaboozoensmwaan

2+waaboos+NA+Dim+ThmPos+2+Pl+Loc	giwaaboozoensmwaang

2+waaboos+NA+Dim+ThmPos+2+Pl+Pl	giwaaboozoensmwaaag

3+waaboos+NA+Con+ThmPos+2+Pl+4	owaaboozoenymwaan

3+waaboos+NA+Con+ThmPos+2+Pl+Loc	owaaboozoenymwaang

3+waaboos+NA+Con+ThmPos+3+4+4	owaaboozoenymniwan

3+waaboos+NA+Con+ThmPos+3+4+Loc	owaaboozoenymniing

3+waaboos+NA+Dim+ThmPos+2+Pl+4	owaaboozoensmwaan

3+waaboos+NA+Dim+ThmPos+2+Pl+Loc	owaaboozoensmwaang

3+waaboos+NA+Dim+ThmPos+3+4+4	owaaboozoensmniwan

3+waaboos+NA+Dim+ThmPos+3+4+Loc	owaaboozoensmniing

1+waaboos+NA+Con+ThmPos+Prt+4	niwaaboozoenymibaniin

1+waaboos+NA+Con+ThmPos+Prt+Loc	niwaaboozoenymibaniing

1+waaboos+NA+Con+ThmPos+Prt+Pl	niwaaboozoenymibani1ag

1+waaboos+NA+Dim+ThmPos+Prt+4	niwaaboozoensmibaniin

1+waaboos+NA+Dim+ThmPos+Prt+Loc	niwaaboozoensmibaniing

1+waaboos+NA+Dim+ThmPos+Prt+Pl	niwaaboozoensmibani1ag

2+waaboos+NA+Con+ThmPos+Prt+4	giwaaboozoenymibaniin

2+waaboos+NA+Con+ThmPos+Prt+Loc	giwaaboozoenymibaniing

2+waaboos+NA+Con+ThmPos+Prt+Pl	giwaaboozoenymibani1ag

2+waaboos+NA+Dim+ThmPos+Prt+4	giwaaboozoensmibaniin

2+waaboos+NA+Dim+ThmPos+Prt+Loc	giwaaboozoensmibaniing

2+waaboos+NA+Dim+ThmPos+Prt+Pl	giwaaboozoensmibani1ag

3+waaboos+NA+Con+ThmPos+Prt+4	owaaboozoenymibaniin

3+waaboos+NA+Con+ThmPos+Prt+Loc	owaaboozoenymibaniing

3+waaboos+NA+Dim+ThmPos+Prt+4	owaaboozoensmibaniin

3+waaboos+NA+Dim+ThmPos+Prt+Loc	owaaboozoensmibaniing

X+waaboos+NA+Con+ThmPos+Prt+4	iwaaboozoenymibaniin

X+waaboos+NA+Con+ThmPos+Prt+Loc	iwaaboozoenymibaniing

X+waaboos+NA+Con+ThmPos+Prt+Pl	iwaaboozoenymibani1ag

X+waaboos+NA+Dim+ThmPos+Prt+4	iwaaboozoensmibaniin

X+waaboos+NA+Dim+ThmPos+Prt+Loc	iwaaboozoensmibaniing

X+waaboos+NA+Dim+ThmPos+Prt+Pl	iwaaboozoensmibani1ag

1+waaboos+NA+Con+Pej+1+Pl+Prt	niwaaboozoenyishnaaniban
1+waaboos+NA+Con+Pej+1+Pl+Prt	niwaaboozoenyishnaaniba

1+waaboos+NA+Con+Pej+1+Pl+Voc+Pl	niwaaboozoenyishnaany1dig

1+waaboos+NA+Dim+Pej+1+Pl+Prt	niwaaboozoensishnaaniban
1+waaboos+NA+Dim+Pej+1+Pl+Prt	niwaaboozoensishnaaniba

1+waaboos+NA+Dim+Pej+1+Pl+Voc+Pl	niwaaboozoensishnaany1dig

2+waaboos+NA+Con+Pej+1+Pl+Prt	giwaaboozoenyishnaaniban
2+waaboos+NA+Con+Pej+1+Pl+Prt	giwaaboozoenyishnaaniba

2+waaboos+NA+Con+Pej+1+Pl+Voc+Pl	giwaaboozoenyishnaany1dig

2+waaboos+NA+Con+Pej+2+Pl+Prt	giwaaboozoenyishwaaban
2+waaboos+NA+Con+Pej+2+Pl+Prt	giwaaboozoenyishwaaba

2+waaboos+NA+Con+Pej+2+Pl+Voc+Pl	giwaaboozoenyishwaadig

2+waaboos+NA+Dim+Pej+1+Pl+Prt	giwaaboozoensishnaaniban
2+waaboos+NA+Dim+Pej+1+Pl+Prt	giwaaboozoensishnaaniba

2+waaboos+NA+Dim+Pej+1+Pl+Voc+Pl	giwaaboozoensishnaany1dig

2+waaboos+NA+Dim+Pej+2+Pl+Prt	giwaaboozoensishwaaban
2+waaboos+NA+Dim+Pej+2+Pl+Prt	giwaaboozoensishwaaba

2+waaboos+NA+Dim+Pej+2+Pl+Voc+Pl	giwaaboozoensishwaadig

3+waaboos+NA+Con+Pej+3+4+Prt	owaaboozoenyishniwiban
3+waaboos+NA+Con+Pej+3+4+Prt	owaaboozoenyishniwiba
3+waaboos+NA+Con+Pej+3+4+Prt	owaaboozoenyishniiban
3+waaboos+NA+Con+Pej+3+4+Prt	owaaboozoenyishniiba

3+waaboos+NA+Dim+Pej+3+4+Prt	owaaboozoensishniwiban
3+waaboos+NA+Dim+Pej+3+4+Prt	owaaboozoensishniwiba
3+waaboos+NA+Dim+Pej+3+4+Prt	owaaboozoensishniiban
3+waaboos+NA+Dim+Pej+3+4+Prt	owaaboozoensishniiba

1+waaboos+NA+Con+Pej+1+Pl+4	niwaaboozoenyishnaanin

1+waaboos+NA+Con+Pej+1+Pl+Loc	niwaaboozoenyishnaaning

1+waaboos+NA+Con+Pej+1+Pl+Pl	niwaaboozoenyishnaany1ag

1+waaboos+NA+Dim+Pej+1+Pl+4	niwaaboozoensishnaanin

1+waaboos+NA+Dim+Pej+1+Pl+Loc	niwaaboozoensishnaaning

1+waaboos+NA+Dim+Pej+1+Pl+Pl	niwaaboozoensishnaany1ag

2+waaboos+NA+Con+Pej+1+Pl+4	giwaaboozoenyishnaanin

2+waaboos+NA+Con+Pej+1+Pl+Loc	giwaaboozoenyishnaaning

2+waaboos+NA+Con+Pej+1+Pl+Pl	giwaaboozoenyishnaany1ag

2+waaboos+NA+Con+Pej+2+Pl+4	giwaaboozoenyishwaan

2+waaboos+NA+Con+Pej+2+Pl+Loc	giwaaboozoenyishwaang

2+waaboos+NA+Con+Pej+2+Pl+Pl	giwaaboozoenyishwaaag

2+waaboos+NA+Dim+Pej+1+Pl+4	giwaaboozoensishnaanin

2+waaboos+NA+Dim+Pej+1+Pl+Loc	giwaaboozoensishnaaning

2+waaboos+NA+Dim+Pej+1+Pl+Pl	giwaaboozoensishnaany1ag

2+waaboos+NA+Dim+Pej+2+Pl+4	giwaaboozoensishwaan

2+waaboos+NA+Dim+Pej+2+Pl+Loc	giwaaboozoensishwaang

2+waaboos+NA+Dim+Pej+2+Pl+Pl	giwaaboozoensishwaaag

3+waaboos+NA+Con+Pej+2+Pl+4	owaaboozoenyishwaan

3+waaboos+NA+Con+Pej+2+Pl+Loc	owaaboozoenyishwaang

3+waaboos+NA+Con+Pej+3+4+4	owaaboozoenyishniwan

3+waaboos+NA+Con+Pej+3+4+Loc	owaaboozoenyishniing

3+waaboos+NA+Dim+Pej+2+Pl+4	owaaboozoensishwaan

3+waaboos+NA+Dim+Pej+2+Pl+Loc	owaaboozoensishwaang

3+waaboos+NA+Dim+Pej+3+4+4	owaaboozoensishniwan

3+waaboos+NA+Dim+Pej+3+4+Loc	owaaboozoensishniing

1+waaboos+NA+Con+Pej+Prt+4	niwaaboozoenyishibaniin

1+waaboos+NA+Con+Pej+Prt+Loc	niwaaboozoenyishibaniing

1+waaboos+NA+Con+Pej+Prt+Pl	niwaaboozoenyishibani1ag

1+waaboos+NA+Dim+Pej+Prt+4	niwaaboozoensishibaniin

1+waaboos+NA+Dim+Pej+Prt+Loc	niwaaboozoensishibaniing

1+waaboos+NA+Dim+Pej+Prt+Pl	niwaaboozoensishibani1ag

2+waaboos+NA+Con+Pej+Prt+4	giwaaboozoenyishibaniin

2+waaboos+NA+Con+Pej+Prt+Loc	giwaaboozoenyishibaniing

2+waaboos+NA+Con+Pej+Prt+Pl	giwaaboozoenyishibani1ag

2+waaboos+NA+Dim+Pej+Prt+4	giwaaboozoensishibaniin

2+waaboos+NA+Dim+Pej+Prt+Loc	giwaaboozoensishibaniing

2+waaboos+NA+Dim+Pej+Prt+Pl	giwaaboozoensishibani1ag

3+waaboos+NA+Con+Pej+Prt+4	owaaboozoenyishibaniin

3+waaboos+NA+Con+Pej+Prt+Loc	owaaboozoenyishibaniing

3+waaboos+NA+Dim+Pej+Prt+4	owaaboozoensishibaniin

3+waaboos+NA+Dim+Pej+Prt+Loc	owaaboozoensishibaniing

X+waaboos+NA+Con+Pej+Prt+4	iwaaboozoenyishibaniin

X+waaboos+NA+Con+Pej+Prt+Loc	iwaaboozoenyishibaniing

X+waaboos+NA+Con+Pej+Prt+Pl	iwaaboozoenyishibani1ag

X+waaboos+NA+Dim+Pej+Prt+4	iwaaboozoensishibaniin

X+waaboos+NA+Dim+Pej+Prt+Loc	iwaaboozoensishibaniing

X+waaboos+NA+Dim+Pej+Prt+Pl	iwaaboozoensishibani1ag

1+waaboos+NA+Con+1+Pl+Prt+4	niwaaboozoenynaanibaniin

1+waaboos+NA+Con+1+Pl+Prt+Loc	niwaaboozoenynaanibaniing

1+waaboos+NA+Con+1+Pl+Prt+Pl	niwaaboozoenynaanibani1ag

1+waaboos+NA+Dim+1+Pl+Prt+4	niwaaboozoensnaanibaniin

1+waaboos+NA+Dim+1+Pl+Prt+Loc	niwaaboozoensnaanibaniing

1+waaboos+NA+Dim+1+Pl+Prt+Pl	niwaaboozoensnaanibani1ag

2+waaboos+NA+Con+1+Pl+Prt+4	giwaaboozoenynaanibaniin

2+waaboos+NA+Con+1+Pl+Prt+Loc	giwaaboozoenynaanibaniing

2+waaboos+NA+Con+1+Pl+Prt+Pl	giwaaboozoenynaanibani1ag

2+waaboos+NA+Con+2+Pl+Prt+4	giwaaboozoenywaabaniin

2+waaboos+NA+Con+2+Pl+Prt+Loc	giwaaboozoenywaabaniing

2+waaboos+NA+Con+2+Pl+Prt+Pl	giwaaboozoenywaabani1ag

2+waaboos+NA+Dim+1+Pl+Prt+4	giwaaboozoensnaanibaniin

2+waaboos+NA+Dim+1+Pl+Prt+Loc	giwaaboozoensnaanibaniing

2+waaboos+NA+Dim+1+Pl+Prt+Pl	giwaaboozoensnaanibani1ag

2+waaboos+NA+Dim+2+Pl+Prt+4	giwaaboozoenswaabaniin

2+waaboos+NA+Dim+2+Pl+Prt+Loc	giwaaboozoenswaabaniing

2+waaboos+NA+Dim+2+Pl+Prt+Pl	giwaaboozoenswaabani1ag

3+waaboos+NA+Con+2+Pl+Prt+4	owaaboozoenywaabaniin

3+waaboos+NA+Con+2+Pl+Prt+Loc	owaaboozoenywaabaniing

3+waaboos+NA+Con+3+4+Prt+4	owaaboozoenyniwibaniin
3+waaboos+NA+Con+3+4+Prt+4	owaaboozoenyniibaniin

3+waaboos+NA+Con+3+4+Prt+Loc	owaaboozoenyniwibaniing
3+waaboos+NA+Con+3+4+Prt+Loc	owaaboozoenyniibaniing

3+waaboos+NA+Dim+2+Pl+Prt+4	owaaboozoenswaabaniin

3+waaboos+NA+Dim+2+Pl+Prt+Loc	owaaboozoenswaabaniing

3+waaboos+NA+Dim+3+4+Prt+4	owaaboozoensniwibaniin
3+waaboos+NA+Dim+3+4+Prt+4	owaaboozoensniibaniin

3+waaboos+NA+Dim+3+4+Prt+Loc	owaaboozoensniwibaniing
3+waaboos+NA+Dim+3+4+Prt+Loc	owaaboozoensniibaniing

1+waaboos+NA+ThmPos+Pej+1+Pl+Prt	niwaaboozomishnaaniban
1+waaboos+NA+ThmPos+Pej+1+Pl+Prt	niwaaboozomishnaaniba

1+waaboos+NA+ThmPos+Pej+1+Pl+Voc+Pl	niwaaboozomishnaany1dig

2+waaboos+NA+ThmPos+Pej+1+Pl+Prt	giwaaboozomishnaaniban
2+waaboos+NA+ThmPos+Pej+1+Pl+Prt	giwaaboozomishnaaniba

2+waaboos+NA+ThmPos+Pej+1+Pl+Voc+Pl	giwaaboozomishnaany1dig

2+waaboos+NA+ThmPos+Pej+2+Pl+Prt	giwaaboozomishwaaban
2+waaboos+NA+ThmPos+Pej+2+Pl+Prt	giwaaboozomishwaaba

2+waaboos+NA+ThmPos+Pej+2+Pl+Voc+Pl	giwaaboozomishwaadig

3+waaboos+NA+ThmPos+Pej+3+4+Prt	owaaboozomishniwiban
