mkomii+NI	makomii
3+mkomii+NI+Dim+2+Pl+4	omakomiienswaan

3+mkomii+NI+Dim+2+Pl+Loc	omakomiienswaang

3+mkomii+NI+Dim+2+Pl+Pl	omakomiienswaaan

3+mkomii+NI+Dim+3+4+4	omakomiiensniwan

3+mkomii+NI+Dim+3+4+Loc	omakomiiensniing

3+mkomii+NI+Dim+3+4+Pl	omakomiiensniwan

1+mkomii+NI+Con+Prt+4	nimakomiienyibaniin

1+mkomii+NI+Con+Prt+Loc	nimakomiienyibaniing

1+mkomii+NI+Con+Prt+Pl	nimakomiienyibani1an

1+mkomii+NI+Dim+Prt+4	nimakomiiensibaniin

1+mkomii+NI+Dim+Prt+Loc	nimakomiiensibaniing

1+mkomii+NI+Dim+Prt+Pl	nimakomiiensibani1an

2+mkomii+NI+Con+Prt+4	gimakomiienyibaniin

2+mkomii+NI+Con+Prt+Loc	gimakomiienyibaniing

2+mkomii+NI+Con+Prt+Pl	gimakomiienyibani1an

2+mkomii+NI+Dim+Prt+4	gimakomiiensibaniin

2+mkomii+NI+Dim+Prt+Loc	gimakomiiensibaniing

2+mkomii+NI+Dim+Prt+Pl	gimakomiiensibani1an

3+mkomii+NI+Con+Prt+4	omakomiienyibaniin

3+mkomii+NI+Con+Prt+Loc	omakomiienyibaniing

3+mkomii+NI+Con+Prt+Pl	omakomiienyibani1an

3+mkomii+NI+Dim+Prt+4	omakomiiensibaniin

3+mkomii+NI+Dim+Prt+Loc	omakomiiensibaniing

3+mkomii+NI+Dim+Prt+Pl	omakomiiensibani1an

X+mkomii+NI+Con+Prt+4	imakomiienyibaniin

X+mkomii+NI+Con+Prt+Loc	imakomiienyibaniing

X+mkomii+NI+Con+Prt+Pl	imakomiienyibani1an

X+mkomii+NI+Dim+Prt+4	imakomiiensibaniin

X+mkomii+NI+Dim+Prt+Loc	imakomiiensibaniing

X+mkomii+NI+Dim+Prt+Pl	imakomiiensibani1an

1+mkomii+NI+ThmPos+Pej+1+Pl	nimakomiimishnaan
1+mkomii+NI+ThmPos+Pej+1+Pl	nimakomiimishnaa

2+mkomii+NI+ThmPos+Pej+1+Pl	gimakomiimishnaan
2+mkomii+NI+ThmPos+Pej+1+Pl	gimakomiimishnaa

2+mkomii+NI+ThmPos+Pej+2+Pl	gimakomiimishwaa

3+mkomii+NI+ThmPos+Pej+2+Pl	omakomiimishwaa

3+mkomii+NI+ThmPos+Pej+3+4	omakomiimishniw

1+mkomii+NI+ThmPos+Pej+Prt	nimakomiimishiban
1+mkomii+NI+ThmPos+Pej+Prt	nimakomiimishiba

1+mkomii+NI+ThmPos+Pej+Voc+Pl	nimakomiimishdig

2+mkomii+NI+ThmPos+Pej+Prt	gimakomiimishiban
2+mkomii+NI+ThmPos+Pej+Prt	gimakomiimishiba

2+mkomii+NI+ThmPos+Pej+Voc+Pl	gimakomiimishdig

3+mkomii+NI+ThmPos+Pej+Prt	omakomiimishiban
3+mkomii+NI+ThmPos+Pej+Prt	omakomiimishiba

3+mkomii+NI+ThmPos+Pej+Voc+Pl	omakomiimishdig

X+mkomii+NI+ThmPos+Pej+Prt	imakomiimishiban
X+mkomii+NI+ThmPos+Pej+Prt	imakomiimishiba

X+mkomii+NI+ThmPos+Pej+Voc+Pl	imakomiimishdig

1+mkomii+NI+ThmPos+Pej+4	nimakomiimishan

1+mkomii+NI+ThmPos+Pej+Loc	nimakomiimishing

1+mkomii+NI+ThmPos+Pej+Pl	nimakomiimishan

2+mkomii+NI+ThmPos+Pej+4	gimakomiimishan

2+mkomii+NI+ThmPos+Pej+Loc	gimakomiimishing

2+mkomii+NI+ThmPos+Pej+Pl	gimakomiimishan

3+mkomii+NI+ThmPos+Pej+4	omakomiimishan

3+mkomii+NI+ThmPos+Pej+Loc	omakomiimishing

3+mkomii+NI+ThmPos+Pej+Pl	omakomiimishan

X+mkomii+NI+ThmPos+Pej+4	imakomiimishan

X+mkomii+NI+ThmPos+Pej+Loc	imakomiimishing

X+mkomii+NI+ThmPos+Pej+Pl	imakomiimishan

1+mkomii+NI+ThmPos+1+Pl+Prt	nimakomiimnaaniban
1+mkomii+NI+ThmPos+1+Pl+Prt	nimakomiimnaaniba

1+mkomii+NI+ThmPos+1+Pl+Voc+Pl	nimakomiimnaany1dig

2+mkomii+NI+ThmPos+1+Pl+Prt	gimakomiimnaaniban
2+mkomii+NI+ThmPos+1+Pl+Prt	gimakomiimnaaniba

2+mkomii+NI+ThmPos+1+Pl+Voc+Pl	gimakomiimnaany1dig

2+mkomii+NI+ThmPos+2+Pl+Prt	gimakomiimwaaban
2+mkomii+NI+ThmPos+2+Pl+Prt	gimakomiimwaaba

2+mkomii+NI+ThmPos+2+Pl+Voc+Pl	gimakomiimwaadig

3+mkomii+NI+ThmPos+2+Pl+Prt	omakomiimwaaban
3+mkomii+NI+ThmPos+2+Pl+Prt	omakomiimwaaba

3+mkomii+NI+ThmPos+2+Pl+Voc+Pl	omakomiimwaadig

3+mkomii+NI+ThmPos+3+4+Prt	omakomiimniwiban
3+mkomii+NI+ThmPos+3+4+Prt	omakomiimniwiba
3+mkomii+NI+ThmPos+3+4+Prt	omakomiimniiban
3+mkomii+NI+ThmPos+3+4+Prt	omakomiimniiba

3+mkomii+NI+ThmPos+3+4+Voc+Pl	omakomiimniwdig

1+mkomii+NI+ThmPos+1+Pl+4	nimakomiimnaanin

1+mkomii+NI+ThmPos+1+Pl+Loc	nimakomiimnaaning

1+mkomii+NI+ThmPos+1+Pl+Pl	nimakomiimnaany1an

2+mkomii+NI+ThmPos+1+Pl+4	gimakomiimnaanin

2+mkomii+NI+ThmPos+1+Pl+Loc	gimakomiimnaaning

2+mkomii+NI+ThmPos+1+Pl+Pl	gimakomiimnaany1an

2+mkomii+NI+ThmPos+2+Pl+4	gimakomiimwaan

2+mkomii+NI+ThmPos+2+Pl+Loc	gimakomiimwaang

2+mkomii+NI+ThmPos+2+Pl+Pl	gimakomiimwaaan

3+mkomii+NI+ThmPos+2+Pl+4	omakomiimwaan

3+mkomii+NI+ThmPos+2+Pl+Loc	omakomiimwaang

3+mkomii+NI+ThmPos+2+Pl+Pl	omakomiimwaaan

3+mkomii+NI+ThmPos+3+4+4	omakomiimniwan

3+mkomii+NI+ThmPos+3+4+Loc	omakomiimniing

3+mkomii+NI+ThmPos+3+4+Pl	omakomiimniwan

1+mkomii+NI+ThmPos+Prt+4	nimakomiimibaniin

1+mkomii+NI+ThmPos+Prt+Loc	nimakomiimibaniing

1+mkomii+NI+ThmPos+Prt+Pl	nimakomiimibani1an

2+mkomii+NI+ThmPos+Prt+4	gimakomiimibaniin

2+mkomii+NI+ThmPos+Prt+Loc	gimakomiimibaniing

2+mkomii+NI+ThmPos+Prt+Pl	gimakomiimibani1an

3+mkomii+NI+ThmPos+Prt+4	omakomiimibaniin

3+mkomii+NI+ThmPos+Prt+Loc	omakomiimibaniing

3+mkomii+NI+ThmPos+Prt+Pl	omakomiimibani1an

X+mkomii+NI+ThmPos+Prt+4	imakomiimibaniin

X+mkomii+NI+ThmPos+Prt+Loc	imakomiimibaniing

X+mkomii+NI+ThmPos+Prt+Pl	imakomiimibani1an

1+mkomii+NI+Pej+1+Pl+Prt	nimakomiishnaaniban
1+mkomii+NI+Pej+1+Pl+Prt	nimakomiishnaaniba

1+mkomii+NI+Pej+1+Pl+Voc+Pl	nimakomiishnaany1dig

2+mkomii+NI+Pej+1+Pl+Prt	gimakomiishnaaniban
2+mkomii+NI+Pej+1+Pl+Prt	gimakomiishnaaniba

2+mkomii+NI+Pej+1+Pl+Voc+Pl	gimakomiishnaany1dig

2+mkomii+NI+Pej+2+Pl+Prt	gimakomiishwaaban
2+mkomii+NI+Pej+2+Pl+Prt	gimakomiishwaaba

2+mkomii+NI+Pej+2+Pl+Voc+Pl	gimakomiishwaadig

3+mkomii+NI+Pej+2+Pl+Prt	omakomiishwaaban
3+mkomii+NI+Pej+2+Pl+Prt	omakomiishwaaba

3+mkomii+NI+Pej+2+Pl+Voc+Pl	omakomiishwaadig

3+mkomii+NI+Pej+3+4+Prt	omakomiishniwiban
3+mkomii+NI+Pej+3+4+Prt	omakomiishniwiba
3+mkomii+NI+Pej+3+4+Prt	omakomiishniiban
3+mkomii+NI+Pej+3+4+Prt	omakomiishniiba

3+mkomii+NI+Pej+3+4+Voc+Pl	omakomiishniwdig

1+mkomii+NI+Pej+1+Pl+4	nimakomiishnaanin

1+mkomii+NI+Pej+1+Pl+Loc	nimakomiishnaaning

1+mkomii+NI+Pej+1+Pl+Pl	nimakomiishnaany1an

2+mkomii+NI+Pej+1+Pl+4	gimakomiishnaanin

2+mkomii+NI+Pej+1+Pl+Loc	gimakomiishnaaning

2+mkomii+NI+Pej+1+Pl+Pl	gimakomiishnaany1an

2+mkomii+NI+Pej+2+Pl+4	gimakomiishwaan

2+mkomii+NI+Pej+2+Pl+Loc	gimakomiishwaang

2+mkomii+NI+Pej+2+Pl+Pl	gimakomiishwaaan

3+mkomii+NI+Pej+2+Pl+4	omakomiishwaan

3+mkomii+NI+Pej+2+Pl+Loc	omakomiishwaang

3+mkomii+NI+Pej+2+Pl+Pl	omakomiishwaaan

3+mkomii+NI+Pej+3+4+4	omakomiishniwan

3+mkomii+NI+Pej+3+4+Loc	omakomiishniing

3+mkomii+NI+Pej+3+4+Pl	omakomiishniwan

1+mkomii+NI+Pej+Prt+4	nimakomiishibaniin

1+mkomii+NI+Pej+Prt+Loc	nimakomiishibaniing

1+mkomii+NI+Pej+Prt+Pl	nimakomiishibani1an

2+mkomii+NI+Pej+Prt+4	gimakomiishibaniin

2+mkomii+NI+Pej+Prt+Loc	gimakomiishibaniing

2+mkomii+NI+Pej+Prt+Pl	gimakomiishibani1an

3+mkomii+NI+Pej+Prt+4	omakomiishibaniin

3+mkomii+NI+Pej+Prt+Loc	omakomiishibaniing

3+mkomii+NI+Pej+Prt+Pl	omakomiishibani1an

X+mkomii+NI+Pej+Prt+4	imakomiishibaniin

X+mkomii+NI+Pej+Prt+Loc	imakomiishibaniing

X+mkomii+NI+Pej+Prt+Pl	imakomiishibani1an

1+mkomii+NI+1+Pl+Prt+4	nimakomiinaanibaniin

1+mkomii+NI+1+Pl+Prt+Loc	nimakomiinaanibaniing

1+mkomii+NI+1+Pl+Prt+Pl	nimakomiinaanibani1an

2+mkomii+NI+1+Pl+Prt+4	gimakomiinaanibaniin

2+mkomii+NI+1+Pl+Prt+Loc	gimakomiinaanibaniing

2+mkomii+NI+1+Pl+Prt+Pl	gimakomiinaanibani1an

2+mkomii+NI+2+Pl+Prt+4	gimakomiiwaabaniin

2+mkomii+NI+2+Pl+Prt+Loc	gimakomiiwaabaniing

2+mkomii+NI+2+Pl+Prt+Pl	gimakomiiwaabani1an

3+mkomii+NI+2+Pl+Prt+4	omakomiiwaabaniin

3+mkomii+NI+2+Pl+Prt+Loc	omakomiiwaabaniing

3+mkomii+NI+2+Pl+Prt+Pl	omakomiiwaabani1an

3+mkomii+NI+3+4+Prt+4	omakomiiniwibaniin
3+mkomii+NI+3+4+Prt+4	omakomiiniibaniin

3+mkomii+NI+3+4+Prt+Loc	omakomiiniwibaniing
3+mkomii+NI+3+4+Prt+Loc	omakomiiniibaniing

3+mkomii+NI+3+4+Prt+Pl	omakomiiniwibani1an
3+mkomii+NI+3+4+Prt+Pl	omakomiiniibani1an

mkomii+NI+Con+Pej+Prt+4	makomiienyishibaniin

mkomii+NI+Con+Pej+Prt+Loc	makomiienyishibaniing

mkomii+NI+Con+Pej+Prt+Pl	makomiienyishibani1an

mkomii+NI+Dim+Pej+Prt+4	makomiiensishibaniin

mkomii+NI+Dim+Pej+Prt+Loc	makomiiensishibaniing

mkomii+NI+Dim+Pej+Prt+Pl	makomiiensishibani1an

1+mkomii+NI+Con+ThmPos+Pej+1+Pl	nimakomiienymishnaan
1+mkomii+NI+Con+ThmPos+Pej+1+Pl	nimakomiienymishnaa

1+mkomii+NI+Dim+ThmPos+Pej+1+Pl	nimakomiiensmishnaan
1+mkomii+NI+Dim+ThmPos+Pej+1+Pl	nimakomiiensmishnaa

2+mkomii+NI+Con+ThmPos+Pej+1+Pl	gimakomiienymishnaan
2+mkomii+NI+Con+ThmPos+Pej+1+Pl	gimakomiienymishnaa

2+mkomii+NI+Con+ThmPos+Pej+2+Pl	gimakomiienymishwaa

2+mkomii+NI+Dim+ThmPos+Pej+1+Pl	gimakomiiensmishnaan
2+mkomii+NI+Dim+ThmPos+Pej+1+Pl	gimakomiiensmishnaa

2+mkomii+NI+Dim+ThmPos+Pej+2+Pl	gimakomiiensmishwaa

3+mkomii+NI+Con+ThmPos+Pej+2+Pl	omakomiienymishwaa

3+mkomii+NI+Con+ThmPos+Pej+3+4	omakomiienymishniw

3+mkomii+NI+Dim+ThmPos+Pej+2+Pl	omakomiiensmishwaa

3+mkomii+NI+Dim+ThmPos+Pej+3+4	omakomiiensmishniw

1+mkomii+NI+Con+ThmPos+Pej+Prt	nimakomiienymishiban
1+mkomii+NI+Con+ThmPos+Pej+Prt	nimakomiienymishiba

1+mkomii+NI+Con+ThmPos+Pej+Voc+Pl	nimakomiienymishdig

1+mkomii+NI+Dim+ThmPos+Pej+Prt	nimakomiiensmishiban
1+mkomii+NI+Dim+ThmPos+Pej+Prt	nimakomiiensmishiba

1+mkomii+NI+Dim+ThmPos+Pej+Voc+Pl	nimakomiiensmishdig

2+mkomii+NI+Con+ThmPos+Pej+Prt	gimakomiienymishiban
2+mkomii+NI+Con+ThmPos+Pej+Prt	gimakomiienymishiba

2+mkomii+NI+Con+ThmPos+Pej+Voc+Pl	gimakomiienymishdig

2+mkomii+NI+Dim+ThmPos+Pej+Prt	gimakomiiensmishiban
2+mkomii+NI+Dim+ThmPos+Pej+Prt	gimakomiiensmishiba

2+mkomii+NI+Dim+ThmPos+Pej+Voc+Pl	gimakomiiensmishdig

3+mkomii+NI+Con+ThmPos+Pej+Prt	omakomiienymishiban
3+mkomii+NI+Con+ThmPos+Pej+Prt	omakomiienymishiba

3+mkomii+NI+Con+ThmPos+Pej+Voc+Pl	omakomiienymishdig

3+mkomii+NI+Dim+ThmPos+Pej+Prt	omakomiiensmishiban
3+mkomii+NI+Dim+ThmPos+Pej+Prt	omakomiiensmishiba

3+mkomii+NI+Dim+ThmPos+Pej+Voc+Pl	omakomiiensmishdig

X+mkomii+NI+Con+ThmPos+Pej+Prt	imakomiienymishiban
X+mkomii+NI+Con+ThmPos+Pej+Prt	imakomiienymishiba

X+mkomii+NI+Con+ThmPos+Pej+Voc+Pl	imakomiienymishdig

X+mkomii+NI+Dim+ThmPos+Pej+Prt	imakomiiensmishiban
X+mkomii+NI+Dim+ThmPos+Pej+Prt	imakomiiensmishiba

X+mkomii+NI+Dim+ThmPos+Pej+Voc+Pl	imakomiiensmishdig

1+mkomii+NI+Con+ThmPos+Pej+4	nimakomiienymishan

1+mkomii+NI+Con+ThmPos+Pej+Loc	nimakomiienymishing

1+mkomii+NI+Con+ThmPos+Pej+Pl	nimakomiienymishan

1+mkomii+NI+Dim+ThmPos+Pej+4	nimakomiiensmishan

1+mkomii+NI+Dim+ThmPos+Pej+Loc	nimakomiiensmishing

1+mkomii+NI+Dim+ThmPos+Pej+Pl	nimakomiiensmishan

2+mkomii+NI+Con+ThmPos+Pej+4	gimakomiienymishan

2+mkomii+NI+Con+ThmPos+Pej+Loc	gimakomiienymishing

2+mkomii+NI+Con+ThmPos+Pej+Pl	gimakomiienymishan

2+mkomii+NI+Dim+ThmPos+Pej+4	gimakomiiensmishan

2+mkomii+NI+Dim+ThmPos+Pej+Loc	gimakomiiensmishing

2+mkomii+NI+Dim+ThmPos+Pej+Pl	gimakomiiensmishan

3+mkomii+NI+Con+ThmPos+Pej+4	omakomiienymishan

3+mkomii+NI+Con+ThmPos+Pej+Loc	omakomiienymishing

3+mkomii+NI+Con+ThmPos+Pej+Pl	omakomiienymishan

3+mkomii+NI+Dim+ThmPos+Pej+4	omakomiiensmishan

3+mkomii+NI+Dim+ThmPos+Pej+Loc	omakomiiensmishing

3+mkomii+NI+Dim+ThmPos+Pej+Pl	omakomiiensmishan

X+mkomii+NI+Con+ThmPos+Pej+4	imakomiienymishan

X+mkomii+NI+Con+ThmPos+Pej+Loc	imakomiienymishing

X+mkomii+NI+Con+ThmPos+Pej+Pl	imakomiienymishan

X+mkomii+NI+Dim+ThmPos+Pej+4	imakomiiensmishan

X+mkomii+NI+Dim+ThmPos+Pej+Loc	imakomiiensmishing

X+mkomii+NI+Dim+ThmPos+Pej+Pl	imakomiiensmishan

1+mkomii+NI+Con+ThmPos+1+Pl+Prt	nimakomiienymnaaniban
1+mkomii+NI+Con+ThmPos+1+Pl+Prt	nimakomiienymnaaniba

1+mkomii+NI+Con+ThmPos+1+Pl+Voc+Pl	nimakomiienymnaany1dig

1+mkomii+NI+Dim+ThmPos+1+Pl+Prt	nimakomiiensmnaaniban
1+mkomii+NI+Dim+ThmPos+1+Pl+Prt	nimakomiiensmnaaniba

1+mkomii+NI+Dim+ThmPos+1+Pl+Voc+Pl	nimakomiiensmnaany1dig

2+mkomii+NI+Con+ThmPos+1+Pl+Prt	gimakomiienymnaaniban
2+mkomii+NI+Con+ThmPos+1+Pl+Prt	gimakomiienymnaaniba

2+mkomii+NI+Con+ThmPos+1+Pl+Voc+Pl	gimakomiienymnaany1dig

2+mkomii+NI+Con+ThmPos+2+Pl+Prt	gimakomiienymwaaban
2+mkomii+NI+Con+ThmPos+2+Pl+Prt	gimakomiienymwaaba

2+mkomii+NI+Con+ThmPos+2+Pl+Voc+Pl	gimakomiienymwaadig

2+mkomii+NI+Dim+ThmPos+1+Pl+Prt	gimakomiiensmnaaniban
2+mkomii+NI+Dim+ThmPos+1+Pl+Prt	gimakomiiensmnaaniba

2+mkomii+NI+Dim+ThmPos+1+Pl+Voc+Pl	gimakomiiensmnaany1dig

2+mkomii+NI+Dim+ThmPos+2+Pl+Prt	gimakomiiensmwaaban
2+mkomii+NI+Dim+ThmPos+2+Pl+Prt	gimakomiiensmwaaba

2+mkomii+NI+Dim+ThmPos+2+Pl+Voc+Pl	gimakomiiensmwaadig

3+mkomii+NI+Con+ThmPos+2+Pl+Prt	omakomiienymwaaban
3+mkomii+NI+Con+ThmPos+2+Pl+Prt	omakomiienymwaaba

3+mkomii+NI+Con+ThmPos+2+Pl+Voc+Pl	omakomiienymwaadig

3+mkomii+NI+Con+ThmPos+3+4+Prt	omakomiienymniwiban
3+mkomii+NI+Con+ThmPos+3+4+Prt	omakomiienymniwiba
3+mkomii+NI+Con+ThmPos+3+4+Prt	omakomiienymniiban
3+mkomii+NI+Con+ThmPos+3+4+Prt	omakomiienymniiba

3+mkomii+NI+Con+ThmPos+3+4+Voc+Pl	omakomiienymniwdig

3+mkomii+NI+Dim+ThmPos+2+Pl+Prt	omakomiiensmwaaban
3+mkomii+NI+Dim+ThmPos+2+Pl+Prt	omakomiiensmwaaba

3+mkomii+NI+Dim+ThmPos+2+Pl+Voc+Pl	omakomiiensmwaadig

3+mkomii+NI+Dim+ThmPos+3+4+Prt	omakomiiensmniwiban
3+mkomii+NI+Dim+ThmPos+3+4+Prt	omakomiiensmniwiba
3+mkomii+NI+Dim+ThmPos+3+4+Prt	omakomiiensmniiban
3+mkomii+NI+Dim+ThmPos+3+4+Prt	omakomiiensmniiba

3+mkomii+NI+Dim+ThmPos+3+4+Voc+Pl	omakomiiensmniwdig

1+mkomii+NI+Con+ThmPos+1+Pl+4	nimakomiienymnaanin

1+mkomii+NI+Con+ThmPos+1+Pl+Loc	nimakomiienymnaaning

1+mkomii+NI+Con+ThmPos+1+Pl+Pl	nimakomiienymnaany1an

1+mkomii+NI+Dim+ThmPos+1+Pl+4	nimakomiiensmnaanin

1+mkomii+NI+Dim+ThmPos+1+Pl+Loc	nimakomiiensmnaaning

1+mkomii+NI+Dim+ThmPos+1+Pl+Pl	nimakomiiensmnaany1an

2+mkomii+NI+Con+ThmPos+1+Pl+4	gimakomiienymnaanin

2+mkomii+NI+Con+ThmPos+1+Pl+Loc	gimakomiienymnaaning

2+mkomii+NI+Con+ThmPos+1+Pl+Pl	gimakomiienymnaany1an

2+mkomii+NI+Con+ThmPos+2+Pl+4	gimakomiienymwaan

2+mkomii+NI+Con+ThmPos+2+Pl+Loc	gimakomiienymwaang

2+mkomii+NI+Con+ThmPos+2+Pl+Pl	gimakomiienymwaaan

2+mkomii+NI+Dim+ThmPos+1+Pl+4	gimakomiiensmnaanin

2+mkomii+NI+Dim+ThmPos+1+Pl+Loc	gimakomiiensmnaaning

2+mkomii+NI+Dim+ThmPos+1+Pl+Pl	gimakomiiensmnaany1an

2+mkomii+NI+Dim+ThmPos+2+Pl+4	gimakomiiensmwaan

2+mkomii+NI+Dim+ThmPos+2+Pl+Loc	gimakomiiensmwaang

2+mkomii+NI+Dim+ThmPos+2+Pl+Pl	gimakomiiensmwaaan

3+mkomii+NI+Con+ThmPos+2+Pl+4	omakomiienymwaan

3+mkomii+NI+Con+ThmPos+2+Pl+Loc	omakomiienymwaang

3+mkomii+NI+Con+ThmPos+2+Pl+Pl	omakomiienymwaaan

3+mkomii+NI+Con+ThmPos+3+4+4	omakomiienymniwan

3+mkomii+NI+Con+ThmPos+3+4+Loc	omakomiienymniing

3+mkomii+NI+Con+ThmPos+3+4+Pl	omakomiienymniwan

3+mkomii+NI+Dim+ThmPos+2+Pl+4	omakomiiensmwaan

3+mkomii+NI+Dim+ThmPos+2+Pl+Loc	omakomiiensmwaang

3+mkomii+NI+Dim+ThmPos+2+Pl+Pl	omakomiiensmwaaan

3+mkomii+NI+Dim+ThmPos+3+4+4	omakomiiensmniwan

3+mkomii+NI+Dim+ThmPos+3+4+Loc	omakomiiensmniing

3+mkomii+NI+Dim+ThmPos+3+4+Pl	omakomiiensmniwan

1+mkomii+NI+Con+ThmPos+Prt+4	nimakomiienymibaniin

1+mkomii+NI+Con+ThmPos+Prt+Loc	nimakomiienymibaniing

1+mkomii+NI+Con+ThmPos+Prt+Pl	nimakomiienymibani1an

1+mkomii+NI+Dim+ThmPos+Prt+4	nimakomiiensmibaniin

1+mkomii+NI+Dim+ThmPos+Prt+Loc	nimakomiiensmibaniing

1+mkomii+NI+Dim+ThmPos+Prt+Pl	nimakomiiensmibani1an

2+mkomii+NI+Con+ThmPos+Prt+4	gimakomiienymibaniin

2+mkomii+NI+Con+ThmPos+Prt+Loc	gimakomiienymibaniing

2+mkomii+NI+Con+ThmPos+Prt+Pl	gimakomiienymibani1an

2+mkomii+NI+Dim+ThmPos+Prt+4	gimakomiiensmibaniin

2+mkomii+NI+Dim+ThmPos+Prt+Loc	gimakomiiensmibaniing

2+mkomii+NI+Dim+ThmPos+Prt+Pl	gimakomiiensmibani1an

3+mkomii+NI+Con+ThmPos+Prt+4	omakomiienymibaniin

3+mkomii+NI+Con+ThmPos+Prt+Loc	omakomiienymibaniing

3+mkomii+NI+Con+ThmPos+Prt+Pl	omakomiienymibani1an

3+mkomii+NI+Dim+ThmPos+Prt+4	omakomiiensmibaniin

3+mkomii+NI+Dim+ThmPos+Prt+Loc	omakomiiensmibaniing

3+mkomii+NI+Dim+ThmPos+Prt+Pl	omakomiiensmibani1an

X+mkomii+NI+Con+ThmPos+Prt+4	imakomiienymibaniin

X+mkomii+NI+Con+ThmPos+Prt+Loc	imakomiienymibaniing

X+mkomii+NI+Con+ThmPos+Prt+Pl	imakomiienymibani1an

X+mkomii+NI+Dim+ThmPos+Prt+4	imakomiiensmibaniin

X+mkomii+NI+Dim+ThmPos+Prt+Loc	imakomiiensmibaniing

X+mkomii+NI+Dim+ThmPos+Prt+Pl	imakomiiensmibani1an

1+mkomii+NI+Con+Pej+1+Pl+Prt	nimakomiienyishnaaniban
1+mkomii+NI+Con+Pej+1+Pl+Prt	nimakomiienyishnaaniba

1+mkomii+NI+Con+Pej+1+Pl+Voc+Pl	nimakomiienyishnaany1dig

1+mkomii+NI+Dim+Pej+1+Pl+Prt	nimakomiiensishnaaniban
1+mkomii+NI+Dim+Pej+1+Pl+Prt	nimakomiiensishnaaniba

1+mkomii+NI+Dim+Pej+1+Pl+Voc+Pl	nimakomiiensishnaany1dig

2+mkomii+NI+Con+Pej+1+Pl+Prt	gimakomiienyishnaaniban
2+mkomii+NI+Con+Pej+1+Pl+Prt	gimakomiienyishnaaniba

2+mkomii+NI+Con+Pej+1+Pl+Voc+Pl	gimakomiienyishnaany1dig

2+mkomii+NI+Con+Pej+2+Pl+Prt	gimakomiienyishwaaban
2+mkomii+NI+Con+Pej+2+Pl+Prt	gimakomiienyishwaaba

2+mkomii+NI+Con+Pej+2+Pl+Voc+Pl	gimakomiienyishwaadig

2+mkomii+NI+Dim+Pej+1+Pl+Prt	gimakomiiensishnaaniban
2+mkomii+NI+Dim+Pej+1+Pl+Prt	gimakomiiensishnaaniba

2+mkomii+NI+Dim+Pej+1+Pl+Voc+Pl	gimakomiiensishnaany1dig

2+mkomii+NI+Dim+Pej+2+Pl+Prt	gimakomiiensishwaaban
2+mkomii+NI+Dim+Pej+2+Pl+Prt	gimakomiiensishwaaba

2+mkomii+NI+Dim+Pej+2+Pl+Voc+Pl	gimakomiiensishwaadig

3+mkomii+NI+Con+Pej+2+Pl+Prt	omakomiienyishwaaban
3+mkomii+NI+Con+Pej+2+Pl+Prt	omakomiienyishwaaba

3+mkomii+NI+Con+Pej+2+Pl+Voc+Pl	omakomiienyishwaadig

3+mkomii+NI+Con+Pej+3+4+Prt	omakomiienyishniwiban
3+mkomii+NI+Con+Pej+3+4+Prt	omakomiienyishniwiba
3+mkomii+NI+Con+Pej+3+4+Prt	omakomiienyishniiban
3+mkomii+NI+Con+Pej+3+4+Prt	omakomiienyishniiba

3+mkomii+NI+Con+Pej+3+4+Voc+Pl	omakomiienyishniwdig

3+mkomii+NI+Dim+Pej+2+Pl+Prt	omakomiiensishwaaban
3+mkomii+NI+Dim+Pej+2+Pl+Prt	omakomiiensishwaaba

3+mkomii+NI+Dim+Pej+2+Pl+Voc+Pl	omakomiiensishwaadig

3+mkomii+NI+Dim+Pej+3+4+Prt	omakomiiensishniwiban
3+mkomii+NI+Dim+Pej+3+4+Prt	omakomiiensishniwiba
3+mkomii+NI+Dim+Pej+3+4+Prt	omakomiiensishniiban
3+mkomii+NI+Dim+Pej+3+4+Prt	omakomiiensishniiba

3+mkomii+NI+Dim+Pej+3+4+Voc+Pl	omakomiiensishniwdig

1+mkomii+NI+Con+Pej+1+Pl+4	nimakomiienyishnaanin

1+mkomii+NI+Con+Pej+1+Pl+Loc	nimakomiienyishnaaning

1+mkomii+NI+Con+Pej+1+Pl+Pl	nimakomiienyishnaany1an

1+mkomii+NI+Dim+Pej+1+Pl+4	nimakomiiensishnaanin

1+mkomii+NI+Dim+Pej+1+Pl+Loc	nimakomiiensishnaaning

1+mkomii+NI+Dim+Pej+1+Pl+Pl	nimakomiiensishnaany1an

2+mkomii+NI+Con+Pej+1+Pl+4	gimakomiienyishnaanin

2+mkomii+NI+Con+Pej+1+Pl+Loc	gimakomiienyishnaaning

2+mkomii+NI+Con+Pej+1+Pl+Pl	gimakomiienyishnaany1an

