mkomii+NI	makomii
2+mkomii+NI+2+Pl+Loc	gimakomiiwaang

2+mkomii+NI+2+Pl+Pl	gimakomiiwaaan

3+mkomii+NI+2+Pl+4	omakomiiwaan

3+mkomii+NI+2+Pl+Loc	omakomiiwaang

3+mkomii+NI+2+Pl+Pl	omakomiiwaaan

3+mkomii+NI+3+4+4	omakomiiniwan

3+mkomii+NI+3+4+Loc	omakomiiniing

3+mkomii+NI+3+4+Pl	omakomiiniwan

1+mkomii+NI+Prt+4	nimakomiibaniin

1+mkomii+NI+Prt+Loc	nimakomiibaniing

1+mkomii+NI+Prt+Pl	nimakomiibani1an

2+mkomii+NI+Prt+4	gimakomiibaniin

2+mkomii+NI+Prt+Loc	gimakomiibaniing

2+mkomii+NI+Prt+Pl	gimakomiibani1an

3+mkomii+NI+Prt+4	omakomiibaniin

3+mkomii+NI+Prt+Loc	omakomiibaniing

3+mkomii+NI+Prt+Pl	omakomiibani1an

X+mkomii+NI+Prt+4	imakomiibaniin

X+mkomii+NI+Prt+Loc	imakomiibaniing

X+mkomii+NI+Prt+Pl	imakomiibani1an

mkomii+NI+Con+Pej+Prt	makomiienyishiban
mkomii+NI+Con+Pej+Prt	makomiienyishiba

mkomii+NI+Con+Pej+Voc+Pl	makomiienyishdig

mkomii+NI+Dim+Pej+Prt	makomiiensishiban
mkomii+NI+Dim+Pej+Prt	makomiiensishiba

mkomii+NI+Dim+Pej+Voc+Pl	makomiiensishdig

mkomii+NI+Con+Pej+4	makomiienyishan

mkomii+NI+Con+Pej+Loc	makomiienyishing

mkomii+NI+Con+Pej+Pl	makomiienyishan

mkomii+NI+Dim+Pej+4	makomiiensishan

mkomii+NI+Dim+Pej+Loc	makomiiensishing

mkomii+NI+Dim+Pej+Pl	makomiiensishan

mkomii+NI+Con+Prt+4	makomiienyibaniin

mkomii+NI+Con+Prt+Loc	makomiienyibaniing

mkomii+NI+Con+Prt+Pl	makomiienyibani1an

mkomii+NI+Dim+Prt+4	makomiiensibaniin

mkomii+NI+Dim+Prt+Loc	makomiiensibaniing

mkomii+NI+Dim+Prt+Pl	makomiiensibani1an

mkomii+NI+Pej+Prt+4	makomiishibaniin

mkomii+NI+Pej+Prt+Loc	makomiishibaniing

mkomii+NI+Pej+Prt+Pl	makomiishibani1an

1+mkomii+NI+Con+ThmPos+Pej	nimakomiienymish

1+mkomii+NI+Dim+ThmPos+Pej	nimakomiiensmish

2+mkomii+NI+Con+ThmPos+Pej	gimakomiienymish

2+mkomii+NI+Dim+ThmPos+Pej	gimakomiiensmish

