mkizin+NI	makizin
3+mkizin+NI+Dim+3+4+Pl	omakizinensniwan

1+mkizin+NI+Con+Prt+4	nimakizinenyibaniin

1+mkizin+NI+Con+Prt+Loc	nimakizinenyibaniing

1+mkizin+NI+Con+Prt+Pl	nimakizinenyibani1an

1+mkizin+NI+Dim+Prt+4	nimakizinensibaniin

1+mkizin+NI+Dim+Prt+Loc	nimakizinensibaniing

1+mkizin+NI+Dim+Prt+Pl	nimakizinensibani1an

2+mkizin+NI+Con+Prt+4	gimakizinenyibaniin

2+mkizin+NI+Con+Prt+Loc	gimakizinenyibaniing

2+mkizin+NI+Con+Prt+Pl	gimakizinenyibani1an

2+mkizin+NI+Dim+Prt+4	gimakizinensibaniin

2+mkizin+NI+Dim+Prt+Loc	gimakizinensibaniing

2+mkizin+NI+Dim+Prt+Pl	gimakizinensibani1an

3+mkizin+NI+Con+Prt+4	omakizinenyibaniin

3+mkizin+NI+Con+Prt+Loc	omakizinenyibaniing

3+mkizin+NI+Con+Prt+Pl	omakizinenyibani1an

3+mkizin+NI+Dim+Prt+4	omakizinensibaniin

3+mkizin+NI+Dim+Prt+Loc	omakizinensibaniing

3+mkizin+NI+Dim+Prt+Pl	omakizinensibani1an

X+mkizin+NI+Con+Prt+4	imakizinenyibaniin

X+mkizin+NI+Con+Prt+Loc	imakizinenyibaniing

X+mkizin+NI+Con+Prt+Pl	imakizinenyibani1an

X+mkizin+NI+Dim+Prt+4	imakizinensibaniin

X+mkizin+NI+Dim+Prt+Loc	imakizinensibaniing

X+mkizin+NI+Dim+Prt+Pl	imakizinensibani1an

1+mkizin+NI+ThmPos+Pej+1+Pl	nimakizinmishnaan
1+mkizin+NI+ThmPos+Pej+1+Pl	nimakizinmishnaa

2+mkizin+NI+ThmPos+Pej+1+Pl	gimakizinmishnaan
2+mkizin+NI+ThmPos+Pej+1+Pl	gimakizinmishnaa

2+mkizin+NI+ThmPos+Pej+2+Pl	gimakizinmishwaa

3+mkizin+NI+ThmPos+Pej+2+Pl	omakizinmishwaa

3+mkizin+NI+ThmPos+Pej+3+4	omakizinmishniw

1+mkizin+NI+ThmPos+Pej+Prt	nimakizinmishiban
1+mkizin+NI+ThmPos+Pej+Prt	nimakizinmishiba

1+mkizin+NI+ThmPos+Pej+Voc+Pl	nimakizinmishdig

2+mkizin+NI+ThmPos+Pej+Prt	gimakizinmishiban
2+mkizin+NI+ThmPos+Pej+Prt	gimakizinmishiba

2+mkizin+NI+ThmPos+Pej+Voc+Pl	gimakizinmishdig

3+mkizin+NI+ThmPos+Pej+Prt	omakizinmishiban
3+mkizin+NI+ThmPos+Pej+Prt	omakizinmishiba

3+mkizin+NI+ThmPos+Pej+Voc+Pl	omakizinmishdig

X+mkizin+NI+ThmPos+Pej+Prt	imakizinmishiban
X+mkizin+NI+ThmPos+Pej+Prt	imakizinmishiba

X+mkizin+NI+ThmPos+Pej+Voc+Pl	imakizinmishdig

1+mkizin+NI+ThmPos+Pej+4	nimakizinmishan

1+mkizin+NI+ThmPos+Pej+Loc	nimakizinmishing

1+mkizin+NI+ThmPos+Pej+Pl	nimakizinmishan

2+mkizin+NI+ThmPos+Pej+4	gimakizinmishan

2+mkizin+NI+ThmPos+Pej+Loc	gimakizinmishing

2+mkizin+NI+ThmPos+Pej+Pl	gimakizinmishan

3+mkizin+NI+ThmPos+Pej+4	omakizinmishan

3+mkizin+NI+ThmPos+Pej+Loc	omakizinmishing

3+mkizin+NI+ThmPos+Pej+Pl	omakizinmishan

X+mkizin+NI+ThmPos+Pej+4	imakizinmishan

X+mkizin+NI+ThmPos+Pej+Loc	imakizinmishing

X+mkizin+NI+ThmPos+Pej+Pl	imakizinmishan

1+mkizin+NI+ThmPos+1+Pl+Prt	nimakizinmnaaniban
1+mkizin+NI+ThmPos+1+Pl+Prt	nimakizinmnaaniba

1+mkizin+NI+ThmPos+1+Pl+Voc+Pl	nimakizinmnaany1dig

2+mkizin+NI+ThmPos+1+Pl+Prt	gimakizinmnaaniban
2+mkizin+NI+ThmPos+1+Pl+Prt	gimakizinmnaaniba

2+mkizin+NI+ThmPos+1+Pl+Voc+Pl	gimakizinmnaany1dig

2+mkizin+NI+ThmPos+2+Pl+Prt	gimakizinmwaaban
2+mkizin+NI+ThmPos+2+Pl+Prt	gimakizinmwaaba

2+mkizin+NI+ThmPos+2+Pl+Voc+Pl	gimakizinmwaadig

3+mkizin+NI+ThmPos+2+Pl+Prt	omakizinmwaaban
3+mkizin+NI+ThmPos+2+Pl+Prt	omakizinmwaaba

3+mkizin+NI+ThmPos+2+Pl+Voc+Pl	omakizinmwaadig

3+mkizin+NI+ThmPos+3+4+Prt	omakizinmniwiban
3+mkizin+NI+ThmPos+3+4+Prt	omakizinmniwiba
3+mkizin+NI+ThmPos+3+4+Prt	omakizinmniiban
3+mkizin+NI+ThmPos+3+4+Prt	omakizinmniiba

3+mkizin+NI+ThmPos+3+4+Voc+Pl	omakizinmniwdig

1+mkizin+NI+ThmPos+1+Pl+4	nimakizinmnaanin

1+mkizin+NI+ThmPos+1+Pl+Loc	nimakizinmnaaning

1+mkizin+NI+ThmPos+1+Pl+Pl	nimakizinmnaany1an

2+mkizin+NI+ThmPos+1+Pl+4	gimakizinmnaanin

2+mkizin+NI+ThmPos+1+Pl+Loc	gimakizinmnaaning

2+mkizin+NI+ThmPos+1+Pl+Pl	gimakizinmnaany1an

2+mkizin+NI+ThmPos+2+Pl+4	gimakizinmwaan

2+mkizin+NI+ThmPos+2+Pl+Loc	gimakizinmwaang

2+mkizin+NI+ThmPos+2+Pl+Pl	gimakizinmwaaan

3+mkizin+NI+ThmPos+2+Pl+4	omakizinmwaan

3+mkizin+NI+ThmPos+2+Pl+Loc	omakizinmwaang

3+mkizin+NI+ThmPos+2+Pl+Pl	omakizinmwaaan

3+mkizin+NI+ThmPos+3+4+4	omakizinmniwan

3+mkizin+NI+ThmPos+3+4+Loc	omakizinmniing

3+mkizin+NI+ThmPos+3+4+Pl	omakizinmniwan

1+mkizin+NI+ThmPos+Prt+4	nimakizinmibaniin

1+mkizin+NI+ThmPos+Prt+Loc	nimakizinmibaniing

1+mkizin+NI+ThmPos+Prt+Pl	nimakizinmibani1an

2+mkizin+NI+ThmPos+Prt+4	gimakizinmibaniin

2+mkizin+NI+ThmPos+Prt+Loc	gimakizinmibaniing

2+mkizin+NI+ThmPos+Prt+Pl	gimakizinmibani1an

3+mkizin+NI+ThmPos+Prt+4	omakizinmibaniin

3+mkizin+NI+ThmPos+Prt+Loc	omakizinmibaniing

3+mkizin+NI+ThmPos+Prt+Pl	omakizinmibani1an

X+mkizin+NI+ThmPos+Prt+4	imakizinmibaniin

X+mkizin+NI+ThmPos+Prt+Loc	imakizinmibaniing

X+mkizin+NI+ThmPos+Prt+Pl	imakizinmibani1an

1+mkizin+NI+Pej+1+Pl+Prt	nimakizinshnaaniban
1+mkizin+NI+Pej+1+Pl+Prt	nimakizinshnaaniba

1+mkizin+NI+Pej+1+Pl+Voc+Pl	nimakizinshnaany1dig

2+mkizin+NI+Pej+1+Pl+Prt	gimakizinshnaaniban
2+mkizin+NI+Pej+1+Pl+Prt	gimakizinshnaaniba

2+mkizin+NI+Pej+1+Pl+Voc+Pl	gimakizinshnaany1dig

2+mkizin+NI+Pej+2+Pl+Prt	gimakizinshwaaban
2+mkizin+NI+Pej+2+Pl+Prt	gimakizinshwaaba

2+mkizin+NI+Pej+2+Pl+Voc+Pl	gimakizinshwaadig

3+mkizin+NI+Pej+2+Pl+Prt	omakizinshwaaban
3+mkizin+NI+Pej+2+Pl+Prt	omakizinshwaaba

3+mkizin+NI+Pej+2+Pl+Voc+Pl	omakizinshwaadig

3+mkizin+NI+Pej+3+4+Prt	omakizinshniwiban
3+mkizin+NI+Pej+3+4+Prt	omakizinshniwiba
3+mkizin+NI+Pej+3+4+Prt	omakizinshniiban
3+mkizin+NI+Pej+3+4+Prt	omakizinshniiba

3+mkizin+NI+Pej+3+4+Voc+Pl	omakizinshniwdig

1+mkizin+NI+Pej+1+Pl+4	nimakizinshnaanin

1+mkizin+NI+Pej+1+Pl+Loc	nimakizinshnaaning

1+mkizin+NI+Pej+1+Pl+Pl	nimakizinshnaany1an

2+mkizin+NI+Pej+1+Pl+4	gimakizinshnaanin

2+mkizin+NI+Pej+1+Pl+Loc	gimakizinshnaaning

2+mkizin+NI+Pej+1+Pl+Pl	gimakizinshnaany1an

2+mkizin+NI+Pej+2+Pl+4	gimakizinshwaan

2+mkizin+NI+Pej+2+Pl+Loc	gimakizinshwaang

2+mkizin+NI+Pej+2+Pl+Pl	gimakizinshwaaan

3+mkizin+NI+Pej+2+Pl+4	omakizinshwaan

3+mkizin+NI+Pej+2+Pl+Loc	omakizinshwaang

3+mkizin+NI+Pej+2+Pl+Pl	omakizinshwaaan

3+mkizin+NI+Pej+3+4+4	omakizinshniwan

3+mkizin+NI+Pej+3+4+Loc	omakizinshniing

3+mkizin+NI+Pej+3+4+Pl	omakizinshniwan

1+mkizin+NI+Pej+Prt+4	nimakizinshibaniin

1+mkizin+NI+Pej+Prt+Loc	nimakizinshibaniing

1+mkizin+NI+Pej+Prt+Pl	nimakizinshibani1an

2+mkizin+NI+Pej+Prt+4	gimakizinshibaniin

2+mkizin+NI+Pej+Prt+Loc	gimakizinshibaniing

2+mkizin+NI+Pej+Prt+Pl	gimakizinshibani1an

3+mkizin+NI+Pej+Prt+4	omakizinshibaniin

3+mkizin+NI+Pej+Prt+Loc	omakizinshibaniing

3+mkizin+NI+Pej+Prt+Pl	omakizinshibani1an

X+mkizin+NI+Pej+Prt+4	imakizinshibaniin

X+mkizin+NI+Pej+Prt+Loc	imakizinshibaniing

X+mkizin+NI+Pej+Prt+Pl	imakizinshibani1an

1+mkizin+NI+1+Pl+Prt+4	nimakizinnaanibaniin

1+mkizin+NI+1+Pl+Prt+Loc	nimakizinnaanibaniing

1+mkizin+NI+1+Pl+Prt+Pl	nimakizinnaanibani1an

2+mkizin+NI+1+Pl+Prt+4	gimakizinnaanibaniin

2+mkizin+NI+1+Pl+Prt+Loc	gimakizinnaanibaniing

2+mkizin+NI+1+Pl+Prt+Pl	gimakizinnaanibani1an

2+mkizin+NI+2+Pl+Prt+4	gimakizinwaabaniin

2+mkizin+NI+2+Pl+Prt+Loc	gimakizinwaabaniing

2+mkizin+NI+2+Pl+Prt+Pl	gimakizinwaabani1an

3+mkizin+NI+2+Pl+Prt+4	omakizinwaabaniin

3+mkizin+NI+2+Pl+Prt+Loc	omakizinwaabaniing

3+mkizin+NI+2+Pl+Prt+Pl	omakizinwaabani1an

3+mkizin+NI+3+4+Prt+4	omakizinniwibaniin
3+mkizin+NI+3+4+Prt+4	omakizinniibaniin

3+mkizin+NI+3+4+Prt+Loc	omakizinniwibaniing
3+mkizin+NI+3+4+Prt+Loc	omakizinniibaniing

3+mkizin+NI+3+4+Prt+Pl	omakizinniwibani1an
3+mkizin+NI+3+4+Prt+Pl	omakizinniibani1an

mkizin+NI+Con+Pej+Prt+4	makizinenyishibaniin

mkizin+NI+Con+Pej+Prt+Loc	makizinenyishibaniing

mkizin+NI+Con+Pej+Prt+Pl	makizinenyishibani1an

mkizin+NI+Dim+Pej+Prt+4	makizinensishibaniin

mkizin+NI+Dim+Pej+Prt+Loc	makizinensishibaniing

mkizin+NI+Dim+Pej+Prt+Pl	makizinensishibani1an

1+mkizin+NI+Con+ThmPos+Pej+1+Pl	nimakizinenymishnaan
1+mkizin+NI+Con+ThmPos+Pej+1+Pl	nimakizinenymishnaa

1+mkizin+NI+Dim+ThmPos+Pej+1+Pl	nimakizinensmishnaan
1+mkizin+NI+Dim+ThmPos+Pej+1+Pl	nimakizinensmishnaa

2+mkizin+NI+Con+ThmPos+Pej+1+Pl	gimakizinenymishnaan
2+mkizin+NI+Con+ThmPos+Pej+1+Pl	gimakizinenymishnaa

2+mkizin+NI+Con+ThmPos+Pej+2+Pl	gimakizinenymishwaa

2+mkizin+NI+Dim+ThmPos+Pej+1+Pl	gimakizinensmishnaan
2+mkizin+NI+Dim+ThmPos+Pej+1+Pl	gimakizinensmishnaa

2+mkizin+NI+Dim+ThmPos+Pej+2+Pl	gimakizinensmishwaa

3+mkizin+NI+Con+ThmPos+Pej+2+Pl	omakizinenymishwaa

3+mkizin+NI+Con+ThmPos+Pej+3+4	omakizinenymishniw

3+mkizin+NI+Dim+ThmPos+Pej+2+Pl	omakizinensmishwaa

3+mkizin+NI+Dim+ThmPos+Pej+3+4	omakizinensmishniw

1+mkizin+NI+Con+ThmPos+Pej+Prt	nimakizinenymishiban
1+mkizin+NI+Con+ThmPos+Pej+Prt	nimakizinenymishiba

1+mkizin+NI+Con+ThmPos+Pej+Voc+Pl	nimakizinenymishdig

1+mkizin+NI+Dim+ThmPos+Pej+Prt	nimakizinensmishiban
1+mkizin+NI+Dim+ThmPos+Pej+Prt	nimakizinensmishiba

1+mkizin+NI+Dim+ThmPos+Pej+Voc+Pl	nimakizinensmishdig

2+mkizin+NI+Con+ThmPos+Pej+Prt	gimakizinenymishiban
2+mkizin+NI+Con+ThmPos+Pej+Prt	gimakizinenymishiba

2+mkizin+NI+Con+ThmPos+Pej+Voc+Pl	gimakizinenymishdig

2+mkizin+NI+Dim+ThmPos+Pej+Prt	gimakizinensmishiban
2+mkizin+NI+Dim+ThmPos+Pej+Prt	gimakizinensmishiba

2+mkizin+NI+Dim+ThmPos+Pej+Voc+Pl	gimakizinensmishdig

3+mkizin+NI+Con+ThmPos+Pej+Prt	omakizinenymishiban
3+mkizin+NI+Con+ThmPos+Pej+Prt	omakizinenymishiba

3+mkizin+NI+Con+ThmPos+Pej+Voc+Pl	omakizinenymishdig

3+mkizin+NI+Dim+ThmPos+Pej+Prt	omakizinensmishiban
3+mkizin+NI+Dim+ThmPos+Pej+Prt	omakizinensmishiba

3+mkizin+NI+Dim+ThmPos+Pej+Voc+Pl	omakizinensmishdig

X+mkizin+NI+Con+ThmPos+Pej+Prt	imakizinenymishiban
X+mkizin+NI+Con+ThmPos+Pej+Prt	imakizinenymishiba

X+mkizin+NI+Con+ThmPos+Pej+Voc+Pl	imakizinenymishdig

X+mkizin+NI+Dim+ThmPos+Pej+Prt	imakizinensmishiban
X+mkizin+NI+Dim+ThmPos+Pej+Prt	imakizinensmishiba

X+mkizin+NI+Dim+ThmPos+Pej+Voc+Pl	imakizinensmishdig

1+mkizin+NI+Con+ThmPos+Pej+4	nimakizinenymishan

1+mkizin+NI+Con+ThmPos+Pej+Loc	nimakizinenymishing

1+mkizin+NI+Con+ThmPos+Pej+Pl	nimakizinenymishan

1+mkizin+NI+Dim+ThmPos+Pej+4	nimakizinensmishan

1+mkizin+NI+Dim+ThmPos+Pej+Loc	nimakizinensmishing

1+mkizin+NI+Dim+ThmPos+Pej+Pl	nimakizinensmishan

2+mkizin+NI+Con+ThmPos+Pej+4	gimakizinenymishan

2+mkizin+NI+Con+ThmPos+Pej+Loc	gimakizinenymishing

2+mkizin+NI+Con+ThmPos+Pej+Pl	gimakizinenymishan

2+mkizin+NI+Dim+ThmPos+Pej+4	gimakizinensmishan

2+mkizin+NI+Dim+ThmPos+Pej+Loc	gimakizinensmishing

2+mkizin+NI+Dim+ThmPos+Pej+Pl	gimakizinensmishan

3+mkizin+NI+Con+ThmPos+Pej+4	omakizinenymishan

3+mkizin+NI+Con+ThmPos+Pej+Loc	omakizinenymishing

3+mkizin+NI+Con+ThmPos+Pej+Pl	omakizinenymishan

3+mkizin+NI+Dim+ThmPos+Pej+4	omakizinensmishan

3+mkizin+NI+Dim+ThmPos+Pej+Loc	omakizinensmishing

3+mkizin+NI+Dim+ThmPos+Pej+Pl	omakizinensmishan

X+mkizin+NI+Con+ThmPos+Pej+4	imakizinenymishan

X+mkizin+NI+Con+ThmPos+Pej+Loc	imakizinenymishing

X+mkizin+NI+Con+ThmPos+Pej+Pl	imakizinenymishan

X+mkizin+NI+Dim+ThmPos+Pej+4	imakizinensmishan

X+mkizin+NI+Dim+ThmPos+Pej+Loc	imakizinensmishing

X+mkizin+NI+Dim+ThmPos+Pej+Pl	imakizinensmishan

1+mkizin+NI+Con+ThmPos+1+Pl+Prt	nimakizinenymnaaniban
1+mkizin+NI+Con+ThmPos+1+Pl+Prt	nimakizinenymnaaniba

1+mkizin+NI+Con+ThmPos+1+Pl+Voc+Pl	nimakizinenymnaany1dig

1+mkizin+NI+Dim+ThmPos+1+Pl+Prt	nimakizinensmnaaniban
1+mkizin+NI+Dim+ThmPos+1+Pl+Prt	nimakizinensmnaaniba

1+mkizin+NI+Dim+ThmPos+1+Pl+Voc+Pl	nimakizinensmnaany1dig

2+mkizin+NI+Con+ThmPos+1+Pl+Prt	gimakizinenymnaaniban
2+mkizin+NI+Con+ThmPos+1+Pl+Prt	gimakizinenymnaaniba

2+mkizin+NI+Con+ThmPos+1+Pl+Voc+Pl	gimakizinenymnaany1dig

2+mkizin+NI+Con+ThmPos+2+Pl+Prt	gimakizinenymwaaban
2+mkizin+NI+Con+ThmPos+2+Pl+Prt	gimakizinenymwaaba

2+mkizin+NI+Con+ThmPos+2+Pl+Voc+Pl	gimakizinenymwaadig

2+mkizin+NI+Dim+ThmPos+1+Pl+Prt	gimakizinensmnaaniban
2+mkizin+NI+Dim+ThmPos+1+Pl+Prt	gimakizinensmnaaniba

2+mkizin+NI+Dim+ThmPos+1+Pl+Voc+Pl	gimakizinensmnaany1dig

2+mkizin+NI+Dim+ThmPos+2+Pl+Prt	gimakizinensmwaaban
2+mkizin+NI+Dim+ThmPos+2+Pl+Prt	gimakizinensmwaaba

2+mkizin+NI+Dim+ThmPos+2+Pl+Voc+Pl	gimakizinensmwaadig

3+mkizin+NI+Con+ThmPos+2+Pl+Prt	omakizinenymwaaban
3+mkizin+NI+Con+ThmPos+2+Pl+Prt	omakizinenymwaaba

3+mkizin+NI+Con+ThmPos+2+Pl+Voc+Pl	omakizinenymwaadig

3+mkizin+NI+Con+ThmPos+3+4+Prt	omakizinenymniwiban
3+mkizin+NI+Con+ThmPos+3+4+Prt	omakizinenymniwiba
3+mkizin+NI+Con+ThmPos+3+4+Prt	omakizinenymniiban
3+mkizin+NI+Con+ThmPos+3+4+Prt	omakizinenymniiba

3+mkizin+NI+Con+ThmPos+3+4+Voc+Pl	omakizinenymniwdig

3+mkizin+NI+Dim+ThmPos+2+Pl+Prt	omakizinensmwaaban
3+mkizin+NI+Dim+ThmPos+2+Pl+Prt	omakizinensmwaaba

3+mkizin+NI+Dim+ThmPos+2+Pl+Voc+Pl	omakizinensmwaadig

3+mkizin+NI+Dim+ThmPos+3+4+Prt	omakizinensmniwiban
3+mkizin+NI+Dim+ThmPos+3+4+Prt	omakizinensmniwiba
3+mkizin+NI+Dim+ThmPos+3+4+Prt	omakizinensmniiban
3+mkizin+NI+Dim+ThmPos+3+4+Prt	omakizinensmniiba

3+mkizin+NI+Dim+ThmPos+3+4+Voc+Pl	omakizinensmniwdig

1+mkizin+NI+Con+ThmPos+1+Pl+4	nimakizinenymnaanin

1+mkizin+NI+Con+ThmPos+1+Pl+Loc	nimakizinenymnaaning

1+mkizin+NI+Con+ThmPos+1+Pl+Pl	nimakizinenymnaany1an

1+mkizin+NI+Dim+ThmPos+1+Pl+4	nimakizinensmnaanin

1+mkizin+NI+Dim+ThmPos+1+Pl+Loc	nimakizinensmnaaning

1+mkizin+NI+Dim+ThmPos+1+Pl+Pl	nimakizinensmnaany1an

2+mkizin+NI+Con+ThmPos+1+Pl+4	gimakizinenymnaanin

2+mkizin+NI+Con+ThmPos+1+Pl+Loc	gimakizinenymnaaning

2+mkizin+NI+Con+ThmPos+1+Pl+Pl	gimakizinenymnaany1an

2+mkizin+NI+Con+ThmPos+2+Pl+4	gimakizinenymwaan

2+mkizin+NI+Con+ThmPos+2+Pl+Loc	gimakizinenymwaang

2+mkizin+NI+Con+ThmPos+2+Pl+Pl	gimakizinenymwaaan

2+mkizin+NI+Dim+ThmPos+1+Pl+4	gimakizinensmnaanin

2+mkizin+NI+Dim+ThmPos+1+Pl+Loc	gimakizinensmnaaning

2+mkizin+NI+Dim+ThmPos+1+Pl+Pl	gimakizinensmnaany1an

2+mkizin+NI+Dim+ThmPos+2+Pl+4	gimakizinensmwaan

2+mkizin+NI+Dim+ThmPos+2+Pl+Loc	gimakizinensmwaang

2+mkizin+NI+Dim+ThmPos+2+Pl+Pl	gimakizinensmwaaan

3+mkizin+NI+Con+ThmPos+2+Pl+4	omakizinenymwaan

3+mkizin+NI+Con+ThmPos+2+Pl+Loc	omakizinenymwaang

3+mkizin+NI+Con+ThmPos+2+Pl+Pl	omakizinenymwaaan

3+mkizin+NI+Con+ThmPos+3+4+4	omakizinenymniwan

3+mkizin+NI+Con+ThmPos+3+4+Loc	omakizinenymniing

3+mkizin+NI+Con+ThmPos+3+4+Pl	omakizinenymniwan

3+mkizin+NI+Dim+ThmPos+2+Pl+4	omakizinensmwaan

3+mkizin+NI+Dim+ThmPos+2+Pl+Loc	omakizinensmwaang

3+mkizin+NI+Dim+ThmPos+2+Pl+Pl	omakizinensmwaaan

3+mkizin+NI+Dim+ThmPos+3+4+4	omakizinensmniwan

3+mkizin+NI+Dim+ThmPos+3+4+Loc	omakizinensmniing

3+mkizin+NI+Dim+ThmPos+3+4+Pl	omakizinensmniwan

1+mkizin+NI+Con+ThmPos+Prt+4	nimakizinenymibaniin

1+mkizin+NI+Con+ThmPos+Prt+Loc	nimakizinenymibaniing

1+mkizin+NI+Con+ThmPos+Prt+Pl	nimakizinenymibani1an

1+mkizin+NI+Dim+ThmPos+Prt+4	nimakizinensmibaniin

1+mkizin+NI+Dim+ThmPos+Prt+Loc	nimakizinensmibaniing

1+mkizin+NI+Dim+ThmPos+Prt+Pl	nimakizinensmibani1an

2+mkizin+NI+Con+ThmPos+Prt+4	gimakizinenymibaniin

2+mkizin+NI+Con+ThmPos+Prt+Loc	gimakizinenymibaniing

2+mkizin+NI+Con+ThmPos+Prt+Pl	gimakizinenymibani1an

2+mkizin+NI+Dim+ThmPos+Prt+4	gimakizinensmibaniin

2+mkizin+NI+Dim+ThmPos+Prt+Loc	gimakizinensmibaniing

2+mkizin+NI+Dim+ThmPos+Prt+Pl	gimakizinensmibani1an

3+mkizin+NI+Con+ThmPos+Prt+4	omakizinenymibaniin

3+mkizin+NI+Con+ThmPos+Prt+Loc	omakizinenymibaniing

3+mkizin+NI+Con+ThmPos+Prt+Pl	omakizinenymibani1an

3+mkizin+NI+Dim+ThmPos+Prt+4	omakizinensmibaniin

3+mkizin+NI+Dim+ThmPos+Prt+Loc	omakizinensmibaniing

3+mkizin+NI+Dim+ThmPos+Prt+Pl	omakizinensmibani1an

X+mkizin+NI+Con+ThmPos+Prt+4	imakizinenymibaniin

X+mkizin+NI+Con+ThmPos+Prt+Loc	imakizinenymibaniing

X+mkizin+NI+Con+ThmPos+Prt+Pl	imakizinenymibani1an

X+mkizin+NI+Dim+ThmPos+Prt+4	imakizinensmibaniin

X+mkizin+NI+Dim+ThmPos+Prt+Loc	imakizinensmibaniing

X+mkizin+NI+Dim+ThmPos+Prt+Pl	imakizinensmibani1an

1+mkizin+NI+Con+Pej+1+Pl+Prt	nimakizinenyishnaaniban
1+mkizin+NI+Con+Pej+1+Pl+Prt	nimakizinenyishnaaniba

1+mkizin+NI+Con+Pej+1+Pl+Voc+Pl	nimakizinenyishnaany1dig

1+mkizin+NI+Dim+Pej+1+Pl+Prt	nimakizinensishnaaniban
1+mkizin+NI+Dim+Pej+1+Pl+Prt	nimakizinensishnaaniba

1+mkizin+NI+Dim+Pej+1+Pl+Voc+Pl	nimakizinensishnaany1dig

2+mkizin+NI+Con+Pej+1+Pl+Prt	gimakizinenyishnaaniban
2+mkizin+NI+Con+Pej+1+Pl+Prt	gimakizinenyishnaaniba

2+mkizin+NI+Con+Pej+1+Pl+Voc+Pl	gimakizinenyishnaany1dig

2+mkizin+NI+Con+Pej+2+Pl+Prt	gimakizinenyishwaaban
2+mkizin+NI+Con+Pej+2+Pl+Prt	gimakizinenyishwaaba

2+mkizin+NI+Con+Pej+2+Pl+Voc+Pl	gimakizinenyishwaadig

2+mkizin+NI+Dim+Pej+1+Pl+Prt	gimakizinensishnaaniban
2+mkizin+NI+Dim+Pej+1+Pl+Prt	gimakizinensishnaaniba

2+mkizin+NI+Dim+Pej+1+Pl+Voc+Pl	gimakizinensishnaany1dig

2+mkizin+NI+Dim+Pej+2+Pl+Prt	gimakizinensishwaaban
2+mkizin+NI+Dim+Pej+2+Pl+Prt	gimakizinensishwaaba

2+mkizin+NI+Dim+Pej+2+Pl+Voc+Pl	gimakizinensishwaadig

3+mkizin+NI+Con+Pej+2+Pl+Prt	omakizinenyishwaaban
3+mkizin+NI+Con+Pej+2+Pl+Prt	omakizinenyishwaaba

3+mkizin+NI+Con+Pej+2+Pl+Voc+Pl	omakizinenyishwaadig

3+mkizin+NI+Con+Pej+3+4+Prt	omakizinenyishniwiban
3+mkizin+NI+Con+Pej+3+4+Prt	omakizinenyishniwiba
3+mkizin+NI+Con+Pej+3+4+Prt	omakizinenyishniiban
3+mkizin+NI+Con+Pej+3+4+Prt	omakizinenyishniiba

3+mkizin+NI+Con+Pej+3+4+Voc+Pl	omakizinenyishniwdig

3+mkizin+NI+Dim+Pej+2+Pl+Prt	omakizinensishwaaban
3+mkizin+NI+Dim+Pej+2+Pl+Prt	omakizinensishwaaba

3+mkizin+NI+Dim+Pej+2+Pl+Voc+Pl	omakizinensishwaadig

3+mkizin+NI+Dim+Pej+3+4+Prt	omakizinensishniwiban
3+mkizin+NI+Dim+Pej+3+4+Prt	omakizinensishniwiba
3+mkizin+NI+Dim+Pej+3+4+Prt	omakizinensishniiban
3+mkizin+NI+Dim+Pej+3+4+Prt	omakizinensishniiba

3+mkizin+NI+Dim+Pej+3+4+Voc+Pl	omakizinensishniwdig

1+mkizin+NI+Con+Pej+1+Pl+4	nimakizinenyishnaanin

1+mkizin+NI+Con+Pej+1+Pl+Loc	nimakizinenyishnaaning

1+mkizin+NI+Con+Pej+1+Pl+Pl	nimakizinenyishnaany1an

1+mkizin+NI+Dim+Pej+1+Pl+4	nimakizinensishnaanin

1+mkizin+NI+Dim+Pej+1+Pl+Loc	nimakizinensishnaaning

1+mkizin+NI+Dim+Pej+1+Pl+Pl	nimakizinensishnaany1an

2+mkizin+NI+Con+Pej+1+Pl+4	gimakizinenyishnaanin

2+mkizin+NI+Con+Pej+1+Pl+Loc	gimakizinenyishnaaning

2+mkizin+NI+Con+Pej+1+Pl+Pl	gimakizinenyishnaany1an

2+mkizin+NI+Con+Pej+2+Pl+4	gimakizinenyishwaan

2+mkizin+NI+Con+Pej+2+Pl+Loc	gimakizinenyishwaang

2+mkizin+NI+Con+Pej+2+Pl+Pl	gimakizinenyishwaaan

2+mkizin+NI+Dim+Pej+1+Pl+4	gimakizinensishnaanin

2+mkizin+NI+Dim+Pej+1+Pl+Loc	gimakizinensishnaaning

2+mkizin+NI+Dim+Pej+1+Pl+Pl	gimakizinensishnaany1an

2+mkizin+NI+Dim+Pej+2+Pl+4	gimakizinensishwaan

