mkizin+NI	makizin
2+mkizin+NI+Pej+1+Pl	gimakizinshnaan
2+mkizin+NI+Pej+1+Pl	gimakizinshnaa

2+mkizin+NI+Pej+2+Pl	gimakizinshwaa

3+mkizin+NI+Pej+2+Pl	omakizinshwaa

3+mkizin+NI+Pej+3+4	omakizinshniw

1+mkizin+NI+Pej+Prt	nimakizinshiban
1+mkizin+NI+Pej+Prt	nimakizinshiba

1+mkizin+NI+Pej+Voc+Pl	nimakizinshdig

2+mkizin+NI+Pej+Prt	gimakizinshiban
2+mkizin+NI+Pej+Prt	gimakizinshiba

2+mkizin+NI+Pej+Voc+Pl	gimakizinshdig

3+mkizin+NI+Pej+Prt	omakizinshiban
3+mkizin+NI+Pej+Prt	omakizinshiba

3+mkizin+NI+Pej+Voc+Pl	omakizinshdig

X+mkizin+NI+Pej+Prt	imakizinshiban
X+mkizin+NI+Pej+Prt	imakizinshiba

X+mkizin+NI+Pej+Voc+Pl	imakizinshdig

1+mkizin+NI+Pej+4	nimakizinshan

1+mkizin+NI+Pej+Loc	nimakizinshing

1+mkizin+NI+Pej+Pl	nimakizinshan

2+mkizin+NI+Pej+4	gimakizinshan

2+mkizin+NI+Pej+Loc	gimakizinshing

2+mkizin+NI+Pej+Pl	gimakizinshan

3+mkizin+NI+Pej+4	omakizinshan

3+mkizin+NI+Pej+Loc	omakizinshing

3+mkizin+NI+Pej+Pl	omakizinshan

X+mkizin+NI+Pej+4	imakizinshan

X+mkizin+NI+Pej+Loc	imakizinshing

X+mkizin+NI+Pej+Pl	imakizinshan

1+mkizin+NI+1+Pl+Prt	nimakizinnaaniban
1+mkizin+NI+1+Pl+Prt	nimakizinnaaniba

1+mkizin+NI+1+Pl+Voc+Pl	nimakizinnaany1dig

2+mkizin+NI+1+Pl+Prt	gimakizinnaaniban
2+mkizin+NI+1+Pl+Prt	gimakizinnaaniba

2+mkizin+NI+1+Pl+Voc+Pl	gimakizinnaany1dig

2+mkizin+NI+2+Pl+Prt	gimakizinwaaban
2+mkizin+NI+2+Pl+Prt	gimakizinwaaba

2+mkizin+NI+2+Pl+Voc+Pl	gimakizinwaadig

3+mkizin+NI+2+Pl+Prt	omakizinwaaban
