Paradigm,Order,Class,Lemma,Stem,Subject,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,
VII,Ind,d,zagad,zagad,0SgProx,Dub,Neg,zagasinodog,<<zaga>>sinodog,JDN-PC,,,
VII,Ind,d,zagad,zagad,0SgProx,Dub,Pos,zagadodog,<<zagad>>odog,JDN-PC,,,
VII,Ind,d,zagad,zagad,0SgProx,Dub+Prt,Neg,zagasinoogoban,<<zaga>>sinoogoban,JDN-PC,,,
VII,Ind,d,zagad,zagad,0SgProx,Dub+Prt,Pos,zagadogoban,<<zagad>>ogoban,JDN-PC,,,
VII,Ind,d,zagad,zagad,0SgProx,Neu,Neg,zagasinoon,<<zaga>>sinoon,JDN-PC,,,
VII,Ind,d,zagad,zagad,0SgProx,Neu,Pos,zagad,<<zagad>>,JDN-PC,,,
VII,Ind,d,zagad,zagad,0SgProx,Prt,Neg,zagasinooban,<<zaga>>sinooban,JDN-PC,,,
VII,Ind,d,zagad,zagad,0SgProx,Prt,Pos,zagadooban,<<zagad>>ooban,JDN-PC,,,
VII,Ind,e,ate,ate,0PlObv,Dub,Neg,atesininiwidogen,<<ate>>sininiwidogen,JDN-PC,,,
VII,Ind,e,ate,ate,0PlObv,Dub,Pos,ateniwidogen,<<ate>>niwidogen,JDN-PC,,,
VII,Ind,e,ate,ate,0PlObv,Dub+Prt,Neg,atesininigobaniin,<<ate>>sininigobaniin,JDN-PC,atesininigobanen,<<ate>>sininigobanen,JDN-PC
VII,Ind,e,ate,ate,0PlObv,Dub+Prt,Pos,atenigobaniin,<<ate>>nigobaniin,JDN-PC,atenigobanen,<<ate>>nigobanen,JDN-PC
VII,Ind,e,ate,ate,0PlObv,Neu,Neg,atesininiwan,<<ate>>sininiwan,JDN-PC,,,
VII,Ind,e,ate,ate,0PlObv,Neu,Pos,ateniwan,<<ate>>niwan,JDN-PC,,,
VII,Ind,e,ate,ate,0PlObv,Prt,Neg,atesininiibaniin,<<ate>>sininiibaniin,JDN-PC,atesininiibanen,<<ate>>sininiibanen,JDN-PC
VII,Ind,e,ate,ate,0PlObv,Prt,Pos,ateniibaniin,<<ate>>niibaniin,JDN-PC,ateniibanen,<<ate>>niibanen,JDN-PC
VII,Ind,e,ate,ate,0PlProx,Dub,Neg,atesinodogen,<<ate>>sinodogen,JDN-PC,,,
VII,Ind,e,ate,ate,0PlProx,Dub,Pos,atedogen,<<ate>>dogen,JDN-PC,,,
VII,Ind,e,ate,ate,0PlProx,Dub+Prt,Neg,atesinoogobaniin,<<ate>>sinoogobaniin,JDN-PC,atesinoogobanen,<<ate>>sinoogobanen,JDN-PC
VII,Ind,e,ate,ate,0PlProx,Dub+Prt,Pos,ategobaniin,<<ate>>gobaniin,JDN-PC,ategobanen,<<ate>>gobanen,JDN-PC
VII,Ind,e,ate,ate,0PlProx,Neu,Neg,atesinoon,<<ate>>sinoon,JDN-PC,,,
VII,Ind,e,ate,ate,0PlProx,Neu,Pos,atewan,<<ate>>wan,JDN-PC,,,
VII,Ind,e,ate,ate,0PlProx,Prt,Neg,atesinoobaniin,<<ate>>sinoobaniin,JDN-PC,atesinoobanen,<<ate>>sinoobanen,JDN-PC
VII,Ind,e,ate,ate,0PlProx,Prt,Pos,atebaniin,<<ate>>baniin,JDN-PC,atebanen,<<ate>>banen,JDN-PC
VII,Ind,e,ate,ate,0SgObv,Dub,Neg,atesininiwidog,<<ate>>sininiwidog,JDN-PC,,,
VII,Ind,e,ate,ate,0SgObv,Dub,Pos,ateniwidog,<<ate>>niwidog,JDN-PC,,,
VII,Ind,e,ate,ate,0SgObv,Dub+Prt,Neg,atesininigoban,<<ate>>sininigoban,JDN-PC,,,
VII,Ind,e,ate,ate,0SgObv,Dub+Prt,Pos,atenigoban,<<ate>>nigoban,JDN-PC,,,
VII,Ind,e,ate,ate,0SgObv,Neu,Neg,atesinini,<<ate>>sinini,JDN-PC,,,
VII,Ind,e,ate,ate,0SgObv,Neu,Pos,ateni,<<ate>>ni,JDN-PC,,,
VII,Ind,e,ate,ate,0SgObv,Prt,Neg,atesininiiban,<<ate>>sininiiban,JDN-PC,,,
VII,Ind,e,ate,ate,0SgObv,Prt,Pos,ateniiban,<<ate>>niiban,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Dub,Neg,atesinodog,<<ate>>sinodog,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Dub,Pos,atedog,<<ate>>dog,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Dub+Prt,Neg,atesinoogoban,<<ate>>sinoogoban,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Dub+Prt,Pos,ategoban,<<ate>>goban,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Neu,Neg,atesinoon,<<ate>>sinoon,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Neu,Pos,ate,<<ate>>,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Prt,Neg,atesinooban,<<ate>>sinooban,JDN-PC,,,
VII,Ind,e,ate,ate,0SgProx,Prt,Pos,ateban,<<ate>>ban,JDN-PC,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Dub,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Dub,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Neu,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Neu,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlObv,Prt,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Dub,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Dub,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Neu,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Neu,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0PlProx,Prt,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Dub,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Dub,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Neu,Neg,dakaagamisinini,<<dakaagami>>sinini,JDN-PC,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Neu,Pos,dakaagaminini,<<dakaagami>>nini,JDN-PC,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgObv,Prt,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Dub,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Dub,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Neu,Neg,dakaagamisinoon,<<dakaagami>>sinoon,JDN-PC,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Neu,Pos,dakaagamin,<<dakaagami>>n,JDN-PC,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Prt,Neg,MISSING,,,,,
VII,Ind,i,dakaagami,dakaagami,0SgProx,Prt,Pos,MISSING,,,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Dub,Neg,gonzaabiisininiwidogen,<<gonzaabii>>sininiwidogen,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Dub,Pos,gonzaabiiniwidogen,<<gonzaabii>>niwidogen,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Dub+Prt,Neg,gonzaabiisininigobaniin,<<gonzaabii>>sininigobaniin,JDN-PC,gonzaabiisininigobanen,<<gonzaabii>>sininigobanen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Dub+Prt,Pos,gonzaabiinigobaniin,<<gonzaabii>>nigobaniin,JDN-PC,gonzaabiinigobanen,<<gonzaabii>>nigobanen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Neu,Neg,gonzaabiisininiwan,<<gonzaabii>>sininiwan,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Neu,Pos,gonzaabiiniwan,<<gonzaabii>>niwan,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Prt,Neg,gonzaabiisininiibaniin,<<gonzaabii>>sininiibaniin,JDN-PC,gonzaabiisininiibanen,<<gonzaabii>>sininiibanen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0PlObv,Prt,Pos,gonzaabiiniibaniin,<<gonzaabii>>niibaniin,JDN-PC,gonzaabiiniibanen,<<gonzaabii>>niibanen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Dub,Neg,gonzaabiisinodogen,<<gonzaabii>>sinodogen,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Dub,Pos,gonzaabiidogen,<<gonzaabii>>dogen,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Dub+Prt,Neg,gonzaabiisinoogobaniin,<<gonzaabii>>sinoogobaniin,JDN-PC,gonzaabiisinoogobanen,<<gonzaabii>>sinoogobanen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Dub+Prt,Pos,gonzaabiigobaniin,<<gonzaabii>>gobaniin,JDN-PC,gonzaabiigobanen,<<gonzaabii>>gobanen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Neu,Neg,gonzaabiisinoon,<<gonzaabii>>sinoon,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Neu,Pos,gonzaabiiwan,<<gonzaabii>>wan,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Prt,Neg,ginzaabiisinoobaniin,<<ginzaabii>>sinoobaniin,JDN-PC,ginzaabiisinoobanen,<<ginzaabii>>sinoobanen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0PlProx,Prt,Pos,gonzaabiibaniin,<<gonzaabii>>baniin,JDN-PC,gonzaabiibanen,<<gonzaabii>>banen,JDN-PC
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Dub,Neg,gonzaabiisininiwidog,<<gonzaabii>>sininiwidog,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Dub,Pos,gonzaabiiniwidog,<<gonzaabii>>niwidog,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Dub+Prt,Neg,gonzaabiisininigoban,<<gonzaabii>>sininigoban,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Dub+Prt,Pos,gonzaabiinigoban,<<gonzaabii>>nigoban,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Neu,Neg,gonzaabiisinini,<<gonzaabii>>sinini,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Neu,Pos,gonzaabiini,<<gonzaabii>>ni,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Prt,Neg,gonzaabiisininiiban,<<gonzaabii>>sininiiban,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgObv,Prt,Pos,gonzaabiiniiban,<<gonzaabii>>niiban,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Dub,Neg,gonzaabiisinodog,<<gonzaabii>>sinodog,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Dub,Pos,gonzaabiidog,<<gonzaabii>>dog,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Dub+Prt,Neg,gonzaabiisinoogoban,<<gonzaabii>>sinoogoban,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Dub+Prt,Pos,gonzaabiigoban,<<gonzaabii>>goban,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Neu,Neg,gonzaabiisinoon,<<gonzaabii>>sinoon,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Neu,Pos,gonzaabii,<<gonzaabii>>,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Prt,Neg,gonzaabiisinooban,<<gonzaabii>>sinooban,JDN-PC,,,
VII,Ind,ii,gonzaabii,gonzaabii,0SgProx,Prt,Pos,gonzaabiiban,<<gonzaabii>>ban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlObv,Dub,Neg,atemagasininiwidogen,<<atemaga>>sininiwidogen,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlObv,Dub,Pos,atemagadiniwidogen,<<atemagad>>iniwidogen,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlObv,Dub+Prt,Neg,atemagasininigobaniin,<<atemaga>>sininigobaniin,JDN-PC,atemagasininigobanen,<<atemaga>>sininigobanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0PlObv,Dub+Prt,Pos,atemagadinigobaniin,<<atemagad>>inigobaniin,JDN-PC,atemagadinigobanen,<<atemagad>>inigobanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0PlObv,Neu,Neg,atemagasininiwan,<<atemaga>>sininiwan,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlObv,Neu,Pos,atemagadiniwan,<<atemagad>>iniwan,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlObv,Prt,Neg,atemagasininiibaniin,<<atemaga>>sininiibaniin,JDN-PC,atemagasininiibanen,<<atemaga>>sininiibanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0PlObv,Prt,Pos,atemagadiniibaniin,<<atemagad>>iniibaniin,JDN-PC,atemagadiniibanen,<<atemagad>>iniibanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0PlProx,Dub,Neg,atemagasinodogen,<<atemaga>>sinodogen,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlProx,Dub,Pos,atemagadodogen,<<atemagad>>odogen,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlProx,Dub+Prt,Neg,atemagasinoogobaniin,<<atemaga>>sinoogobaniin,JDN-PC,atemagasinoogobanen,<<atemaga>>sinoogobanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0PlProx,Dub+Prt,Pos,atemagadogobaniin,<<atemagad>>ogobaniin,JDN-PC,atemagadogobanen,<<atemagad>>ogobanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0PlProx,Neu,Neg,atemagasinoon,<<atemaga>>sinoon,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlProx,Neu,Pos,atemagadoon,<<atemagad>>oon,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0PlProx,Prt,Neg,atemagasinoobaniin,<<atemaga>>sinoobaniin,JDN-PC,atemagasinoobanen,<<atemaga>>sinoobanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0PlProx,Prt,Pos,atemagadoobaniin,<<atemagad>>oobaniin,JDN-PC,atemagadoobanen,<<atemagad>>oobanen,JDN-PC
VII,Ind,magad,atemagad,atemagad,0SgObv,Dub,Neg,atemagasininiwidog,<<atemaga>>sininiwidog,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgObv,Dub,Pos,atemagadiniwidog,<<atemagad>>iniwidog,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgObv,Dub+Prt,Neg,atemagasininigoban,<<atemaga>>sininigoban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgObv,Dub+Prt,Pos,atemagadinigoban,<<atemagad>>inigoban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgObv,Neu,Neg,atemagasinini,<<atemaga>>sinini,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgObv,Neu,Pos,atemagadini,<<atemagad>>ini,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgObv,Prt,Neg,atemagasininiiban,<<atemaga>>sininiiban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgObv,Prt,Pos,atemagadiniiban,<<atemagad>>iniiban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Dub,Neg,atemagasinodog,<<atemaga>>sinodog,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Dub,Pos,atemagadodog,<<atemagad>>odog,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Dub+Prt,Neg,atemagasinoogoban,<<atemaga>>sinoogoban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Dub+Prt,Pos,atemagadogoban,<<atemagad>>ogoban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Neu,Neg,atemagasinoon,<<atemaga>>sinoon,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Neu,Pos,atemagad,<<atemagad>>,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Prt,Neg,atemagasinooban,<<atemaga>>sinooban,JDN-PC,,,
VII,Ind,magad,atemagad,atemagad,0SgProx,Prt,Pos,atemagadooban,<<atemagad>>ooban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlObv,Dub,Neg,bangisinzininiwidogen,<<bangisin>>zininiwidogen,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlObv,Dub,Pos,bangisininiwidogen,<<bangisin>>iniwidogen,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlObv,Dub+Prt,Neg,bangisinzininigobaniin,<<bangisin>>zininigobaniin,JDN-PC,bangisinzininigobanen,<<bangisin>>zininigobanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0PlObv,Dub+Prt,Pos,bangisininigobaniin,<<bangisin>>inigobaniin,JDN-PC,bangisininigobanen,<<bangisin>>inigobanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0PlObv,Neu,Neg,bangisinzininiwan,<<bangisin>>zininiwan,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlObv,Neu,Pos,bangisininiwan,<<bangisin>>iniwan,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlObv,Prt,Neg,bangisinzininiibaniin,<<bangisin>>zininiibaniin,JDN-PC,bangisinzininiibanen,<<bangisin>>zininiibanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0PlObv,Prt,Pos,bangisininiibaniin,<<bangisin>>iniibaniin,JDN-PC,bangisininiibanen,<<bangisin>>iniibanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0PlProx,Dub,Neg,bangisinzinodogen,<<bangisin>>zinodogen,JDN-PC,,,
