Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1,Form2
VTA,Ind,Regular,waabam,waabam,Excl,2Sg,Dub,Pos,gi<<waabam>>igoonaadog,
VTA,Ind,Regular,waabam,waabam,Excl,3PlProx,Dub,Neg,ni<<waabam>>aasiwaanaadogenag,
VTA,Ind,Regular,waabam,waabam,Excl,3PlProx,Dub,Pos,ni<<waabam>>aanaadogenag,
VTA,Ind,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Dub,Neg,ni<<waabam>>imaasiwaanaadogenan,
VTA,Ind,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Dub,Pos,ni<<waabam>>imaanaadogenan,
VTA,Ind,Regular,waabam,waabam,Excl,3SgProx,Dub,Neg,ni<<waabam>>aasiwaanaadog,
VTA,Ind,Regular,waabam,waabam,Excl,3SgProx,Dub,Pos,ni<<waabam>>aanaadog,
VTA,Ind,Regular,waabam,waabam,Incl,3PlProx,Dub,Neg,gi<<waabam>>aasiwaanaadogenag,
VTA,Ind,Regular,waabam,waabam,Incl,3PlProx,Dub,Pos,gi<<waabam>>aanaadogenag,
VTA,Ind,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Dub,Neg,gi<<waabam>>imaasiwaanaadogenan,
VTA,Ind,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Dub,Pos,gi<<waabam>>imaanaadogenan,
VTA,Ind,Regular,waabam,waabam,Incl,3SgProx,Dub,Neg,gi<<waabam>>aasiwaanaadog,
VTA,Ind,Regular,waabam,waabam,Incl,3SgProx,Dub,Pos,gi<<waabam>>aanaadog,
VTA,Ind,Regular,waabam,waabam,X,1Sg,Dub,Neg,ni<<waabam>>igoosiinaadog,
VTA,Ind,Regular,waabam,waabam,X,1Sg,Dub,Pos,ni<<waabam>>igoonaadog,
VTA,Ind,Regular,waabam,waabam,X,2Pl,Dub,Neg,gi<<waabam>>igoosiimwaadog,
VTA,Ind,Regular,waabam,waabam,X,2Pl,Dub,Pos,gi<<waabam>>igoomwaadog,
VTA,Ind,Regular,waabam,waabam,X,2Sg,Dub,Neg,gi<<waabam>>igoosiinaadog,
VTA,Ind,Regular,waabam,waabam,X,2Sg,Dub,Pos,gi<<waabam>>igoonaadog,
VTA,Ind,Regular,waabam,waabam,X,3PlProx,Dub,Neg,<<waabam>>aasiidogenag,
VTA,Ind,Regular,waabam,waabam,X,3PlProx,Dub,Pos,<<waabam>>aadogenag,
VTA,Ind,Regular,waabam,waabam,X,3SgObv/3PlObv,Dub,Neg,<<waabam>>imaasiidogenan,
VTA,Ind,Regular,waabam,waabam,X,3SgObv/3PlObv,Dub,Pos,<<waabam>>imaadogenan,
VTA,Ind,Regular,waabam,waabam,X,3SgProx,Dub,Neg,<<waabam>>aasiidog,
VTA,Ind,Regular,waabam,waabam,X,3SgProx,Dub,Pos,<<waabam>>aadog,
VTA,Ind,Regular,waabam,waabam,X,Excl,Dub,Neg,ni<<waabam>>igoosiiminaadog,
VTA,Ind,Regular,waabam,waabam,X,Excl,Dub,Pos,ni<<waabam>>igoominaadog,
VTA,Ind,Regular,waabam,waabam,X,Incl,Dub,Neg,gi<<waabam>>igoosiiminaadog,
VTA,Ind,Regular,waabam,waabam,X,Incl,Dub,Pos,gi<<waabam>>igoominaadog,
VTA,Ind,Regular,waabam,waabam,0Pl,1Sg,Neu,Neg,ni<<waabam>>igosiinan,
VTA,Ind,Regular,waabam,waabam,0Pl,1Sg,Neu,Pos,ni<<waabam>>igonan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Pl,Neu,Neg,gi<<waabam>>igosiinaawaan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Pl,Neu,Pos,gi<<waabam>>igonaawaan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Sg,Neu,Neg,gi<<waabam>>igosiinan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Sg,Neu,Pos,gi<<waabam>>igonan,
VTA,Ind,Regular,waabam,waabam,0Pl,3PlProx,Neu,Neg,o<<waabam>>igosiinaawaan,
VTA,Ind,Regular,waabam,waabam,0Pl,3PlProx,Neu,Pos,o<<waabam>>igonaawaan,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgObv/3PlObv,Neu,Neg,o<<waabam>>igosiinini,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgObv/3PlObv,Neu,Pos,o<<waabam>>igonini,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgProx,Neu,Neg,o<<waabam>>igosiinan,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgProx,Neu,Pos,o<<waabam>>igonan,
VTA,Ind,Regular,waabam,waabam,0Pl,Excl,Neu,Neg,ni<<waabam>>igosiimin,
VTA,Ind,Regular,waabam,waabam,0Pl,Excl,Neu,Pos,ni<<waabam>>igomin,
VTA,Ind,Regular,waabam,waabam,0Pl,Incl,Neu,Neg,gi<<waabam>>igosiimin,
VTA,Ind,Regular,waabam,waabam,0Pl,Incl,Neu,Pos,gi<<waabam>>igomin,
VTA,Ind,Regular,waabam,waabam,0Sg,1Sg,Neu,Neg,ni<<waabam>>igosiin,
VTA,Ind,Regular,waabam,waabam,0Sg,1Sg,Neu,Pos,ni<<waabam>>igon,
VTA,Ind,Regular,waabam,waabam,0Sg,2Pl,Neu,Neg,gi<<waabam>>igosiinaawaa,
VTA,Ind,Regular,waabam,waabam,0Sg,2Pl,Neu,Pos,gi<<waabam>>igonaawaa,
VTA,Ind,Regular,waabam,waabam,0Sg,2Sg,Neu,Neg,gi<<waabam>>igosiin,
VTA,Ind,Regular,waabam,waabam,0Sg,2Sg,Neu,Pos,gi<<waabam>>igon,
VTA,Ind,Regular,waabam,waabam,0Sg,3PlProx,Neu,Neg,o<<waabam>>igosiinaawaa,
VTA,Ind,Regular,waabam,waabam,0Sg,3PlProx,Neu,Pos,o<<waabam>>igonaawaa,
VTA,Ind,Regular,waabam,waabam,0Sg,3SgObv/3PlObv,Neu,Neg,o<<waabam>>igosiinini,
VTA,Ind,Regular,waabam,waabam,0Sg,3SgObv/3PlObv,Neu,Pos,o<<waabam>>igonini,
VTA,Ind,Regular,waabam,waabam,0Sg,3SgProx,Neu,Neg,o<<waabam>>igosiin,
VTA,Ind,Regular,waabam,waabam,0Sg,3SgProx,Neu,Pos,o<<waabam>>igon,
VTA,Ind,Regular,waabam,waabam,0Sg,Excl,Neu,Neg,ni<<waabam>>igosiimin,
VTA,Ind,Regular,waabam,waabam,0Sg,Excl,Neu,Pos,ni<<waabam>>igomin,
VTA,Ind,Regular,waabam,waabam,0Sg,Incl,Neu,Neg,gi<<waabam>>igosiimin,
VTA,Ind,Regular,waabam,waabam,0Sg,Incl,Neu,Pos,gi<<waabam>>igomin,
VTA,Ind,Regular,waabam,waabam,1Sg,2Pl,Neu,Neg,gi<<waabam>>isinooninim,
VTA,Ind,Regular,waabam,waabam,1Sg,2Pl,Neu,Pos,gi<<waabam>>ininim,
VTA,Ind,Regular,waabam,waabam,1Sg,2Sg,Neu,Neg,gi<<waabam>>isinoon,
VTA,Ind,Regular,waabam,waabam,1Sg,2Sg,Neu,Pos,gi<<waabam>>in,
VTA,Ind,Regular,waabam,waabam,1Sg,3PlProx,Neu,Neg,ni<<waabam>>aasiig,
VTA,Ind,Regular,waabam,waabam,1Sg,3PlProx,Neu,Pos,ni<<waabam>>aag,
VTA,Ind,Regular,waabam,waabam,1Sg,3SgObv/3PlObv,Neu,Neg,ni<<waabam>>imaasiin,
VTA,Ind,Regular,waabam,waabam,1Sg,3SgObv/3PlObv,Neu,Pos,ni<<waabam>>imaan,
VTA,Ind,Regular,waabam,waabam,1Sg,3SgProx,Neu,Neg,ni<<waabam>>aasiin,
VTA,Ind,Regular,waabam,waabam,1Sg,3SgProx,Neu,Pos,ni<<waabam>>aa,
VTA,Ind,Regular,waabam,waabam,2Pl,1Sg,Neu,Neg,gi<<waabam>>isiim,
VTA,Ind,Regular,waabam,waabam,2Pl,1Sg,Neu,Pos,gi<<waabam>>im,
VTA,Ind,Regular,waabam,waabam,2Pl,3PlProx,Neu,Neg,gi<<waabam>>aasiwaawaag,
VTA,Ind,Regular,waabam,waabam,2Pl,3PlProx,Neu,Pos,gi<<waabam>>aawaag,
VTA,Ind,Regular,waabam,waabam,2Pl,3SgObv/3PlObv,Neu,Neg,gi<<waabam>>imaasiwaawaan,
VTA,Ind,Regular,waabam,waabam,2Pl,3SgObv/3PlObv,Neu,Pos,gi<<waabam>>imaawaan,
VTA,Ind,Regular,waabam,waabam,2Pl,3SgProx,Neu,Neg,gi<<waabam>>aasiwaawaa,
VTA,Ind,Regular,waabam,waabam,2Pl,3SgProx,Neu,Pos,gi<<waabam>>aawaa,
VTA,Ind,Regular,waabam,waabam,2Pl,Excl,Neu,Neg,gi<<waabam>>isiimin,
VTA,Ind,Regular,waabam,waabam,2Pl,Excl,Neu,Pos,gi<<waabam>>imin,
VTA,Ind,Regular,waabam,waabam,2Sg,1Sg,Neu,Neg,gi<<waabam>>isiin,
VTA,Ind,Regular,waabam,waabam,2Sg,1Sg,Neu,Pos,gi<<waabam>>,
VTA,Ind,Regular,waabam,waabam,2Sg,3PlProx,Neu,Neg,gi<<waabam>>aasiig,
VTA,Ind,Regular,waabam,waabam,2Sg,3PlProx,Neu,Pos,gi<<waabam>>aag,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Neu,Neg,gi<<waabam>>imaasiin,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Neu,Pos,gi<<waabam>>imaan,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgProx,Neu,Neg,gi<<waabam>>aasiin,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgProx,Neu,Pos,gi<<waabam>>aa,
VTA,Ind,Regular,waabam,waabam,2Sg,Excl,Neu,Neg,gi<<waabam>>isiimin,
VTA,Ind,Regular,waabam,waabam,2Sg,Excl,Neu,Pos,gi<<waabam>>imin,
VTA,Ind,Regular,waabam,waabam,3PlProx,1Sg,Neu,Neg,ni<<waabam>>igosiig,
VTA,Ind,Regular,waabam,waabam,3PlProx,1Sg,Neu,Pos,ni<<waabam>>igoog,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Pl,Neu,Neg,gi<<waabam>>igosiiwaag,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Pl,Neu,Pos,gi<<waabam>>igowaag,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Sg,Neu,Neg,gi<<waabam>>igosiig,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Sg,Neu,Pos,gi<<waabam>>igoog,
VTA,Ind,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Neu,Neg,o<<waabam>>aasiwaawaan,
VTA,Ind,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Neu,Pos,o<<waabam>>aawaan,
VTA,Ind,Regular,waabam,waabam,3PlProx,Excl,Neu,Neg,ni<<waabam>>igosiinaanig,
VTA,Ind,Regular,waabam,waabam,3PlProx,Excl,Neu,Pos,ni<<waabam>>igonaanig,
VTA,Ind,Regular,waabam,waabam,3PlProx,Incl,Neu,Neg,gi<<waabam>>igosiinaanig,
VTA,Ind,Regular,waabam,waabam,3PlProx,Incl,Neu,Pos,gi<<waabam>>igonaanig,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Neu,Neg,o<<waabam>>igosiiwaan,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Neu,Pos,o<<waabam>>igowaan,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Neu,Neg,o<<waabam>>igosiin,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Neu,Pos,o<<waabam>>igoon,
VTA,Ind,Regular,waabam,waabam,3SgProx,1Sg,Neu,Neg,ni<<waabam>>igosiin,
VTA,Ind,Regular,waabam,waabam,3SgProx,1Sg,Neu,Pos,ni<<waabam>>ig,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Pl,Neu,Neg,gi<<waabam>>igosiiwaa,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Pl,Neu,Pos,gi<<waabam>>igowaa,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Sg,Neu,Neg,gi<<waabam>>igosiin,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Sg,Neu,Pos,gi<<waabam>>ig,
VTA,Ind,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Neu,Neg,o<<waabam>>aasiin,
VTA,Ind,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Neu,Pos,o<<waabam>>aan,
VTA,Ind,Regular,waabam,waabam,3SgProx,Excl,Neu,Neg,ni<<waabam>>igosiinaan,
VTA,Ind,Regular,waabam,waabam,3SgProx,Excl,Neu,Pos,ni<<waabam>>igonaan,
VTA,Ind,Regular,waabam,waabam,3SgProx,Incl,Neu,Neg,gi<<waabam>>igosiinaan,
VTA,Ind,Regular,waabam,waabam,3SgProx,Incl,Neu,Pos,gi<<waabam>>igonaan,
