Paradigm,Order,Class,Lemma,Stem,Subject,Mode,Negation,Form1,Form1Split
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Dub+Prt,Pos,minongwaamowegibanen,<<minongwaam>>owegibanen
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Neu,Neg,minongwaanziweg,<<minongwaan>>ziweg
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Neu,Pos,minongwaameg,<<minongwaam>>eg
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Prt,Neg,minongwaanziwegiban,<<minongwaan>>ziwegiban
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Prt,Pos,minongwaamegiban,<<minongwaam>>egiban
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Dub,Neg,minongwaanziiwanen,<<minongwaan>>ziiwanen
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Dub,Pos,minongwaamowanen,<<minongwaam>>owanen
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Dub+Prt,Neg,minongwaanziiwambanen,<<minongwaan>>ziiwambanen
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Dub+Prt,Pos,minongwaamowambanen,<<minongwaam>>owambanen
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Neu,Neg,minongwaanziwan,<<minongwaan>>ziwan
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Neu,Pos,minongwaaman,<<minongwaam>>an
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Prt,Neg,minongwaanziwamban,<<minongwaan>>ziwamban
VAI,Cnj,m,minongwaam,minongwaam,2Sg,Prt,Pos,minongwaamamban,<<minongwaam>>amban
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Dub,Neg,minongwaanziinigwen,<<minongwaan>>ziinigwen
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Dub,Pos,minongwaaminigwen,<<minongwaam>>inigwen
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Dub+Prt,Neg,minongwaanziinigobanen,<<minongwaan>>ziinigobanen
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Dub+Prt,Pos,minongwaaminigobanen,<<minongwaam>>inigobanen
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Neu,Neg,minongwaanzinig,<<minongwaan>>zinig
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Neu,Pos,minongwaaminid,<<minongwaam>>inid
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Prt,Neg,minongwaanzinigoban,<<minongwaan>>zinigoban
VAI,Cnj,m,minongwaam,minongwaam,3PlObv,Prt,Pos,minongwaaminipan,<<minongwaam>>inipan
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Dub,Neg,minongwaanziiwaagwen,<<minongwaan>>ziiwaagwen
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Dub,Pos,minongwaamowaagwen,<<minongwaam>>owaagwen
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Dub+Prt,Neg,minongwaanziiwaagobanen,<<minongwaan>>ziiwaagobanen
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Dub+Prt,Pos,minongwaamowaagobanen,<<minongwaam>>owaagobanen
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Neu,Neg,minongwaanzigwaa,<<minongwaan>>zigwaa
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Neu,Pos,minongwaamowaad,<<minongwaam>>owaad
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Prt,Neg,minongwaanzigwaaban,<<minongwaan>>zigwaaban
VAI,Cnj,m,minongwaam,minongwaam,3PlProx,Prt,Pos,minongwaamowaapan,<<minongwaam>>owaapan
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Dub,Neg,minongwaanziinigwen,<<minongwaan>>ziinigwen
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Dub,Pos,minongwaaminigwen,<<minongwaam>>inigwen
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Dub+Prt,Neg,minongwaanziinigobanen,<<minongwaan>>ziinigobanen
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Dub+Prt,Pos,minongwaaminigobanen,<<minongwaam>>inigobanen
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Neu,Neg,minongwaanzinig,<<minongwaan>>zinig
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Neu,Pos,minongwaaminid,<<minongwaam>>inid
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Prt,Neg,minongwaanzinigoban,<<minongwaan>>zinigoban
VAI,Cnj,m,minongwaam,minongwaam,3SgObv,Prt,Pos,minongwaaminipan,<<minongwaam>>inipan
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Dub,Neg,minongwaanziigwen,<<minongwaan>>ziigwen
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Dub,Pos,minongwaamogwen,<<minongwaam>>ogwen
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Dub+Prt,Neg,minongwaanziigobanen,<<minongwaan>>ziigobanen
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Dub+Prt,Pos,minongwaamogobanen,<<minongwaam>>ogobanen
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Neu,Neg,minongwaanzig,<<minongwaan>>zig
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Neu,Pos,minongwaang,<<minongwaan>>g
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Prt,Neg,minongwaanzigoban,<<minongwaan>>zigoban
VAI,Cnj,m,minongwaam,minongwaam,3SgProx,Prt,Pos,minongwaangiban,<<minongwaan>>giban
