Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Prt,Neg,miijisigwaaban,<<miiji>>sigwaaban,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Prt,Pos,miijiwaapan,<<miiji>>waapan,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Dub,Neg,waabandanziiwaagwen,<<waaband>>anziiwaagwen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Dub,Pos,waabandamowaagwen,<<waaband>>amowaagwen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Dub+Prt,Neg,waabandanziiwaagobanen,<<waaband>>anziiwaagobanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Dub+Prt,Pos,waabandamowaagobanen,<<waaband>>amowaagobanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Neu,Neg,waabandanzigwaa,<<waaband>>anzigwaa,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Neu,Pos,waabandamowaad,<<waaband>>amowaad,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Prt,Neg,waabandanzigwaaban,<<waaband>>anzigwaaban,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3PlProx,0Sg/0Pl,Prt,Pos,waabandamowaapan,<<waaband>>amowaapan,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Dub,Neg,wanitoosiiwaagwen,<<wanit>>oosiiwaagwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Dub,Pos,wanitoowaagwen,<<wanit>>oowaagwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Dub+Prt,Neg,wanitoosiiwaagobanen,<<wanit>>oosiiwaagobanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Dub+Prt,Pos,wanitoowaagobanen,<<wanit>>oowaagobanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Neu,Neg,wanitoosigwaa,<<wanit>>oosigwaa,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Neu,Pos,wanitoowaad,<<wanit>>oowaad,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Prt,Neg,wanitoosigwaaban,<<wanit>>oosigwaaban,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3PlProx,0Sg/0Pl,Prt,Pos,wanitoowaapan,<<wanit>>oowaapan,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,3SgObv/3PlObv,0Sg/0Pl,Neu,Neg,ayaanzinig,<<ayaa>>nzinig,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,3SgObv/3PlObv,0Sg/0Pl,Neu,Pos,ayaaminid,<<ayaa>>minid,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Dub,Neg,miijisiinigwen,<<miiji>>siinigwen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Dub,Pos,miijinigwen,<<miiji>>nigwen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Dub+Prt,Neg,miijisiinigobanen,<<miiji>>siinigobanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Dub+Prt,Pos,miijinigobanen,<<miiji>>nigobanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Neu,Neg,miijisinig,<<miiji>>sinig,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Neu,Pos,miijinid,<<miiji>>nid,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Prt,Neg,miijisinigoban,<<miiji>>sinigoban,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgObv/3PlObv,0Sg/0Pl,Prt,Pos,miijinipan,<<miiji>>nipan,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Dub,Neg,waabandanziinigwen,<<waaband>>anziinigwen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Dub,Pos,waabandaminigwen,<<waaband>>aminigwen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Dub+Prt,Neg,waabandanziinigobanen,<<waaband>>anziinigobanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Dub+Prt,Pos,waabandaminigobanen,<<waaband>>aminigobanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Neu,Neg,waabandanzinig,<<waaband>>anzinig,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Neu,Pos,waabandaminid,<<waaband>>aminid,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Prt,Neg,waabandanzinigoban,<<waaband>>anzinigoban,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgObv/3PlObv,0Sg/0Pl,Prt,Pos,waabandaminipan,<<waaband>>aminipan,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Dub,Neg,wanitoosiinigwen,<<wanit>>oosiinigwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Dub,Pos,wanitoonigwen,<<wanit>>oonigwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Dub+Prt,Neg,wanitoosiinigobanen,<<wanit>>oosiinigobanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Dub+Prt,Pos,wanitoonigobanen,<<wanit>>oonigobanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Neu,Neg,wanitoosinig,<<wanit>>oosinig,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Neu,Pos,wanitoonid,<<wanit>>oonid,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Prt,Neg,wanitoosinigoban,<<wanit>>oosinigoban,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgObv/3PlObv,0Sg/0Pl,Prt,Pos,wanitoonipan,<<wanit>>oonipan,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,3SgProx,0Sg/0Pl,Neu,Neg,ayaanzig,<<ayaa>>nzig,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,3SgProx,0Sg/0Pl,Neu,Pos,ayaamowaad,<<ayaa>>mowaad,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Dub,Neg,miijisiigwen,<<miiji>>siigwen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Dub,Pos,miijigwen,<<miiji>>gwen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Dub+Prt,Neg,miijisiigobanen,<<miiji>>siigobanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Dub+Prt,Pos,miijigobanen,<<miiji>>gobanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Neu,Neg,miijisig,<<miiji>>sig,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Neu,Pos,miijid,<<miiji>>d,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Prt,Neg,miijisigoban,<<miiji>>sigoban,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3SgProx,0Sg/0Pl,Prt,Pos,miijipan,<<miiji>>pan,JDN-PC,,,
