Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,1Sg,Sim,NA,ganawaabamishik,<<ganawaabam>>i1shik,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,1Sg,Sim,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Pl,1Sg,Sim,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,1Sg,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,1Sg,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,3SgObv/3PlObv,Sim,NA,ganawaabamimik,<<ganawaabam>>imik,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Pl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,3SgProx/3PlProx,Sim,NA,ganawaabamik,<<ganawaabam>>ik,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,3SgProx/3PlProx,Sim,NA,mawadisik,<<mawadis>>ik,JDN-PC,,,,,,
VTA,Imp,N,miizh,miin,2Pl,3SgProx/3PlProx,Sim,NA,miinik,<<miin>>ik,JDN-PC,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,3SgProx/3PlProx,Sim,NA,mikawik,<<mikaw>>ik,JDN-PC,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,3SgProx/3PlProx,Sim,NA,mizhok,<<mizho>>ik,JDN-PC,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg,1Sg,Sim,NA,ganawaabamishin,<<ganawaabam>>ishin,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Sg,1Sg,Sim,NA,mawadishishin,<<mawadish>>i1shin,JDN-PC,,,,,,
VTA,Imp,N,miizh,miin,2Sg,1Sg,Sim,NA,miizhizhin,<<miizh>>i1zhin,JDN-PC,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Sg,1Sg,Sim,NA,mikawishin,<<mikaw>>i1shin,JDN-PC,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Sg,1Sg,Sim,NA,mizhoshin,<<mizho>>i1shin,JDN-PC,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg,3SgObv/3PlObv,Sim,NA,ganawaabamim,<<ganawaabam>>im,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Sg,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Sg,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Sg,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Sg,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg,3SgProx/3PlProx,Sim,NA,ganawaabam,<<ganawaabam>>i1,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Sg,3SgProx/3PlProx,Sim,NA,mawadish,<<mawadish>>i1,JDN-PC,,,,,,
VTA,Imp,N,miizh,miin,2Sg,3SgProx/3PlProx,Sim,NA,miizh,<<miizh>>i1,JDN-PC,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Sg,3SgProx/3PlProx,Sim,NA,mikaw,<<mikaw>>i1,JDN-PC,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Sg,3SgProx/3PlProx,Sim,NA,mizh,<<mizh>>i1,JDN-PC,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg/2Pl,Excl,Sim,NA,ganawaabamishinaan,<<ganawaabam>>ishinaan,JDN-PC,ganawaabamishinaang,<<ganawaabam>>ishinaang,JDN-PC,ganawaabamishinaam,<<ganawaabam>>ishinaam,JDN-PC
VTA,Imp,S,mawadish,mawadis,2Sg/2Pl,Excl,Sim,NA,mawadishishinaan,<<mawadish>>i1shinaan,JDN-PC,mawadishishinaang,<<mawadish>>i1shinaang,JDN-PC,mawadishishinaam,<<mawadish>>i1shinaam,JDN-PC
VTA,Imp,N,miizh,miin,2Sg/2Pl,Excl,Sim,NA,miizhishinaan,<<miizh>>i1shinaan,JDN-PC,miizhishinaang,<<miizh>>i1shinaang,JDN-PC,miizhishinaam,<<miizh>>i1shinaam,JDN-PC
VTA,Imp,aw,mikaw,mikaw,2Sg/2Pl,Excl,Sim,NA,mikawishinaan,<<mikaw>>i1shinaan,JDN-PC,mikawishinaang,<<mikaw>>ishinaang,JDN-PC,mikawishinaam,<<mikawish>>inaam,JDN-PC
VTA,Imp,Cw,mizho,mizhw,2Sg/2Pl,Excl,Sim,NA,mizhoshinaan,<<mizho>>i1shinaan,JDN-PC,mizhoshinaang,<<mizho>>shinaang,JDN-PC,mizhoshinaam,<<mizho>>shinaam,JDN-PC
VTA,Imp,Regular,ganawaabam,ganawaabam,Incl,3PlProx,Sim,NA,ganawaabamaadaanig,<<ganawaabam>>aadaanig,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,Incl,3PlProx,Sim,NA,mawadisaadaanig,<<mawadis>>aadaanig,JDN-PC,,,,,,
VTA,Imp,N,miizh,miin,Incl,3PlProx,Sim,NA,miinadaanig,<<miin>>adaanig,JDN-PC,,,,,,
VTA,Imp,aw,mikaw,mikaw,Incl,3PlProx,Sim,NA,mikawaadaanig,<<mikaw>>aadaanig,JDN-PC,,,,,,
VTA,Imp,Cw,mizho,mizhw,Incl,3PlProx,Sim,NA,miizhwaadaanig,<<miizhw>>aadaanig,JDN-PC,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,Incl,3SgObv/3PlObv,Sim,NA,ganawaabamimaadaa,<<ganawaabam>>imaadaa,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,Incl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,Incl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,Incl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,Incl,3SgObv/3PlObv,Sim,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,Incl,3SgProx,Sim,NA,ganawaabamaadaa,<<ganawaabam>>aadaa,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,Incl,3SgProx,Sim,NA,mawadisaadaa,<<mawadis>>aadaa,JDN-PC,,,,,,
VTA,Imp,N,miizh,miin,Incl,3SgProx,Sim,NA,miinadaa,<<miin>>adaa,JDN-PC,,,,,,
VTA,Imp,aw,mikaw,mikaw,Incl,3SgProx,Sim,NA,mikawaadaa,<<mikaw>>aadaa,JDN-PC,,,,,,
VTA,Imp,Cw,mizho,mizhw,Incl,3SgProx,Sim,NA,miizhwaadaa,<<miizhw>>aadaa,JDN-PC,,,,,,
